energy_ev,total_up,Bi_p_up,Bi_d_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,1.05329315,0.37564472,0.00978875,0.67331170,0.11927137,0.21964561,0.00000000
-5.99399700,1.04553170,0.36869955,0.00948883,0.67160231,0.11824077,0.22419471,0.00000000
-5.98799400,1.03420477,0.36065529,0.00917363,0.66812417,0.11675636,0.22796511,0.00000000
-5.98199100,1.01917223,0.35145154,0.00884273,0.66256567,0.11481622,0.23087515,0.00000000
-5.97598799,1.00043840,0.34107254,0.00849648,0.65474029,0.11243351,0.23288896,0.00000000
-5.96998499,0.97814822,0.32954465,0.00813602,0.64458339,0.10963602,0.23401711,0.00000000
-5.96398199,0.95257925,0.31693261,0.00776330,0.63214594,0.10646519,0.23431594,0.00000000
-5.95797899,0.92412967,0.30333495,0.00738094,0.61758542,0.10297477,0.23388527,0.00000000
-5.95197599,0.89330290,0.28887871,0.00699222,0.60115417,0.09922903,0.23286478,0.00000000
-5.94597299,0.86068939,0.27371367,0.00660094,0.58318579,0.09530075,0.23142905,0.00000000
-5.93996998,0.82694631,0.25800650,0.00621132,0.56407992,0.09126890,0.22978134,0.00000000
-5.93396698,0.79277590,0.24193478,0.00582785,0.54428589,0.08721628,0.22814651,0.00000000
-5.92796398,0.75890326,0.22568132,0.00545515,0.52428597,0.08322703,0.22676313,0.00000000
-5.92196098,0.72605433,0.20942893,0.00509787,0.50457852,0.07938425,0.22587520,0.00000000
-5.91595798,0.69493484,0.19335561,0.00476052,0.48566165,0.07576774,0.22572370,0.00000000
-5.90995498,0.66621087,0.17763048,0.00444741,0.46801799,0.07245192,0.22653836,0.00000000
-5.90395198,0.64049161,0.16241041,0.00416252,0.45210081,0.06950403,0.22852988,0.00000000
-5.89794897,0.61831472,0.14783740,0.00390945,0.43832195,0.06698265,0.23188295,0.00000000
-5.89194597,0.60013480,0.13403668,0.00369134,0.42704193,0.06493655,0.23675026,0.00000000
-5.88594297,0.58631495,0.12111560,0.00351085,0.41856213,0.06340390,0.24324775,0.00000000
-5.87993997,0.57712158,0.10916305,0.00337014,0.41311955,0.06241187,0.25145122,0.00000000
-5.87393697,0.57272245,0.09824956,0.00327086,0.41088365,0.06197652,0.26139435,0.00000000
-5.86793397,0.57318760,0.08842774,0.00321416,0.41195556,0.06210302,0.27306828,0.00000000
-5.86193097,0.57849291,0.07973325,0.00320073,0.41636921,0.06278621,0.28642242,0.00000000
-5.85592796,0.58852588,0.07218577,0.00323076,0.42409412,0.06401128,0.30136667,0.00000000
-5.84992496,0.60309314,0.06579035,0.00330404,0.43503968,0.06575469,0.31777468,0.00000000
-5.84392196,0.62192911,0.06053862,0.00341990,0.44906025,0.06798514,0.33548795,0.00000000
-5.83791896,0.64470537,0.05641005,0.00357729,0.46596104,0.07066466,0.35432062,0.00000000
-5.83191596,0.67104013,0.05337305,0.00377473,0.48550411,0.07374960,0.37406451,0.00000000
-5.82591296,0.70050740,0.05138600,0.00401036,0.50741429,0.07719167,0.39449432,0.00000000
-5.81990995,0.73264551,0.05039804,0.00428189,0.53138481,0.08093876,0.41537260,0.00000000
-5.81390695,0.76696464,0.05034973,0.00458659,0.55708230,0.08493578,0.43645438,0.00000000
-5.80790395,0.80295331,0.05117356,0.00492128,0.58415114,0.08912525,0.45749128,0.00000000
-5.80190095,0.84008372,0.05279442,0.00528230,0.61221723,0.09344788,0.47823493,0.00000000
-5.79589795,0.87781611,0.05512996,0.00566551,0.64089109,0.09784290,0.49843985,0.00000000
-5.78989495,0.91560241,0.05809099,0.00606624,0.66977066,0.10224848,0.51786563,0.00000000
-5.78389195,0.95288941,0.06158205,0.00647936,0.69844390,0.10660199,0.53627867,0.00000000
