energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.64652611,0.00102349,0.14851332,0.23707840,0.00000000,0.40972667,0.06643208
-5.99399700,0.68381714,0.00108679,0.16117258,0.24716171,0.00000000,0.45804042,0.06935378
-5.98799400,0.73090597,0.00116503,0.17656005,0.26021340,0.00000000,0.51362995,0.07324300
-5.98199100,0.78769719,0.00125836,0.19469955,0.27614008,0.00000000,0.57656454,0.07809179
-5.97598799,0.85397621,0.00136675,0.21557812,0.29481599,0.00000000,0.64681367,0.08388077
-5.96998499,0.92940009,0.00148996,0.23914123,0.31608289,0.00000000,0.72423206,0.09057835
-5.96398199,1.01348909,0.00162754,0.26528824,0.33974988,0.00000000,0.80854595,0.09814005
-5.95797899,1.10561957,0.00177881,0.29386866,0.36559326,0.00000000,0.89934136,0.10650784
-5.95197599,1.20501868,0.00194284,0.32467926,0.39335657,0.00000000,0.99605500,0.11560958
-5.94597299,1.31076171,0.00211850,0.35746239,0.42275081,0.00000000,1.09796872,0.12535872
-5.93996998,1.42177275,0.00230438,0.39190569,0.45345520,0.00000000,1.20420795,0.13565428
-5.93396698,1.53682929,0.00249884,0.42764356,0.48511847,0.00000000,1.31374498,0.14638107
-5.92796398,1.65457135,0.00270003,0.46426026,0.51736097,0.00000000,1.42540727,0.15741048
-5.92196098,1.77351558,0.00290585,0.50129513,0.54977763,0.00000000,1.53789130,0.16860167
-5.91595798,1.89207456,0.00311401,0.53824957,0.58194208,0.00000000,1.64978177,0.17980327
-5.90995498,2.00858125,0.00332204,0.57459600,0.61341173,0.00000000,1.75957613,0.19085566
-5.90395198,2.12131830,0.00352735,0.60978844,0.64373412,0.00000000,1.86571389,0.20159372
-5.89794897,2.22855177,0.00372722,0.64327458,0.67245424,0.00000000,1.96661005,0.21185012
-5.89194597,2.32856821,0.00391889,0.67450891,0.69912282,0.00000000,2.06069168,0.22145890
-5.88594297,2.41971412,0.00409960,0.70296644,0.72330536,0.00000000,2.14643645,0.23025945
-5.87993997,2.50043651,0.00426663,0.72815665,0.74459170,0.00000000,2.22241187,0.23810053
-5.87393697,2.56932291,0.00441737,0.74963699,0.76260563,0.00000000,2.28731373,0.24484431
-5.86793397,2.62513944,0.00454940,0.76702542,0.77701447,0.00000000,2.34000230,0.25037029
-5.86193097,2.66686520,0.00466051,0.78001160,0.78753789,0.00000000,2.37953486,0.25457876
-5.85592796,2.69372162,0.00474879,0.78836598,0.79395592,0.00000000,2.40519320,0.25739381
-5.84992496,2.70519544,0.00481265,0.79194664,0.79611553,0.00000000,2.41650499,0.25876571
-5.84392196,2.70105418,0.00485090,0.79070348,0.79393562,0.00000000,2.41325803,0.25867239
-5.83791896,2.68135340,0.00486275,0.78467951,0.78741005,0.00000000,2.39550690,0.25712020
-5.83191596,2.64643542,0.00484786,0.77400924,0.77660866,0.00000000,2.36357159,0.25414370
-5.82591296,2.59691941,0.00480634,0.75891434,0.76167604,0.00000000,2.31802822,0.24980456
-5.81990995,2.53368334,0.00473875,0.73969657,0.74282820,0.00000000,2.25969237,0.24418961
