energy_ev,total_up,B_p_up,B_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.30769344,0.15886477,0.00000000,0.33807009,0.69952771,0.01699134,0.42581163
-5.99399700,1.31602231,0.16384932,0.00000000,0.32880537,0.71244563,0.01721156,0.42317879
-5.98799400,1.33235678,0.17021536,0.00000000,0.32187114,0.73000480,0.01744742,0.42248295
-5.98199100,1.35724020,0.17805212,0.00000000,0.31755189,0.75250300,0.01769854,0.42384218
-5.97598799,1.39109153,0.18742963,0.00000000,0.31609329,0.78016494,0.01796573,0.42734082
-5.96998499,1.43418564,0.19839495,0.00000000,0.31769678,0.81312970,0.01825083,0.43302571
-5.96398199,1.48663613,0.21096872,0.00000000,0.32251545,0.85143945,0.01855657,0.44090318
-5.95797899,1.54838126,0.22514221,0.00000000,0.33065108,0.89502989,0.01888633,0.45093702
-5.95197599,1.61917382,0.24087486,0.00000000,0.34215258,0.94372299,0.01924391,0.46304744
-5.94597299,1.69857527,0.25809262,0.00000000,0.35701569,0.99722237,0.01963324,0.47711116
-5.93996998,1.78595491,0.27668710,0.00000000,0.37518383,1.05511185,0.02005811,0.49296259
-5.93396698,1.88049437,0.29651579,0.00000000,0.39655029,1.11685745,0.02052186,0.51039632
-5.92796398,1.98119787,0.31740320,0.00000000,0.42096143,1.18181318,0.02102707,0.52917076
-5.92196098,2.08690812,0.33914325,0.00000000,0.44822106,1.24923070,0.02157538,0.54901304
-5.91595798,2.19632804,0.36150272,0.00000000,0.47809565,1.31827279,0.02216723,0.56962493
-5.90995498,2.30804772,0.38422576,0.00000000,0.51032046,1.38803045,0.02280169,0.59068989
-5.90395198,2.42057610,0.40703943,0.00000000,0.54460634,1.45754330,0.02347639,0.61188084
-5.89794897,2.53237655,0.42966000,0.00000000,0.58064696,1.52582260,0.02418745,0.63286860
-5.89194597,2.64190506,0.45179994,0.00000000,0.61812637,1.59187612,0.02492951,0.65333069
-5.88594297,2.74764997,0.47317516,0.00000000,0.65672658,1.65473416,0.02569583,0.67296013
-5.87993997,2.84817155,0.49351247,0.00000000,0.69613491,1.71347555,0.02647846,0.69147402
-5.87393697,2.94214010,0.51255672,0.00000000,0.73605082,1.76725261,0.02726841,0.70862156
