energy_ev,total_up,In_p_up,In_d_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.42879632,0.02678928,0.00706662,1.77610750,0.56876901,0.60058070,0.00000000
-5.99399700,1.44940559,0.02823915,0.00715078,1.85224968,0.56674898,0.60026069,0.00000000
-5.98799400,1.47962864,0.02990821,0.00726691,1.93733723,0.56949336,0.60439027,0.00000000
-5.98199100,1.51853373,0.03176545,0.00741115,2.03003873,0.57663269,0.61259893,0.00000000
-5.97598799,1.56498480,0.03377400,0.00757908,2.12877236,0.58770974,0.62443352,0.00000000
-5.96998499,1.61766281,0.03589197,0.00776574,2.23172864,0.60218979,0.63936774,0.00000000
-5.96398199,1.67509343,0.03807329,0.00796572,2.33690278,0.61947329,0.65681383,0.00000000
-5.95797899,1.73568055,0.04026885,0.00817325,2.44213627,0.63891050,0.67613632,0.00000000
-5.95197599,1.79774473,0.04242774,0.00838230,2.54516709,0.65981771,0.69666741,0.00000000
-5.94597299,1.85956573,0.04449859,0.00858673,2.64368691,0.68149466,0.71772360,0.00000000
-5.93996998,1.91942751,0.04643098,0.00878042,2.73540371,0.70324250,0.73862309,0.00000000
-5.93396698,1.97566441,0.04817692,0.00895743,2.81810739,0.72438180,0.75870334,0.00000000
-5.92796398,2.02670659,0.04969227,0.00911215,2.88973586,0.74426994,0.77733822,0.00000000
-5.92196098,2.07112326,0.05093805,0.00923944,2.94843882,0.76231733,0.79395413,0.00000000
-5.91595798,2.10766176,0.05188169,0.00933482,2.99263661,0.77800186,0.80804451,0.00000000
-5.90995498,2.13528112,0.05249801,0.00939453,3.02107120,0.79088106,0.81918219,0.00000000
-5.90395198,2.15317868,0.05277012,0.00941570,3.03284732,0.80060162,0.82702916,0.00000000
-5.89794897,2.16080889,0.05268988,0.00939638,3.02746168,0.80690601,0.83134339,0.00000000
-5.89194597,2.15789355,0.05225822,0.00933559,3.00481899,0.80963597,0.83198264,0.00000000
-5.88594297,2.14442336,0.05148517,0.00923336,2.96523429,0.80873298,0.82890502,0.00000000
-5.87993997,2.12065106,0.05038951,0.00909068,2.90942156,0.80423577,0.82216661,0.00000000
-5.87393697,2.08707672,0.04899825,0.00890947,2.83846939,0.79627523,0.81191626,0.00000000
-5.86793397,2.04442624,0.04734587,0.00869249,2.75380515,0.78506707,0.79838803,0.00000000
-5.86193097,1.99362425,0.04547332,0.00844324,2.65714948,0.77090269,0.78189163,0.00000000
-5.85592796,1.93576303,0.04342688,0.00816584,2.55046360,0.75413875,0.76280150,0.00000000
-5.84992496,1.87206874,0.04125700,0.00786490,2.43589165,0.73518604,0.74154491,0.00000000
-5.84392196,1.80386673,0.03901693,0.00754540,2.31570102,0.71449798,0.71858974,0.00000000
-5.83791896,1.73254708,0.03676153,0.00721253,2.19222287,0.69255935,0.69443227,0.00000000
-5.83191596,1.65953176,0.03454602,0.00687157,2.06779515,0.66987542,0.66958544,0.00000000
-5.82591296,1.58624413,0.03242479,0.00652781,1.94471010,0.64696175,0.64456785,0.00000000
-5.81990995,1.51408146,0.03045039,0.00618638,1.82516738,0.62433489,0.61989355,0.00000000
-5.81390695,1.44439079,0.02867259,0.00585221,1.71123391,0.60250380,0.59606288,0.00000000
-5.80790395,1.37844806,0.02713755,0.00552995,1.60481072,0.58196201,0.57355413,0.00000000
-5.80190095,1.31744029,0.02588719,0.00522390,1.50760671,0.56318045,0.55281609,0.00000000
-5.79589795,1.26245033,0.02495855,0.00493797,1.42111886,0.54660057,0.53426118,0.00000000
-5.78989495,1.21444377,0.02438336,0.00467567,1.34661802,0.53262769,0.51825913,0.00000000
-5.78389195,1.17425726,0.02418763,0.00444002,1.28513946,0.52162444,0.50513101,0.00000000
-5.77788894,1.14258789,0.02439129,0.00423361,1.23747696,0.51390403,0.49514346,0.00000000
-5.77188594,1.11998317,0.02500792,0.00405853,1.20417961,0.50972346,0.48850320,0.00000000
-5.76588294,1.10683143,0.02604445,0.00391635,1.18555040,0.50927669,0.48535173,0.00000000
-5.75987994,1.10335270,0.02750092,0.00380814,1.18164604,0.51268782,0.48576045,0.00000000
-5.75387694,1.10959024,0.02937031,0.00373442,1.19227769,0.52000474,0.48972638,0.00000000
-5.74787394,1.12540322,0.03163831,0.00369514,1.21701266,0.53119344,0.49716877,0.00000000
-5.74187094,1.15046123,0.03428324,0.00368970,1.25517730,0.54613341,0.50792688,0.00000000
-5.73586793,1.18424135,0.03727601,0.00371689,1.30586166,0.56461466,0.52175935,0.00000000
-5.72986493,1.22602857,0.04058025,0.00377494,1.36792672,0.58633667,0.53834551,0.00000000
-5.72386193,1.27492042,0.04415247,0.00386144,1.44001491,0.61090975,0.55728877,0.00000000
-5.71785893,1.32983657,0.04794256,0.00397346,1.52056492,0.63785917,0.57812253,0.00000000
-5.71185593,1.38953376,0.05189434,0.00410748,1.60783145,0.66663211,0.60031848,0.00000000
-5.70585293,1.45262654,0.05594646,0.00425951,1.69991042,0.69660774,0.62329742,0.00000000
-5.69984992,1.51761369,0.06003342,0.00442509,1.79477011,0.72711015,0.64644241,0.00000000
-5.69384692,1.58291003,0.06408691,0.00459944,1.89028790,0.75742403,0.66911383,0.00000000
-5.68784392,1.64688296,0.06803729,0.00477749,1.98429239,0.78681262,0.69066608,0.00000000
-5.68184092,1.70789274,0.07181534,0.00495403,2.07460991,0.81453739,0.71046518,0.00000000
-5.67583792,1.76433515,0.07535405,0.00512381,2.15911430,0.83987884,0.72790677,0.00000000
-5.66983492,1.81468523,0.07859059,0.00528172,2.23577831,0.86215754,0.74243367,0.00000000
-5.66383192,1.85754016,0.08146819,0.00542284,2.30272497,0.88075466,0.75355238,0.00000000
-5.65782891,1.89165985,0.08393810,0.00554267,2.35827675,0.89513110,0.76084774,0.00000000
-5.65182591,1.91600338,0.08596127,0.00563717,2.40100080,0.90484449,0.76399519,0.00000000
-5.64582291,1.92975976,0.08750993,0.00570292,2.42974805,0.90956325,0.76277002,0.00000000
-5.63981991,1.93237170,0.08856888,0.00573720,2.44368461,0.90907712,0.75705332,0.00000000
-5.63381691,1.92355141,0.08913634,0.00573807,2.44231395,0.90330374,0.74683426,0.00000000
-5.62781391,1.90328755,0.08922454,0.00570443,2.42548886,0.89229101,0.73220881,0.00000000
-5.62181091,1.87184321,0.08885977,0.00563598,2.39341250,0.87621506,0.71337484,0.00000000
-5.61580790,1.82974501,0.08808203,0.00553332,2.34662850,0.85537405,0.69062393,0.00000000
-5.60980490,1.77776374,0.08694422,0.00539781,2.28600053,0.83017796,0.66433045,0.00000000
-5.60380190,1.71688747,0.08551087,0.00523156,2.21268216,0.80113501,0.63493819,0.00000000
-5.59779890,1.64828844,0.08385648,0.00503737,2.12807842,0.76883513,0.60294544,0.00000000
-5.59179590,1.57328495,0.08206348,0.00481859,2.03380056,0.73393127,0.56888898,0.00000000
-5.58579290,1.49330011,0.08022000,0.00457900,1.93161627,0.69711939,0.53332784,0.00000000
-5.57978989,1.40981894,0.07841724,0.00432273,1.82339705,0.65911776,0.49682740,0.00000000
-5.57378689,1.32434565,0.07674692,0.00405409,1.71106515,0.62064656,0.45994447,0.00000000
-5.56778389,1.23836265,0.07529853,0.00377746,1.59654197,0.58240833,0.42321384,0.00000000
-5.56178089,1.15329258,0.07415674,0.00349719,1.48169987,0.54507008,0.38713674,0.00000000
-5.55577789,1.07046484,0.07339886,0.00321744,1.36831882,0.50924750,0.35217150,0.00000000
