energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Na_s_up,Na_s_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.27516176,-0.27520504,0.00009828,-0.00009826,0.09613981,-0.09616102,0.13513239,-0.13513437,0.17024588,-0.17028504,0.00389042,-0.00388929,0.04638928,-0.04638574,0.00000000,-0.00000000
-5.99399700,0.27965546,-0.27969917,0.00007828,-0.00007826,0.10097990,-0.10100055,0.12552469,-0.12552819,0.17954851,-0.17958693,0.00317252,-0.00317160,0.04168894,-0.04168650,0.00000000,-0.00000000
-5.98799400,0.28531695,-0.28535984,0.00006276,-0.00006275,0.10579780,-0.10581747,0.11788986,-0.11789438,0.18874780,-0.18878469,0.00257578,-0.00257503,0.03789088,-0.03788933,0.00000000,-0.00000000
-5.98199100,0.29164297,-0.29168381,0.00005112,-0.00005112,0.11045482,-0.11047309,0.11189415,-0.11189917,0.19759708,-0.19763168,0.00208573,-0.00208514,0.03485182,-0.03485093,0.00000000,-0.00000000
-5.97598799,0.29815473,-0.29819236,0.00004289,-0.00004289,0.11481655,-0.11483303,0.10722292,-0.10722797,0.20585760,-0.20588917,0.00168937,-0.00168894,0.03243905,-0.03243862,0.00000000,-0.00000000
-5.96998499,0.30440682,-0.30444016,0.00003774,-0.00003774,0.11875620,-0.11877051,0.10358472,-0.10358938,0.21330456,-0.21333238,0.00137534,-0.00137504,0.03053160,-0.03053146,0.00000000,-0.00000000
-5.96398199,0.30999544,-0.31002351,0.00003548,-0.00003549,0.12215784,-0.12216966,0.10071446,-0.10071836,0.21973283,-0.21975629,0.00113404,-0.00113388,0.02902103,-0.02902101,0.00000000,-0.00000000
-5.95797899,0.31456556,-0.31458756,0.00003607,-0.00003610,0.12491943,-0.12492847,0.09837587,-0.09837867,0.22496246,-0.22498102,0.00095778,-0.00095776,0.02781178,-0.02781175,0.00000000,-0.00000000
-5.95197599,0.31781708,-0.31783233,0.00003963,-0.00003967,0.12695552,-0.12696155,0.09636310,-0.09636456,0.22884340,-0.22885664,0.00084085,-0.00084096,0.02682137,-0.02682121,0.00000000,-0.00000000
-5.94597299,0.31950952,-0.31951754,0.00004641,-0.00004646,0.12819946,-0.12820234,0.09450170,-0.09450160,0.23125952,-0.23126711,0.00077957,-0.00077984,0.02598018,-0.02597981,0.00000000,-0.00000000
