energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,7.03269959,0.03491099,0.78444044,1.82041739,0.32224335,2.29794062,1.47238517,0.15992175,2.94341078
-5.99399700,7.05625985,0.03438085,0.77342523,1.81945453,0.32175308,2.23594445,1.49656466,0.16563260,2.95631909
-5.98799400,7.09025180,0.03378499,0.76332117,1.82385487,0.32161414,2.17867645,1.52273192,0.17143486,2.97384001
-5.98199100,7.13312831,0.03313330,0.75407079,1.83310927,0.32179277,2.12626155,1.55041945,0.17723759,2.99530556
-5.97598799,7.18292274,0.03243521,0.74558040,1.84658448,0.32223797,2.07866127,1.57907795,0.18294129,3.01986330
-5.96998499,7.23731990,0.03169943,0.73772501,1.86354463,0.32288403,2.03568959,1.60809411,0.18844045,3.04650579
-5.96398199,7.29373999,0.03093375,0.73035412,1.88317518,0.32365372,1.99703301,1.63681121,0.19362644,3.07410568
-5.95797899,7.34943206,0.03014493,0.72329829,1.90460873,0.32446188,1.96227352,1.66455172,0.19839061,3.10145524
-5.95197599,7.40157342,0.02933861,0.71637606,1.92695153,0.32521933,1.93091369,1.69064108,0.20262753,3.12730865
-5.94597299,7.44737068,0.02851933,0.70940109,1.94931002,0.32583687,1.90240272,1.71443154,0.20623811,3.15042536
-5.93996998,7.48415866,0.02769052,0.70218908,1.97081636,0.32622930,1.87616250,1.73532510,0.20913269,3.16961291
-5.93396698,7.50949318,0.02685469,0.69456441,1.99065219,0.32631906,1.85161289,1.75279469,0.21123373,3.18376745
-5.92796398,7.52123430,0.02601349,0.68636620,2.00806996,0.32603961,1.82819543,1.76640256,0.21247818,3.19191045
-5.92196098,7.51761700,0.02516795,0.67745357,2.02241107,0.32533815,1.80539486,1.77581528,0.21281935,3.19322040
-5.91595798,7.49730692,0.02431867,0.66771013,2.03312047,0.32417778,1.78275819,1.78081471,0.21222818,3.18705817
-5.90995498,7.45943958,0.02346602,0.65704749,2.03975746,0.32253879,1.75991093,1.78130459,0.21069404,3.17298552
-5.90395198,7.40364228,0.02261039,0.64540775,2.04200233,0.32041930,1.73657046,1.77731260,0.20822477,3.15077607
-5.89794897,7.33003870,0.02175236,0.63276514,2.03965917,0.31783505,1.71255666,1.76898801,0.20484623,3.12041879
-5.89194597,7.23923696,0.02089292,0.61912661,2.03265485,0.31481843,1.68779985,1.75659512,0.20060125,3.08211426
-5.88594297,7.13230281,0.02003361,0.60453165,2.02103472,0.31141694,1.66234644,1.74050306,0.19554807,3.03626412
-5.87993997,7.01072019,0.01917670,0.58905136,2.00495536,0.30769104,1.63636251,1.72117273,0.18975839,2.98345474
-5.87393697,6.87634165,0.01832523,0.57278685,1.98467516,0.30371166,1.61013571,1.69914143,0.18331508,2.92443620
-5.86793397,6.73133189,0.01748312,0.55586714,1.96054332,0.29955745,1.58407570,1.67500632,0.17630965,2.86009769
-5.86193097,6.57810745,0.01665522,0.53844672,1.93298794,0.29531209,1.55871344,1.64940754,0.16883967,2.79144087
-5.85592796,6.41927550,0.01584729,0.52070279,1.90250398,0.29106160,1.53469929,1.62301177,0.16100608,2.71955243
-5.84992496,6.25757472,0.01506597,0.50283229,1.86964150,0.28689206,1.51280008,1.59649711,0.15291071,2.64557717
