energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,3.12706337,0.50390423,0.01763343,2.01450439,2.06298518,1.78449175,0.00000000
-5.99399700,2.99048121,0.47414217,0.01668211,1.90497501,1.98611091,1.71941155,0.00000000
-5.98799400,2.85979187,0.44556336,0.01576310,1.80046896,1.91162174,1.65719093,0.00000000
-5.98199100,2.73520248,0.41828210,0.01487779,1.70120991,1.83955654,1.59782765,0.00000000
-5.97598799,2.61683694,0.39238017,0.01402704,1.60733621,1.76993948,1.54130142,0.00000000
-5.96998499,2.50475368,0.36791121,0.01321129,1.51891318,1.70279080,1.48758220,0.00000000
-5.96398199,2.39896054,0.34490535,0.01243066,1.43594446,1.63813456,1.43663582,0.00000000
-5.95797899,2.29942595,0.32337387,0.01168506,1.35838211,1.57600302,1.38842668,0.00000000
-5.95197599,2.20608632,0.30331348,0.01097431,1.28613499,1.51643753,1.34291752,0.00000000
-5.94597299,2.11884951,0.28471020,0.01029816,1.21907513,1.45948645,1.30006673,0.00000000
-5.93996998,2.03759498,0.26754261,0.00965639,1.15704233,1.40520033,1.25982370,0.00000000
-5.93396698,1.96217147,0.25178445,0.00904878,1.09984714,1.35362536,1.22212294,0.00000000
-5.92796398,1.89239306,0.23740664,0.00847516,1.04727271,1.30479580,1.18687778,0.00000000
-5.92196098,1.82803500,0.22437869,0.00793540,0.99907591,1.25872635,1.15397449,0.00000000
-5.91595798,1.76883019,0.21266962,0.00742936,0.95498840,1.21540531,1.12326767,0.00000000
-5.90995498,1.71446749,0.20224855,0.00695691,0.91471808,1.17478944,1.09457752,0.00000000
-5.90395198,1.66459266,0.19308501,0.00651787,0.87795142,1.13680090,1.06768949,0.00000000
-5.89794897,1.61881227,0.18514905,0.00611202,0.84435693,1.10132688,1.04235675,0.00000000
-5.89194597,1.57670102,0.17841129,0.00573909,0.81359003,1.06822190,1.01830526,0.00000000
-5.88594297,1.53781207,0.17284295,0.00539871,0.78529923,1.03731282,0.99524159,0.00000000
-5.87993997,1.50169006,0.16841574,0.00509046,0.75913348,1.00840606,0.97286276,0.00000000
-5.87393697,1.46788591,0.16510185,0.00481383,0.73475040,0.98129659,0.95086773,0.00000000
-5.86793397,1.43597248,0.16287373,0.00456829,0.71182489,0.95577792,0.92896972,0.00000000
-5.86193097,1.40556006,0.16170386,0.00435325,0.69005772,0.93165243,0.90690847,0.00000000
-5.85592796,1.37631038,0.16156430,0.00416811,0.66918347,0.90874106,0.88446177,0.00000000
-5.84992496,1.34794832,0.16242610,0.00401227,0.64897734,0.88689179,0.86145536,0.00000000
-5.84392196,1.32027034,0.16425853,0.00388511,0.62926040,0.86598612,0.83777050,0.00000000
-5.83791896,1.29314904,0.16702808,0.00378605,0.60990297,0.84594326,0.81334887,0.00000000
-5.83191596,1.26653362,0.17069743,0.00371448,0.59082592,0.82672161,0.78819436,0.00000000
-5.82591296,1.24044630,0.17522439,0.00366980,0.57199982,0.80831765,0.76237171,0.00000000
-5.81990995,1.21497491,0.18056090,0.00365135,0.55344223,0.79076236,0.73600214,0.00000000
-5.81390695,1.19026261,0.18665237,0.00365845,0.53521311,0.77411558,0.70925633,0.00000000
-5.80790395,1.16649552,0.19343738,0.00369033,0.51740910,0.75845895,0.68234529,0.00000000
-5.80190095,1.14388933,0.20084801,0.00374610,0.50015693,0.74388817,0.65550975,0.00000000
-5.79589795,1.12267635,0.20881092,0.00382480,0.48360655,0.73050524,0.62900888,0.00000000
-5.78989495,1.10309387,0.21724922,0.00392532,0.46792464,0.71841161,0.60310902,0.00000000
-5.78389195,1.08537519,0.22608535,0.00404647,0.45328887,0.70770285,0.57807328,0.00000000
-5.77788894,1.06974398,0.23524487,0.00418698,0.43988348,0.69846550,0.55415259,0.00000000
