energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,3.63930917,0.00749861,0.45443228,1.56514926,0.49081215,1.07978428,1.43491055,0.00893984,1.23134698
-5.99399700,3.56988048,0.00728175,0.44605570,1.54264399,0.47923596,1.04780894,1.41207546,0.00939299,1.20803566
-5.98799400,3.50070869,0.00708275,0.43750497,1.52067754,0.46766128,1.01668990,1.38832816,0.00988210,1.18590326
-5.98199100,3.43299663,0.00690446,0.42893179,1.49956559,0.45627087,0.98677542,1.36416367,0.01040565,1.16530934
-5.97598799,3.36771644,0.00674878,0.42046033,1.47952270,0.44521625,0.95832355,1.34000682,0.01096104,1.14651731
-5.96998499,3.30559908,0.00661663,0.41218575,1.46066575,0.43461557,0.93150439,1.31620445,0.01154465,1.12969466
-5.96398199,3.24713570,0.00650803,0.40417420,1.44302202,0.42455315,0.90640594,1.29302193,0.01215191,1.11491751
-5.95797899,3.19259011,0.00642220,0.39646436,1.42654154,0.41508056,0.88304338,1.27064378,0.01277742,1.10217897
-5.95197599,3.14202138,0.00635768,0.38907023,1.41111280,0.40621920,0.86137082,1.24917847,0.01341510,1.09140082
-5.94597299,3.09531473,0.00631247,0.38198502,1.39658091,0.39796405,0.84129488,1.22866665,0.01405843,1.08244776
-5.93996998,3.05221888,0.00628425,0.37518589,1.38276702,0.39028849,0.82268921,1.20909247,0.01470055,1.07514325
-5.93396698,3.01238740,0.00627053,0.36863919,1.36948811,0.38314960,0.80540921,1.19039713,0.01533456,1.06928623
-5.92796398,2.97542180,0.00626888,0.36230585,1.35657571,0.37649400,0.78930594,1.17249390,0.01595369,1.06466766
-5.92196098,2.94091385,0.00627707,0.35614672,1.34389287,0.37026356,0.77423874,1.15528364,0.01655143,1.06108610
-5.91595798,2.90848508,0.00629326,0.35012746,1.33134821,0.36440085,0.76008585,1.13867015,0.01712177,1.05836146
-5.90995498,2.87782119,0.00631613,0.34422274,1.31890653,0.35885399,0.74675249,1.12257435,0.01765925,1.05634634
-5.90395198,2.84870002,0.00634501,0.33841958,1.30659533,0.35358070,0.73417639,1.10694666,0.01815905,1.05493452
-5.89794897,2.82101175,0.00637990,0.33271967,1.29450719,0.34855140,0.72233039,1.09177695,0.01861706,1.05406615
-5.89194597,2.79477071,0.00642159,0.32714052,1.28279782,0.34375112,0.71122239,1.07710167,0.01902982,1.05372973
-5.88594297,2.77011851,0.00647156,0.32171555,1.27168020,0.33918043,0.70089269,1.06300774,0.01939453,1.05396081
-5.87993997,2.74731888,0.00653203,0.31649307,1.26141511,0.33485520,0.69140932,1.04963319,0.01970895,1.05483778
-5.87393697,2.72674483,0.00660581,0.31153431,1.25229884,0.33080538,0.68286159,1.03716467,0.01997133,1.05647516
-5.86793397,2.70885930,0.00669622,0.30691065,1.24464876,0.32707295,0.67535252,1.02583184,0.02018027,1.05901481
-5.86193097,2.69419063,0.00680696,0.30270019,1.23878754,0.32370917,0.66899069,1.01589918,0.02033467,1.06261583
-5.85592796,2.68330433,0.00694190,0.29898398,1.23502711,0.32077141,0.66388205,1.00765567,0.02043362,1.06744366
-5.84992496,2.67677292,0.00710496,0.29584206,1.23365290,0.31831967,0.66012214,1.00140270,0.02047632,1.07365910
-5.84392196,2.67514535,0.00729984,0.29334953,1.23490937,0.31641305,0.65778923,0.99744113,0.02046207,1.08140770
-5.83791896,2.67891750,0.00752991,0.29157286,1.23898730,0.31510643,0.65693867,0.99605786,0.02039024,1.09081023
-5.83191596,2.68850524,0.00779794,0.29056669,1.24601354,0.31444733,0.65759873,0.99751259,0.02026029,1.10195445
-5.82591296,2.70422108,0.00810598,0.29037114,1.25604333,0.31447331,0.65976794,1.00202545,0.02007185,1.11488856
-5.81990995,2.72625528,0.00845515,0.29100981,1.26905560,0.31520980,0.66341406,1.00976594,0.01982480,1.12961654
-5.81390695,2.75466215,0.00884550,0.29248862,1.28495119,0.31666856,0.66847462,1.02084363,0.01951934,1.14609542
-5.80790395,2.78935175,0.00927593,0.29479533,1.30355392,0.31884669,0.67485866,1.03530106,0.01915614,1.16423437
-5.80190095,2.83008732,0.00974405,0.29789989,1.32461432,0.32172627,0.68244982,1.05310910,0.01873642,1.18389571
-5.79589795,2.87648811,0.01024619,0.30175559,1.34781571,0.32527451,0.69111013,1.07416489,0.01826211,1.20489749
-5.78989495,2.92803752,0.01077738,0.30630082,1.37278237,0.32944441,0.70068458,1.09829263,0.01773584,1.22701757
-5.78389195,2.98409613,0.01133135,0.31146152,1.39908927,0.33417586,0.71100604,1.12524700,0.01716110,1.24999881
-5.77788894,3.04391898,0.01190069,0.31715404,1.42627317,0.33939711,0.72190026,1.15471936,0.01654219,1.27355544
-5.77188594,3.10667664,0.01247689,0.32328850,1.45384461,0.34502655,0.73319093,1.18634628,0.01588424,1.29738007
-5.76588294,3.17147923,0.01305060,0.32977231,1.48130038,0.35097474,0.74470446,1.21972046,0.01519316,1.32115143
-5.75987994,3.23740283,0.01361177,0.33651395,1.50813624,0.35714658,0.75627441,1.25440337,0.01447552,1.34454239
-5.75387694,3.30351737,0.01414991,0.34342658,1.53385959,0.36344366,0.76774556,1.28993942,0.01373851,1.36722837
-5.74787394,3.36891513,0.01465442,0.35043176,1.55800162,0.36976666,0.77897739,1.32587108,0.01298971,1.38889571
-5.74187094,3.43273916,0.01511479,0.35746266,1.58012895,0.37601780,0.78984716,1.36175441,0.01223699,1.40925003
-5.73586793,3.49421055,0.01552096,0.36446713,1.59985422,0.38210325,0.80025231,1.39717440,0.01148831,1.42802426
-5.72986493,3.55265364,0.01586362,0.37141007,1.61684564,0.38793546,0.81011243,1.43175964,0.01075157,1.44498616
-5.72386193,3.60751840,0.01613447,0.37827539,1.63083500,0.39343538,0.81937055,1.46519551,0.01003444,1.45994522
-5.71785893,3.65839882,0.01632652,0.38506715,1.64162423,0.39853446,0.82799388,1.49723543,0.00934421,1.47275854
-5.71185593,3.70504677,0.01643426,0.39180999,1.64908997,0.40317636,0.83597396,1.52770966,0.00868763,1.48333549
-5.70585293,3.74738032,0.01645393,0.39854877,1.65318623,0.40731839,0.84332606,1.55653109,0.00807086,1.49164102
-5.69984992,3.78548614,0.01638356,0.40534739,1.65394491,0.41093246,0.85008805,1.58369771,0.00749933,1.49769713
-5.69384692,3.81961546,0.01622311,0.41228672,1.65147401,0.41400563,0.85631845,1.60929156,0.00697771,1.50158257
-5.68784392,3.85017346,0.01597443,0.41946182,1.64595358,0.41654010,0.86209384,1.63347403,0.00650984,1.50343052
-5.68184092,3.87770218,0.01564123,0.42697832,1.63762952,0.41855267,0.86750555,1.65647760,0.00609875,1.50342404
-5.67583792,3.90285735,0.01522896,0.43494827,1.62680514,0.42007361,0.87265567,1.67859426,0.00574664,1.50178961
-5.66983492,3.92637979,0.01474462,0.44348534,1.61383082,0.42114504,0.87765248,1.70016104,0.00545487,1.49878864
-5.66383192,3.94906227,0.01419653,0.45269975,1.59909214,0.42181877,0.88260540,1.72154314,0.00522401,1.49470729
-5.65782891,3.97171318,0.01359408,0.46269284,1.58299660,0.42215372,0.88761947,1.74311545,0.00505384,1.48984490
-5.65182591,3.99511829,0.01294742,0.47355169,1.56595957,0.42221300,0.89278978,1.76524307,0.00494342,1.48450156
-5.64582291,4.02000222,0.01226716,0.48534385,1.54838984,0.42206084,0.89819570,1.78826189,0.00489103,1.47896520
-5.63981991,4.04699123,0.01156404,0.49811237,1.53067542,0.42175943,0.90389552,1.81245985,0.00489430,1.47349889
-5.63381691,4.07657904,0.01084867,0.51187134,1.51316989,0.42136582,0.90992132,1.83805995,0.00495016,1.46832891
-5.62781391,4.10909709,0.01013119,0.52660217,1.49618005,0.42092918,0.91627467,1.86520558,0.00505489,1.46363412
-5.62181091,4.14469082,0.00942105,0.54225064,1.47995527,0.42048829,0.92292314,1.89394895,0.00520416,1.45953731
-5.61580790,4.18330288,0.00872681,0.55872501,1.46467891,0.42006971,0.92979792,1.92424314,0.00539303,1.45609885
-5.60980490,4.22466431,0.00805595,0.57589521,1.45046217,0.41968647,0.93679268,1.95593803,0.00561602,1.45331312
-5.60380190,4.26829403,0.00741478,0.59359315,1.43734077,0.41933749,0.94376393,1.98878044,0.00586716,1.45110784
-5.59779890,4.31350686,0.00680835,0.61161434,1.42527434,0.41900770,0.95053266,2.02241828,0.00614003,1.44934649
-5.59179590,4.35942968,0.00624044,0.62972066,1.41414875,0.41866884,0.95688765,2.05640871,0.00642785,1.44783360
-5.58579290,4.40502520,0.00571361,0.64764439,1.40378120,0.41828099,0.96259012,2.09022976,0.00672358,1.44632280
-5.57978989,4.44912230,0.00522921,0.66509327,1.39392786,0.41779454,0.96737972,2.12329496,0.00702002,1.44452715
-5.57378689,4.49045170,0.00478753,0.68175669,1.38429372,0.41715270,0.97098168,2.15497048,0.00730992,1.44213135
-5.56778389,4.52768547,0.00438788,0.69731259,1.37454438,0.41629422,0.97311490,2.18459374,0.00758615,1.43880505
-5.56178089,4.55947887,0.00402876,0.71143517,1.36431907,0.41515633,0.97350069,2.21149312,0.00784182,1.43421687
-5.55577789,4.58451267,0.00370798,0.72380294,1.35324463,0.41367756,0.97187181,2.23500769,0.00807043,1.42804820
-5.54977489,4.60153449,0.00342283,0.73410708,1.34094971,0.41180045,0.96798155,2.25450637,0.00826602,1.42000626
-5.54377189,4.60939750,0.00317022,0.74205972,1.32707875,0.40947392,0.96161243,2.26940580,0.00842331,1.40983585
-5.53776888,4.60709512,0.00294683,0.74740194,1.31130517,0.40665515,0.95258422,2.27918637,0.00853784,1.39732916
-5.53176588,4.59379050,0.00274924,0.74991123,1.29334325,0.40331107,0.94076096,2.28340578,0.00860606,1.38233330
-5.52576288,4.56883990,0.00257400,0.74940812,1.27295842,0.39941921,0.92605660,2.28170996,0.00862542,1.36475535
-5.51975988,4.53180935,0.00241782,0.74576175,1.24997540,0.39496796,0.90843923,2.27384088,0.00859444,1.34456464
-5.51375688,4.48248411,0.00227754,0.73889426,1.22428412,0.38995639,0.88793345,2.25964135,0.00851274,1.32179244
-5.50775388,4.42087111,0.00215029,0.72878369,1.19584320,0.38439350,0.86462106,2.23905660,0.00838101,1.29652910
