energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,8.26717107,0.02172698,0.89299820,1.66790502,0.52812290,4.12959777,3.39984390,0.10415883,3.37212271
-5.99399700,8.03606251,0.02121175,0.86168345,1.63075065,0.52334376,4.00205422,3.26743798,0.10306303,3.28970748
-5.98799400,7.80445566,0.02070736,0.83079154,1.59420591,0.51798830,3.87572299,3.13590761,0.10173802,3.20738350
-5.98199100,7.57480374,0.02022484,0.80083522,1.55827861,0.51215529,3.75248480,3.00641135,0.10020228,3.12570299
-5.97598799,7.34946619,0.01977541,0.77231125,1.52295149,0.50595700,3.63406774,2.88002735,0.09847955,3.04517255
-5.96998499,7.13067303,0.01937029,0.74568738,1.48819445,0.49951885,3.52201038,2.75773762,0.09659827,2.96625672
-5.96398199,6.92049312,0.01902042,0.72139027,1.45397652,0.49297880,3.41763165,2.64041527,0.09459089,2.88938230
-5.95797899,6.72080732,0.01873630,0.69979490,1.42027702,0.48648639,3.32200837,2.52881501,0.09249297,2.81494335
-5.95197599,6.53328727,0.01852779,0.68121589,1.38709557,0.48020123,3.23596131,2.42356728,0.09034229,2.74330625
-5.94597299,6.35938059,0.01840393,0.66590102,1.35446027,0.47429129,3.16004999,2.32517599,0.08817783,2.67481472
-5.93996998,6.20030269,0.01837288,0.65402740,1.32243396,0.46893052,3.09457651,2.23401996,0.08603878,2.60979433
-5.93396698,6.05703547,0.01844175,0.64570017,1.29111820,0.46429617,3.03959792,2.15035793,0.08396357,2.54855632
-5.92796398,5.93033236,0.01861666,0.64095395,1.26065486,0.46056558,2.99494667,2.07433683,0.08198888,2.49140055
-5.92196098,5.82072952,0.01890273,0.63975691,1.23122538,0.45791248,2.96025802,2.00600298,0.08014885,2.43861721
-5.91595798,5.72856203,0.01930411,0.64201716,1.20304766,0.45650300,2.93500340,1.94531567,0.07847426,2.39048742
-5.90995498,5.65398413,0.01982412,0.64759116,1.17637082,0.45649117,2.91852806,1.89216247,0.07699189,2.34728246
-5.90395198,5.59699216,0.02046532,0.65629372,1.15146802,0.45801426,2.91009147,1.84637567,0.07572394,2.30926155
-5.89794897,5.55744871,0.02122967,0.66790903,1.12862766,0.46118786,2.90890863,1.80774900,0.07468766,2.27666847
-5.89194597,5.53510640,0.02211864,0.68220212,1.10814327,0.46610098,2.91419062,1.77605381,0.07389495,2.24972672
-5.88594297,5.52962988,0.02313329,0.69893013,1.09030257,0.47281121,2.92518234,1.75105409,0.07335222,2.22863365
-5.87993997,5.54061446,0.02427437,0.71785284,1.07537593,0.48134026,2.94119598,1.73251935,0.07306027,2.21355362
-5.87393697,5.56760034,0.02554227,0.73874177,1.06360494,0.49166996,2.96163856,1.72023490,0.07301433,2.20461038
-5.86793397,5.61008139,0.02693704,0.76138738,1.05519119,0.50373903,2.98603230,1.71400883,0.07320416,2.20187909
-5.86193097,5.66750798,0.02845824,0.78560411,1.05028596,0.51744073,3.01402682,1.71367544,0.07361431,2.20537818
-5.85592796,5.73928361,0.03010476,0.81123269,1.04898105,0.53262176,3.04540264,1.71909473,0.07422438,2.21506145
-5.84992496,5.82475569,0.03187456,0.83813988,1.05130118,0.54908241,3.08006578,1.73014810,0.07500952,2.23081089
-5.84392196,5.92320123,0.03376440,0.86621558,1.05719825,0.56657820,3.11803365,1.74673042,0.07594087,2.25243043
-5.83791896,6.03380839,0.03576946,0.89536741,1.06654768,0.58482313,3.15941307,1.76873880,0.07698617,2.27964114
-5.83191596,6.15565559,0.03788304,0.92551330,1.07914711,0.60349450,3.20437137,1.79605880,0.07811048,2.31207820
-5.82591296,6.28768974,0.04009612,0.95657248,1.09471746,0.62223928,3.25310221,1.82854884,0.07927686,2.34928985
-5.81990995,6.42870568,0.04239710,0.98845550,1.11290638,0.64068192,3.30578782,1.86602376,0.08044724,2.39073867
-5.81390695,6.57732861,0.04477151,1.02105398,1.13329414,0.65843347,3.36255979,1.90823847,0.08158320,2.43580516
-5.80790395,6.73200157,0.04720184,1.05423080,1.15540160,0.67510159,3.42346038,1.95487289,0.08264690,2.48379389
-5.80190095,6.89097946,0.04966744,1.08781145,1.17870017,0.69030127,3.48840671,2.00551918,0.08360191,2.53394187
-5.79589795,7.05233097,0.05214459,1.12157716,1.20262343,0.70366578,3.55715972,2.05967209,0.08441403,2.58542922
-5.78989495,7.21394943,0.05460669,1.15526040,1.22657995,0.71485742,3.62929975,2.11672338,0.08505213,2.63739173
-5.78389195,7.37357283,0.05702460,1.18854314,1.24996684,0.72357781,3.70421025,2.17596089,0.08548879,2.68893497
-5.77788894,7.52881297,0.05936712,1.22105813,1.27218381,0.72957692,3.78107077,2.23657255,0.08570091,2.73914961
-5.77188594,7.67719313,0.06160159,1.25239331,1.29264693,0.73266092,3.85885975,2.29765549,0.08567018,2.78712731
-5.76588294,7.81619304,0.06369460,1.28209919,1.31080189,0.73269811,3.93636729,2.35823012,0.08538337,2.83197696
-5.75987994,7.94329970,0.06561286,1.30969901,1.32613620,0.72962290,4.01221761,2.41725874,0.08483251,2.87284050
-5.75387694,8.05606210,0.06732400,1.33470113,1.33819006,0.72343755,4.08490027,2.47366796,0.08401483,2.90890806
-5.74787394,8.15214776,0.06879749,1.35661323,1.34656543,0.71421170,4.15280897,2.52637419,0.08293267,2.93943199
-5.74187094,8.22939896,0.07000550,1.37495756,1.35093331,0.70207957,4.21428623,2.57431107,0.08159307,2.96373942
-5.73586793,8.28588642,0.07092372,1.38928658,1.35103889,0.68723518,4.26767224,2.61645780,0.08000743,2.98124307
-5.72986493,8.31995845,0.07153211,1.39919832,1.34670459,0.66992555,4.31135574,2.65186716,0.07819088,2.99145021
-5.72386193,8.33028382,0.07181547,1.40435074,1.33783112,0.65044248,4.34382486,2.67969227,0.07616171,2.99396964
-5.71785893,8.31588682,0.07176396,1.40447442,1.32439653,0.62911296,4.36371596,2.69921078,0.07394069,2.98851658
-5.71185593,8.27617342,0.07137337,1.39938320,1.30645347,0.60628898,4.36985853,2.70984583,0.07155043,2.97491567
-5.70585293,8.21094790,0.07064527,1.38898227,1.28412498,0.58233679,4.36131444,2.71118291,0.06901467,2.95310193
-5.69984992,8.12041946,0.06958700,1.37327350,1.25759890,0.55762637,4.33741023,2.70298218,0.06635776,2.92311998
-5.69384692,8.00519907,0.06821142,1.35235781,1.22712130,0.53252124,4.29776126,2.68518574,0.06360405,2.88512147
-5.68784392,7.86628680,0.06653662,1.32643465,1.19298919,0.50736916,4.24228716,2.65791999,0.06077749,2.83936094
-5.68184092,7.70505037,0.06458539,1.29579870,1.15554264,0.48249387,4.17121804,2.62149290,0.05790124,2.78619021
-5.67583792,7.52319590,0.06238459,1.26083392,1.11515676,0.45818819,4.08509160,2.57638671,0.05499745,2.72605137
-5.66983492,7.32273186,0.05996453,1.22200544,1.07223354,0.43470858,3.98474148,2.52324623,0.05208705,2.65946853
-5.66383192,7.10592754,0.05735812,1.17984940,1.02719385,0.41227130,3.87127743,2.46286350,0.04918969,2.58703854
-5.65782891,6.87526730,0.05460016,1.13496132,0.98046974,0.39105008,3.74605818,2.39615932,0.04632370,2.50942066
-5.65182591,6.63340198,0.05172651,1.08798339,0.93249708,0.37117536,3.61065827,2.32416236,0.04350615,2.42732552
-5.64582291,6.38309862,0.04877330,1.03959091,0.88370873,0.35273496,3.46682988,2.24798652,0.04075286,2.34150342
-5.63981991,6.12718995,0.04577620,0.99047849,0.83452825,0.33577602,3.31646115,2.16880729,0.03807851,2.25273237
-5.63381691,5.86852465,0.04276976,0.94134616,0.78536420,0.32030800,3.16153241,2.08783763,0.03549673,2.16180593
-5.62781391,5.60991948,0.03978678,0.89288582,0.73660512,0.30630663,3.00407155,2.00630407,0.03302009,2.06952126
-5.62181091,5.35411423,0.03685779,0.84576819,0.68861524,0.29371854,2.84611000,1.92542343,0.03066020,1.97666765
-5.61580790,5.10373019,0.03401062,0.80063050,0.64173084,0.28246633,2.68964041,1.84638063,0.02842765,1.88401571
-5.60980490,4.86123274,0.03127008,0.75806518,0.59625742,0.27245391,2.53657714,1.77030787,0.02633201,1.79230757
-5.60380190,4.62889859,0.02865766,0.71860953,0.55246760,0.26357196,2.38872051,1.69826556,0.02438173,1.70224829
