energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-5.87993997,4.88805689,2.88904018,1.04122357,0.00568885,1.20937103,0.11793153,2.16579120,1.02441450,0.40837006
-5.87393697,4.95711224,2.99652304,1.08376353,0.00524154,1.25985529,0.11600875,2.16397663,1.04115788,0.40459121
-5.86793397,5.03803592,3.10927050,1.12858979,0.00487093,1.31311353,0.11442626,2.16705980,1.05934084,0.40323858
-5.86193097,5.12933177,3.22532337,1.17483899,0.00457179,1.36819802,0.11319023,2.17503372,1.07887633,0.40444277
-5.85592796,5.22931045,3.34256997,1.22160773,0.00433861,1.42410057,0.11230187,2.18782388,1.09964910,0.40832124
-5.84992496,5.33611762,3.45878868,1.26796993,0.00416569,1.47977311,0.11175723,2.20528460,1.12151455,0.41497508
-5.84392196,5.44776899,3.57169743,1.31299622,0.00404725,1.53415134,0.11154714,2.22719705,1.14429857,0.42448544
-5.83791896,5.56219181,3.67900919,1.35577491,0.00397754,1.58618086,0.11165724,2.25326927,1.16779870,0.43690952
-5.83191596,5.67727142,3.77849153,1.39543403,0.00395089,1.63484494,0.11206811,2.28313813,1.19178630,0.45227631
-5.82591296,5.79090140,3.86802849,1.43116366,0.00396178,1.67919305,0.11275555,2.31637312,1.21600990,0.47058216
-5.81990995,5.90103526,3.94568206,1.46223776,0.00400489,1.71836912,0.11369098,2.35248191,1.24019954,0.49178634
-5.81390695,6.00573756,4.00975107,1.48803449,0.00407514,1.75163812,0.11484191,2.39091723,1.26407171,0.51580671
-5.80790395,6.10323210,4.05882459,1.50805426,0.00416772,1.77840996,0.11617249,2.43108504,1.28733501,0.54251586
-5.80190095,6.19194487,4.09182762,1.52193455,0.00427808,1.79825935,0.11764418,2.47235329,1.30969587,0.57173776
-5.79589795,6.27053990,4.10805672,1.52946066,0.00440202,1.81094073,0.11921645,2.51406140,1.33086438,0.60324530
-5.78989495,6.33794618,4.10720371,1.53057200,0.00453562,1.81639728,0.12084741,2.55552976,1.35055984,0.63675895
-5.78389195,6.39337454,4.08936635,1.52536322,0.00467532,1.81476340,0.12249464,2.59606936,1.36851578,0.67194673
-5.77788894,6.43632382,4.05504506,1.51408021,0.00481787,1.80636043,0.12411580,2.63499120,1.38448441,0.70842585
-5.77188594,6.46657623,4.00512578,1.49711093,0.00496041,1.79168559,0.12566935,2.67161552,1.39824026,0.74576596
-5.76588294,6.48418257,3.94084959,1.47497141,0.00510039,1.77139438,0.12711519,2.70528083,1.40958314,0.78349433
-5.75987994,6.48943831,3.86377034,1.44828745,0.00523567,1.74627727,0.12841523,2.73535268,1.41834013,0.82110290
-5.75387694,6.48285226,3.77570208,1.41777289,0.00536445,1.71723157,0.12953396,2.76123240,1.42436706,0.85805710
-5.74787394,6.46510977,3.67865886,1.38420522,0.00548533,1.68522966,0.13043886,2.78236582,1.42754926,0.89380641
-5.74187094,6.43703270,3.57478926,1.34839973,0.00559728,1.65128503,0.13110087,2.79825204,1.42780187,0.92779619
-5.73586793,6.39953861,3.46630884,1.31118333,0.00569968,1.61641766,0.13149473,2.80845233,1.42506994,0.95948076
-5.72986493,6.35360139,3.35543329,1.27336908,0.00579231,1.58162017,0.13159927,2.81259915,1.41932829,0.98833701
-5.72386193,6.30021559,3.24431521,1.23573256,0.00587535,1.54782633,0.13139764,2.81040514,1.41058144,1.01387820
-5.71785893,6.24036605,3.13498693,1.19899105,0.00594937,1.51588322,0.13087754,2.80167199,1.39886358,1.03566752
-5.71185593,6.17500448,3.02931176,1.16378622,0.00601537,1.48652810,0.13003132,2.78629893,1.38423878,1.05333067
-5.70585293,6.10503358,2.92894513,1.13067104,0.00607474,1.46037110,0.12885609,2.76429043,1.36680132,1.06656714
-5.69984992,6.03129920,2.83530686,1.10010111,0.00612925,1.43788390,0.12735375,2.73576282,1.34667608,1.07515966
-5.69384692,5.95459020,2.74956485,1.07243062,0.00618104,1.41939509,0.12553096,2.70094933,1.32401906,1.07898140
-5.68784392,5.87564523,2.67263027,1.04791275,0.00623260,1.40509170,0.12339908,2.66020312,1.29901763,1.07800055
-5.68184092,5.79516509,2.60516318,1.02670418,0.00628671,1.39502671,0.12097401,2.61399787,1.27189053,1.07228221
-5.67583792,5.71382915,2.54758759,1.00887305,0.00634641,1.38913167,0.11827600,2.56292541,1.24288728,1.06198739
-5.66983492,5.63231377,2.50011408,0.99440979,0.00641493,1.38723362,0.11532933,2.50769031,1.21228684,1.04736905
-5.66383192,5.55131063,2.46276791,0.98323989,0.00649562,1.38907491,0.11216201,2.44910084,1.18039542,1.02876555
-5.65782891,5.47154299,2.43542051,0.97523778,0.00659189,1.39433487,0.10880524,2.38805659,1.14754309,1.00659145
-5.65182591,5.39377782,2.41782203,0.97024075,0.00670711,1.40265185,0.10529300,2.32553238,1.11407927,0.98132624
-5.64582291,5.31883215,2.40963275,0.96806242,0.00684448,1.41364448,0.10166134,2.26255908,1.08036707,0.95350125
-5.63981991,5.24757239,2.41045133,0.96850456,0.00700697,1.42693079,0.09794776,2.20020126,1.04677635,0.92368522
