energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.63793969,0.03498003,0.18779326,1.28341220,0.67271641,0.79142591,0.24571627,0.00798645,1.53637588
-5.99399700,2.59963071,0.03688945,0.18164881,1.26690827,0.65353386,0.78098268,0.24610949,0.00779982,1.52027231
-5.98799400,2.55342221,0.03873530,0.17491903,1.24622528,0.63256648,0.76751588,0.24595508,0.00762706,1.49909629
-5.98199100,2.49978849,0.04048829,0.16770818,1.22160702,0.61003647,0.75120830,0.24524575,0.00746393,1.47306732
-5.97598799,2.43923961,0.04211860,0.16011984,1.19331335,0.58617315,0.73226388,0.24397130,0.00730637,1.44243581
-5.96998499,2.37231231,0.04359667,0.15225448,1.16161696,0.56120816,0.71090404,0.24211895,0.00715056,1.40747910
-5.96398199,2.29956329,0.04489402,0.14420746,1.12680123,0.53537134,0.68736448,0.23967416,0.00699299,1.36849824
-5.95797899,2.22156456,0.04598414,0.13606747,1.08915915,0.50888721,0.66189218,0.23662185,0.00683057,1.32581573
-5.95197599,2.13890070,0.04684326,0.12791540,1.04899298,0.48197216,0.63474288,0.23294799,0.00666063,1.27977395
-5.94597299,2.05216763,0.04745123,0.11982369,1.00661454,0.45483236,0.60617861,0.22864134,0.00648106,1.23073398
-5.93996998,1.96197234,0.04779211,0.11185612,0.96234555,0.42766227,0.57646547,0.22369545,0.00629024,1.17907461
-5.93396698,1.86893309,0.04785486,0.10406788,0.91651800,0.40064371,0.54587145,0.21811046,0.00608715,1.12519127
-5.92796398,1.77367946,0.04763367,0.09650603,0.86947420,0.37394538,0.51466416,0.21189484,0.00587132,1.06949454
-5.92196098,1.67685183,0.04712832,0.08921016,0.82156615,0.34772273,0.48310856,0.20506688,0.00564283,1.01240809
-5.91595798,1.57909995,0.04634417,0.08221322,0.77315435,0.32211804,0.45146451,0.19765569,0.00540229,0.95436593
-5.90995498,1.48108023,0.04529213,0.07554243,0.72460581,0.29726069,0.41998429,0.18970177,0.00515080,0.89580886
-5.90395198,1.38345184,0.04398833,0.06922029,0.67629141,0.27326754,0.38891006,0.18125715,0.00488990,0.83718016
-5.89794897,1.28687153,0.04245370,0.06326551,0.62858262,0.25024324,0.35847130,0.17238485,0.00462152,0.77892068
-5.89194597,1.19198742,0.04071330,0.05769394,0.58184779,0.22828072,0.32888237,0.16315797,0.00434788,0.72146348
-5.88594297,1.09943211,0.03879568,0.05251939,0.53644828,0.20746153,0.30034035,0.15365819,0.00407146,0.66522824
-5.87993997,1.00981543,0.03673198,0.04775439,0.49273447,0.18785635,0.27302307,0.14397401,0.00379490,0.61061576
-5.87393697,0.92371729,0.03455512,0.04341080,0.45104215,0.16952540,0.24708767,0.13419862,0.00352092,0.55800281
-5.86793397,0.84168114,0.03229886,0.03950032,0.41168917,0.15251904,0.22266955,0.12442764,0.00325226,0.50773761
-5.86193097,0.76420821,0.02999702,0.03603489,0.37497280,0.13687842,0.19988193,0.11475679,0.00299162,0.46013617
-5.85592796,0.69175320,0.02768258,0.03302699,0.34116771,0.12263622,0.17881597,0.10527966,0.00274157,0.41547964
-5.84992496,0.62472125,0.02538704,0.03048975,0.31052469,0.10981757,0.15954135,0.09608560,0.00250454,0.37401288
-5.84392196,0.56346676,0.02313979,0.02843705,0.28327007,0.09844102,0.14210754,0.08725796,0.00228274,0.33594421
-5.83791896,0.50829362,0.02096764,0.02688344,0.25960574,0.08851968,0.12654534,0.07887257,0.00207816,0.30144631
-5.83191596,0.45945710,0.01889447,0.02584396,0.23970966,0.08006239,0.11286894,0.07099667,0.00189250,0.27065828
-5.82591296,0.41716699,0.01694107,0.02533385,0.22373668,0.07307491,0.10107811,0.06368830,0.00172721,0.24368855
-5.81990995,0.38159174,0.01512510,0.02536817,0.21181932,0.06756113,0.09116064,0.05699595,0.00158344,0.22061854
-5.81390695,0.35286331,0.01346112,0.02596123,0.20406860,0.06352416,0.08309471,0.05095876,0.00146206,0.20150673
-5.80790395,0.33108224,0.01196084,0.02712599,0.20057435,0.06096732,0.07685123,0.04560699,0.00136366,0.18639299
-5.80190095,0.31632260,0.01063334,0.02887334,0.20140512,0.05989496,0.07239595,0.04096273,0.00128856,0.17530279
-5.79589795,0.30863645,0.00948549,0.03121125,0.20660741,0.06031302,0.06969132,0.03704095,0.00123680,0.16825104
-5.78989495,0.30805743,0.00852224,0.03414391,0.21620411,0.06222942,0.06869797,0.03385057,0.00120818,0.16524542
-5.78389195,0.31460334,0.00774709,0.03767085,0.23019236,0.06565406,0.06937586,0.03139565,0.00120226,0.16628892
-5.77788894,0.32827732,0.00716245,0.04178598,0.24854056,0.07059874,0.07168498,0.02967658,0.00121837,0.17138143
-5.77188594,0.34906780,0.00676995,0.04647680,0.27118503,0.07707662,0.07558565,0.02869117,0.00125559,0.18052042
-5.76588294,0.37694702,0.00657073,0.05172361,0.29802619,0.08510160,0.08103851,0.02843561,0.00131280,0.19370053
-5.75987994,0.41186834,0.00656568,0.05749895,0.32892478,0.09468749,0.08800410,0.02890527,0.00138868,0.21091220
-5.75387694,0.45376246,0.00675550,0.06376714,0.36369826,0.10584695,0.09644226,0.03009532,0.00148169,0.23213938
-5.74787394,0.50253295,0.00714075,0.07048421,0.40211777,0.11859050,0.10631128,0.03200105,0.00159010,0.25735649
-5.74187094,0.55805117,0.00772173,0.07759794,0.44390598,0.13292532,0.11756693,0.03461803,0.00171200,0.28652479
-5.73586793,0.62015122,0.00849838,0.08504837,0.48873617,0.14885422,0.13016149,0.03794206,0.00184530,0.31958837
-5.72986493,0.68862513,0.00946994,0.09276855,0.53623282,0.16637460,0.14404274,0.04196892,0.00198777,0.35647000
-5.72386193,0.76321865,0.01063466,0.10068563,0.58597384,0.18547755,0.15915316,0.04669393,0.00213706,0.39706714
-5.71785893,0.84362810,0.01198944,0.10872229,0.63749481,0.20614706,0.17542912,0.05211138,0.00229073,0.44124822
-5.71185593,0.92949852,0.01352936,0.11679845,0.69029509,0.22835942,0.19280049,0.05821397,0.00244627,0.48884964
-5.70585293,1.02042336,0.01524736,0.12483317,0.74384587,0.25208277,0.21119029,0.06499210,0.00260118,0.53967346
-5.69984992,1.11594588,0.01713379,0.13274679,0.79760009,0.27727680,0.23051473,0.07243318,0.00275300,0.59348612
-5.69384692,1.21556235,0.01917610,0.14046315,0.85100385,0.30389261,0.25068352,0.08052108,0.00289939,0.65001830
-5.68784392,1.31872708,0.02135860,0.14791175,0.90350915,0.33187268,0.27160037,0.08923551,0.00303817,0.70896593
-5.68184092,1.42485912,0.02366229,0.15503001,0.95458744,0.36115094,0.29316388,0.09855164,0.00316741,0.76999246
