energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.08111258,0.01112768,0.02127363,0.35464041,0.06366484,0.25447987,0.06120984,0.69511578,0.00000000
-5.99399700,1.04775836,0.01098455,0.01979793,0.34344071,0.06193453,0.24759840,0.05870092,0.67500340,0.00000000
-5.98799400,1.01121976,0.01077047,0.01841376,0.33121639,0.05997301,0.23976866,0.05613246,0.65258927,0.00000000
-5.98199100,0.97151870,0.01048882,0.01710934,0.31798224,0.05778636,0.23101667,0.05349452,0.62790870,0.00000000
-5.97598799,0.92880463,0.01014447,0.01587449,0.30379176,0.05538844,0.22139794,0.05078407,0.60108015,0.00000000
-5.96998499,0.88334557,0.00974359,0.01470085,0.28873471,0.05280036,0.21099510,0.04800473,0.57229885,0.00000000
-5.96398199,0.83551444,0.00929342,0.01358197,0.27293301,0.05004969,0.19991440,0.04516620,0.54182744,0.00000000
-5.95797899,0.78577158,0.00880203,0.01251327,0.25653546,0.04716941,0.18828141,0.04228343,0.50998434,0.00000000
-5.95197599,0.73464474,0.00827803,0.01149194,0.23971148,0.04419690,0.17623613,0.03937561,0.47713038,0.00000000
-5.94597299,0.68270762,0.00773032,0.01051671,0.22264443,0.04117270,0.16392776,0.03646506,0.44365469,0.00000000
-5.93996998,0.63055821,0.00716779,0.00958770,0.20552470,0.03813939,0.15150946,0.03357612,0.40996043,0.00000000
-5.93396698,0.57879799,0.00659908,0.00870608,0.18854306,0.03514062,0.13913335,0.03073395,0.37645122,0.00000000
-5.92796398,0.52801297,0.00603234,0.00787387,0.17188459,0.03222016,0.12694588,0.02796352,0.34351875,0.00000000
-5.92196098,0.47875742,0.00547506,0.00709368,0.15572334,0.02942123,0.11508395,0.02528862,0.31153218,0.00000000
-5.91595798,0.43154075,0.00493392,0.00636848,0.14021805,0.02678610,0.10367170,0.02273116,0.28082965,0.00000000
-5.90995498,0.38681805,0.00441465,0.00570145,0.12550891,0.02435583,0.09281818,0.02031049,0.25171212,0.00000000
-5.90395198,0.34498425,0.00392198,0.00509585,0.11171558,0.02217036,0.08261589,0.01804301,0.22443966,0.00000000
-5.89794897,0.30637198,0.00345962,0.00455492,0.09893629,0.02026884,0.07314015,0.01594198,0.19923008,0.00000000
-5.89194597,0.27125278,0.00303031,0.00408190,0.08724808,0.01869006,0.06444936,0.01401744,0.17625976,0.00000000
-5.88594297,0.23984116,0.00263578,0.00367999,0.07670791,0.01747322,0.05658578,0.01227635,0.15566634,0.00000000
-5.87993997,0.21230115,0.00227695,0.00335242,0.06735460,0.01665866,0.04957705,0.01072283,0.13755307,0.00000000
-5.87393697,0.18875453,0.00195392,0.00310253,0.05921134,0.01628878,0.04343801,0.00935853,0.12199419,0.00000000
-5.86793397,0.16929020,0.00166617,0.00293385,0.05228864,0.01640886,0.03817285,0.00818306,0.10904109,0.00000000
-5.86193097,0.15397397,0.00141265,0.00285016,0.04658737,0.01706790,0.03377735,0.00719445,0.09872878,0.00000000
-5.85592796,0.14285815,0.00119193,0.00285561,0.04210188,0.01831923,0.03024110,0.00638968,0.09108219,0.00000000
-5.84992496,0.13599036,0.00100231,0.00295476,0.03882291,0.02022100,0.02754961,0.00576510,0.08612208,0.00000000
-5.84392196,0.13342114,0.00084200,0.00315257,0.03674017,0.02283640,0.02568609,0.00531694,0.08387012,0.00000000
-5.83791896,0.13520987,0.00070918,0.00345442,0.03584451,0.02623357,0.02463297,0.00504162,0.08435293,0.00000000
-5.83191596,0.14142888,0.00060218,0.00386606,0.03612956,0.03048520,0.02437298,0.00493613,0.08760503,0.00000000
-5.82591296,0.15216542,0.00051951,0.00439345,0.03759280,0.03566778,0.02488982,0.00499825,0.09367036,0.00000000
-5.81990995,0.16752164,0.00046004,0.00504266,0.04023605,0.04186053,0.02616838,0.00522673,0.10260261,0.00000000
-5.81390695,0.18761254,0.00042297,0.00581962,0.04406544,0.04914398,0.02819458,0.00562135,0.11446428,0.00000000
-5.80790395,0.21256212,0.00040801,0.00672991,0.04909080,0.05759832,0.03095482,0.00618298,0.12932453,0.00000000
-5.80190095,0.24249804,0.00041533,0.00777849,0.05532467,0.06730144,0.03443516,0.00691349,0.14725618,0.00000000
-5.79589795,0.27754506,0.00044568,0.00896939,0.06278091,0.07832689,0.03862019,0.00781568,0.16833182,0.00000000
-5.78989495,0.31781774,0.00050037,0.01030545,0.07147306,0.09074170,0.04349187,0.00889311,0.19261955,0.00000000
