energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,S_s_up,S_p_up
-6.00000000,0.16004044,0.02705131,0.00000000,0.04445736,0.01158073,0.00322131,0.01235772
-5.99399700,0.19165023,0.03231245,0.00000000,0.05323951,0.01392315,0.00383876,0.01487893
-5.98799400,0.22801790,0.03834031,0.00000000,0.06334285,0.01663459,0.00454379,0.01780715
-5.98199100,0.26953131,0.04519033,0.00000000,0.07487448,0.01974974,0.00534215,0.02118494
-5.97598799,0.31654483,0.05291055,0.00000000,0.08793188,0.02330201,0.00623863,0.02505506
-5.96998499,0.36936411,0.06153901,0.00000000,0.10259862,0.02732244,0.00723673,0.02945961
-5.96398199,0.42822995,0.07110097,0.00000000,0.11893977,0.03183861,0.00833842,0.03443915
-5.95797899,0.49330191,0.08160624,0.00000000,0.13699728,0.03687338,0.00954379,0.04003178
-5.95197599,0.56464231,0.09304655,0.00000000,0.15678548,0.04244374,0.01085082,0.04627209
-5.94597299,0.64220115,0.10539324,0.00000000,0.17828680,0.04855961,0.01225514,0.05319029
-5.93996998,0.72580289,0.11859525,0.00000000,0.20144810,0.05522273,0.01374989,0.06081126
-5.93396698,0.81513567,0.13257770,0.00000000,0.22617768,0.06242573,0.01532557,0.06915372
-5.92796398,0.90974385,0.14724104,0.00000000,0.25234324,0.07015136,0.01697006,0.07822960
-5.92196098,1.00902447,0.16246095,0.00000000,0.27977105,0.07837200,0.01866869,0.08804349
-5.91595798,1.11222823,0.17808911,0.00000000,0.30824639,0.08704938,0.02040443,0.09859233
-5.90995498,1.21846544,0.19395474,0.00000000,0.33751548,0.09613479,0.02215817,0.10986537
-5.90395198,1.32671721,0.20986715,0.00000000,0.36728893,0.10556952,0.02390912,0.12184435
-5.89794897,1.43585184,0.22561908,0.00000000,0.39724674,0.11528575,0.02563534,0.13450394
-5.89194597,1.54464632,0.24099093,0.00000000,0.42704474,0.12520782,0.02731430,0.14781246
-5.88594297,1.65181243,0.25575561,0.00000000,0.45632246,0.13525389,0.02892360,0.16173287
-5.87993997,1.75602680,0.26968405,0.00000000,0.48471205,0.14533785,0.03044171,0.17622396
-5.87393697,1.85596398,0.28255106,0.00000000,0.51184814,0.15537162,0.03184874,0.19124174
-5.86793397,1.95033151,0.29414137,0.00000000,0.53737813,0.16526756,0.03312722,0.20674097
-5.86193097,2.03790562,0.30425565,0.00000000,0.56097270,0.17494105,0.03426294,0.22267673
-5.85592796,2.11756628,0.31271628,0.00000000,0.58233597,0.18431301,0.03524564,0.23900598
