energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.40551608,0.21395525,0.00180920,0.83461654,0.00000000,0.53047007,0.48798811
-5.99399700,1.34393636,0.20562747,0.00172736,0.79890011,0.00000000,0.50267350,0.47031819
-5.98799400,1.28639405,0.19730407,0.00166008,0.76548921,0.00000000,0.47869473,0.45379255
-5.98199100,1.23321964,0.18906784,0.00160713,0.73460923,0.00000000,0.45845624,0.43854430
-5.97598799,1.18463170,0.18099329,0.00156797,0.70641636,0.00000000,0.44180825,0.42466776
-5.96998499,1.14073380,0.17314493,0.00154184,0.68099532,0.00000000,0.42853557,0.41221615
-5.96398199,1.10151442,0.16557598,0.00152772,0.65835900,0.00000000,0.41836530,0.40120062
-5.95797899,1.06685035,0.15832762,0.00152438,0.63845032,0.00000000,0.41097550,0.39159073
-5.95197599,1.03651381,0.15142887,0.00153044,0.62114631,0.00000000,0.40600448,0.38331643
-5.94597299,1.01018303,0.14489705,0.00154436,0.60626452,0.00000000,0.40306087,0.37627165
-5.93996998,0.98745651,0.13873875,0.00156450,0.59357155,0.00000000,0.40173416,0.37031936
-5.93396698,0.96787006,0.13295139,0.00158917,0.58279351,0.00000000,0.40160556,0.36529785
-5.92796398,0.95091638,0.12752506,0.00161665,0.57362796,0.00000000,0.40225908,0.36102808
-5.92196098,0.93606607,0.12244465,0.00164526,0.56575686,0.00000000,0.40329232,0.35732174
-5.91595798,0.92278928,0.11769212,0.00167340,0.55885991,0.00000000,0.40432684,0.35398953
-5.90995498,0.91057679,0.11324858,0.00169957,0.55262761,0.00000000,0.40501771,0.35084941
-5.90395198,0.89895970,0.10909638,0.00172243,0.54677352,0.00000000,0.40506192,0.34773421
-5.89794897,0.88752654,0.10522067,0.00174084,0.54104492,0.00000000,0.40420525,0.34449837
-5.89194597,0.87593693,0.10161069,0.00175388,0.53523144,0.00000000,0.40224750,0.34102333
-5.88594297,0.86393134,0.09826044,0.00176086,0.52917122,0.00000000,0.39904562,0.33722140
-5.87993997,0.85133616,0.09516891,0.00176132,0.52275429,0.00000000,0.39451487,0.33303778
-5.87393697,0.83806414,0.09233974,0.00175508,0.51592301,0.00000000,0.38862774,0.32845084
-5.86793397,0.82411019,0.08978031,0.00174217,0.50866969,0.00000000,0.38141091,0.32347049
-5.86193097,0.80954287,0.08750056,0.00172286,0.50103151,0.00000000,0.37294019,0.31813495
-5.85592796,0.79449221,0.08551135,0.00169762,0.49308314,0.00000000,0.36333393,0.31250596
-5.84992496,0.77913468,0.08382268,0.00166705,0.48492759,0.00000000,0.35274510,0.30666295
-5.84392196,0.76367630,0.08244186,0.00163192,0.47668588,0.00000000,0.34135248,0.30069636
-5.83791896,0.74833488,0.08137167,0.00159305,0.46848611,0.00000000,0.32935141,0.29470071
-5.83191596,0.73332259,0.08060882,0.00155133,0.46045274,0.00000000,0.31694467,0.28876768
-5.82591296,0.71882987,0.08014265,0.00150763,0.45269668,0.00000000,0.30433371,0.28297973
-5.81990995,0.70501165,0.07995429,0.00146281,0.44530676,0.00000000,0.29171089,0.27740456
-5.81390695,0.69197668,0.08001626,0.00141764,0.43834318,0.00000000,0.27925290,0.27209083
-5.80790395,0.67978054,0.08029266,0.00137284,0.43183318,0.00000000,0.26711578,0.26706526
-5.80190095,0.66842266,0.08073982,0.00132900,0.42576930,0.00000000,0.25543153,0.26233128
-5.79589795,0.65784756,0.08130747,0.00128661,0.42011011,0.00000000,0.24430654,0.25786934
-5.78989495,0.64794997,0.08194041,0.00124603,0.41478354,0.00000000,0.23382182,0.25363872
-5.78389195,0.63858349,0.08258047,0.00120754,0.40969230,0.00000000,0.22403468,0.24958078
