energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,6.84169963,0.00560936,1.82224460,0.57450039,0.11047345,3.94132724,3.89109697,0.02478274,0.89344526
-5.99399700,6.87734878,0.00607850,1.82828975,0.58479727,0.10828744,4.04824222,3.89433556,0.02601563,0.91154202
-5.98799400,6.93116848,0.00655748,1.83799531,0.59684651,0.10706960,4.16805116,3.90521889,0.02737005,0.93381414
-5.98199100,7.00306394,0.00704184,1.85144540,0.61044444,0.10686419,4.30022708,3.92389236,0.02884192,0.96002352
-5.97598799,7.09219997,0.00752704,1.86850780,0.62537174,0.10770335,4.44378060,3.95003894,0.03042680,0.98987490
-5.96998499,7.19704580,0.00800868,1.88884034,0.64140675,0.10960773,4.59730018,3.98289307,0.03212023,1.02303209
-5.96398199,7.31545423,0.00848258,1.91190800,0.65833900,0.11258751,4.75901307,4.02127731,0.03391808,1.05913570
-5.95797899,7.44477014,0.00894499,1.93700977,0.67598212,0.11664342,4.92686317,4.06365974,0.03581683,1.09782137
-5.95197599,7.58196210,0.00939269,1.96331349,0.69418515,0.12176790,5.09860202,4.10822883,0.03781382,1.13873726
-5.94597299,7.72376931,0.00982312,1.98989692,0.71284183,0.12794626,5.27188745,4.15298145,0.03990739,1.18155982
-5.93996998,7.86685551,0.01023447,2.01579251,0.73189693,0.13515754,5.44438475,4.19581927,0.04209691,1.22600680
-5.93396698,8.00796108,0.01062569,2.04003356,0.75134938,0.14337521,5.61386469,4.23464815,0.04438263,1.27184668
-5.92796398,8.14404507,0.01099658,2.06169911,0.77125182,0.15256757,5.77829308,4.26747528,0.04676546,1.31890387
-5.92196098,8.27240958,0.01134768,2.07995532,0.79170656,0.16269774,5.93590712,4.29249895,0.04924654,1.36705949
-5.91595798,8.39080022,0.01168024,2.09409119,0.81285816,0.17372337,6.08527484,4.30818651,0.05182671,1.41624744
-5.90995498,8.49747806,0.01199613,2.10354692,0.83488288,0.18559595,6.22533463,4.31333678,0.05450596,1.46644628
-5.90395198,8.59126039,0.01229765,2.10793374,0.85797585,0.19825994,6.35541364,4.30712429,0.05728273,1.51766736
-5.89794897,8.67152971,0.01258740,2.10704449,0.88233641,0.21165171,6.47522484,4.28912389,0.06015326,1.56994006
-5.89194597,8.73821215,0.01286809,2.10085487,0.90815280,0.22569847,6.58484394,4.25931525,0.06311102,1.62329524
-5.88594297,8.79172877,0.01314237,2.08951582,0.93558689,0.24031732,6.68466878,4.21806823,0.06614620,1.67774802
-5.87993997,8.83292426,0.01341263,2.07333798,0.96476006,0.25541448,6.77536452,4.16611090,0.06924540,1.73328130
-5.87393697,8.86297924,0.01368087,2.05276951,0.99574103,0.27088507,6.85779902,4.10448309,0.07239147,1.78983111
-5.86793397,8.88331274,0.01394851,2.02836898,1.02853636,0.28661330,6.93297313,4.03447871,0.07556367,1.84727512
-5.86193097,8.89548177,0.01421637,2.00077521,1.06308439,0.30247340,7.00195067,3.95758085,0.07873805,1.90542506
-5.85592796,8.90108473,0.01448454,1.97067578,1.09925272,0.31833119,7.06579263,3.87539356,0.08188804,1.96402386
-5.84992496,8.90167446,0.01475241,1.93877623,1.13683964,0.33404651,7.12549978,3.78957411,0.08498537,2.02274793
-5.84392196,8.89868594,0.01501868,1.90577144,1.17557927,0.34947621,7.18196670,3.70176934,0.08800117,2.08121441
-5.83791896,8.89338196,0.01528147,1.87232059,1.21515005,0.36447798,7.23594946,3.61355890,0.09090721,2.13899321
-5.83191596,8.88681872,0.01553841,1.83902665,1.25518622,0.37891454,7.28804786,3.52640776,0.09367723,2.19562317
-5.82591296,8.87983159,0.01578677,1.80642117,1.29529136,0.39265826,7.33870223,3.44162930,0.09628835,2.25063124
-5.81990995,8.87303982,0.01602370,1.77495434,1.33505325,0.40559591,7.38820325,3.36035979,0.09872232,2.30355363
-5.81390695,8.86686770,0.01624633,1.74499040,1.37405923,0.41763328,7.43671269,3.28354400,0.10096671,2.35395756
-5.80790395,8.86157828,0.01645204,1.71680786,1.41191098,0.42869947,7.48429214,3.21193117,0.10301577,2.40146217
-5.80190095,8.85731566,0.01663858,1.69060371,1.44823803,0.43875059,7.53093603,3.14608002,0.10487115,2.44575724
-5.79589795,8.85415077,0.01680425,1.66650079,1.48270923,0.44777259,7.57660563,3.08637095,0.10654210,2.48661859
-5.78989495,8.85212635,0.01694805,1.64455729,1.51504146,0.45578309,7.62126024,3.03302347,0.10804545,2.52391907
-5.78389195,8.85129662,0.01706976,1.62477734,1.54500548,0.46283200,7.66488273,2.98611679,0.10940506,2.55763443
-5.77788894,8.85175841,0.01716997,1.60712169,1.57242839,0.46900088,7.70749682,2.94561166,0.11065106,2.58784370
-5.77188594,8.85367092,0.01725015,1.59151779,1.59719302,0.47440092,7.74917450,2.91137157,0.11181861,2.61472398
-5.76588294,8.85726287,0.01731256,1.57786845,1.61923432,0.47916969,7.79003304,2.88318215,0.11294645,2.63853995
-5.75987994,8.86282660,0.01736017,1.56605877,1.63853319,0.48346661,7.83022155,2.86076760,0.11407528,2.65962871
-5.75387694,8.87069994,0.01739657,1.55596111,1.65510829,0.48746741,7.86989848,2.84380366,0.11524592,2.67838075
-5.74787394,8.88123766,0.01742578,1.54743810,1.66900658,0.49135774,7.90920190,2.83192700,0.11649754,2.69521827
-5.74187094,8.89477501,0.01745210,1.54034382,1.68029310,0.49532614,7.94821495,2.82474122,0.11786593,2.71057186
-5.73586793,8.91158645,0.01747982,1.53452365,1.68904082,0.49955672,7.98692966,2.82182001,0.11938188,2.72485701
-5.72986493,8.93184316,0.01751311,1.52981304,1.69532129,0.50422181,8.02521195,2.82270832,0.12106987,2.73845157
-5.72386193,8.95557251,0.01755568,1.52603594,1.69919638,0.50947483,8.06277098,2.82692228,0.12294699,2.75167534
-5.71785893,8.98262296,0.01761069,1.52300314,1.70071198,0.51544379,8.09913551,2.83394889,0.12502226,2.76477280
-5.71185593,9.01263702,0.01768044,1.52051124,1.69989356,0.52222553,8.13363958,2.84324640,0.12729623,2.77789976
-5.70585293,9.04503450,0.01776628,1.51834242,1.69674411,0.52988103,8.16541895,2.85424598,0.12976112,2.79111452
-5.69984992,9.07900746,0.01786846,1.51626549,1.69124423,0.53843197,8.19341944,2.86635529,0.13240108,2.80437376
-5.69384692,9.11352752,0.01798603,1.51403826,1.68335446,0.54785864,8.21641710,2.87896428,0.13519302,2.81753325
-5.68784392,9.14736546,0.01811680,1.51141123,1.67301934,0.55809928,8.23304962,2.89145335,0.13810751,2.83035330
-5.68184092,9.17912211,0.01825738,1.50813273,1.66017318,0.56905091,8.24185786,2.90320363,0.14111006,2.84250827
-5.67583792,9.20726924,0.01840321,1.50395494,1.64474679,0.58057160,8.24133537,2.91360907,0.14416243,2.85359987
-5.66983492,9.23019824,0.01854867,1.49864096,1.62667496,0.59248415,8.22998377,2.92208990,0.14722406,2.86317339
-5.66383192,9.24627435,0.01868726,1.49197214,1.60590402,0.60458094,8.20637129,2.92810673,0.15025356,2.87073598
-5.65782891,9.25389398,0.01881182,1.48375561,1.58239921,0.61662988,8.16919180,2.93117473,0.15321009,2.87577635
-5.65182591,9.25154226,0.01891469,1.47383155,1.55615128,0.62838129,8.11732143,2.93087701,0.15605468,2.87778487
-5.64582291,9.23784858,0.01898807,1.46207964,1.52718201,0.63957523,8.04987049,2.92687670,0.15875135,2.87627334
-5.63981991,9.21163771,0.01902421,1.44842472,1.49554852,0.64994941,7.96622819,2.91892717,0.16126814,2.87079366
-5.63381691,9.17197448,0.01901572,1.43284112,1.46134594,0.65924703,7.86609832,2.90687968,0.16357787,2.86095479
-5.62781391,9.11820054,0.01895587,1.41535551,1.42470860,0.66722451,7.74952457,2.89068851,0.16565872,2.84643743
-5.62181091,9.04996186,0.01883879,1.39604829,1.38580954,0.67365878,7.61690437,2.87041297,0.16749462,2.82700596
-5.61580790,8.96722633,0.01865973,1.37505328,1.34485855,0.67835387,7.46899087,2.84621662,0.16907547,2.80251741
-5.60980490,8.87029105,0.01841522,1.35255585,1.30209884,0.68114663,7.30688314,2.81836345,0.17039709,2.77292728
-5.60380190,8.75977934,0.01810323,1.32878955,1.25780255,0.68191126,7.13200493,2.78721147,0.17146111,2.73829202
-5.59779890,8.63662796,0.01772323,1.30403126,1.21226532,0.68056276,6.94607309,2.75320382,0.17227469,2.69876846
-5.59179590,8.50206513,0.01727624,1.27859515,1.16580029,0.67705890,6.75105663,2.71685790,0.17285011,2.65461004
-5.58579290,8.35758030,0.01676481,1.25282556,1.11873162,0.67140089,6.54912813,2.67875275,0.17320427,2.60616038
-5.57978989,8.20488690,0.01619295,1.22708900,1.07138801,0.66363272,6.34260906,2.63951517,0.17335815,2.55384423
-5.57378689,8.04587916,0.01556596,1.20176553,1.02409630,0.65383910,6.13391089,2.59980497,0.17333614,2.49815636
-5.56778389,7.88258441,0.01489034,1.17723963,0.97717540,0.64214228,5.92547396,2.56029967,0.17316537,2.43964868
-5.56178089,7.71711222,0.01417354,1.15389084,0.93093082,0.62869779,5.71970579,2.52167892,0.17287499,2.37891610
-5.55577789,7.55160160,0.01342373,1.13208436,0.88564972,0.61368937,5.51892088,2.48460911,0.17249538,2.31658151
-5.54977489,7.38816771,0.01264960,1.11216173,0.84159678,0.59732317,5.32528360,2.44972805,0.17205738,2.25328035
-5.54377189,7.22884906,0.01186006,1.09443180,0.79901079,0.57982157,5.14075569,2.41763027,0.17159148,2.18964521
-5.53776888,7.07555659,0.01106403,1.07916224,0.75810199,0.56141683,4.96704982,2.38885276,0.17112694,2.12629083
-5.53176588,6.93002543,0.01027022,1.06657160,0.71905012,0.54234471,4.80559033,2.36386147,0.17069101,2.06379988
-5.52576288,6.79377042,0.00948688,1.05682219,0.68200316,0.52283837,4.65748199,2.34303869,0.17030801,2.00270982
-5.51975988,6.66804624,0.00872162,1.05001394,0.64707663,0.50312262,4.52348754,2.32667131,0.16999858,1.94350110
-5.51375688,6.55381290,0.00798131,1.04617936,0.61435339,0.48340884,4.40401434,2.31494027,0.16977881,1.88658691
-5.50775388,6.45170743,0.00727189,1.04527980,0.58388388,0.46389050,4.29911036,2.30791142,0.16965952,1.83230478
-5.50175088,6.36202237,0.00659833,1.04720321,0.55568669,0.44473951,4.20846942,2.30552797,0.16964562,1.78090994
-5.49574787,6.28469188,0.00596457,1.05176342,0.52974948,0.42610340,4.13144534,2.30760503,0.16973547,1.73257075
-5.48974487,6.21928599,0.00537351,1.05870126,0.50603013,0.40810338,4.06707467,2.31382648,0.16992051,1.68736617
-5.48374187,6.16501362,0.00482703,1.06768760,0.48445816,0.39083320,4.01410721,2.32374473,0.17018491,1.64528536
-5.47773887,6.12073489,0.00432605,1.07832831,0.46493642,0.37435895,3.97104360,2.33678372,0.17050558,1.60622942
-5.47173587,6.08498316,0.00387056,1.09017128,0.44734315,0.35871951,3.93617900,2.35224567,0.17085219,1.57001525
-5.46573287,6.05599687,0.00345977,1.10271557,0.43153421,0.34392785,3.90765191,2.36932184,0.17118764,1.53638158
-5.45972986,6.03176129,0.00309217,1.11542244,0.41734586,0.32997294,3.88349680,2.38710763,0.17146862,1.50499707
-5.45372686,6.01005980,0.00276566,1.12772833,0.40459785,0.31682216,3.86169964,2.40462208,0.17164656,1.47547034
-5.44772386,5.98853409,0.00247767,1.13905942,0.39309690,0.30442432,3.84025468,2.42083165,0.17166873,1.44736193
-5.44172086,5.96475207,0.00222527,1.14884751,0.38264070,0.29271297,3.81722153,2.43467802,0.17147970,1.42019778
-5.43571786,5.93628218,0.00200529,1.15654686,0.37302222,0.28161003,3.79078084,2.44510936,0.17102289,1.39348415
-5.42971486,5.90077202,0.00181445,1.16165149,0.36403441,0.27102961,3.75928749,2.45111416,0.17024240,1.36672342
-5.42371186,5.85602912,0.00164941,1.16371241,0.35547502,0.26088190,3.72131974,2.45175671,0.16908487,1.33943061
-5.41770885,5.80010105,0.00150691,1.16235414,0.34715171,0.25107705,3.67572308,2.44621298,0.16750141,1.31114983
