energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,2.94554965,0.01049767,0.21334558,0.93492141,0.67249865,0.30151338,0.04815889,1.60518872
-5.99399700,2.83866084,0.00986632,0.20487815,0.90450215,0.65241399,0.29121292,0.04610203,1.54740664
-5.98799400,2.72580748,0.00921867,0.19592261,0.87218714,0.63108199,0.28028997,0.04389710,1.48639887
-5.98199100,2.60830358,0.00856284,0.18657433,0.83822775,0.60874668,0.26886941,0.04157493,1.42290334
-5.97598799,2.48751095,0.00790663,0.17693465,0.80290488,0.58566394,0.25708297,0.03916783,1.35768085
-5.96998499,2.36481565,0.00725740,0.16710889,0.76652878,0.56209776,0.24506710,0.03670893,1.29150174
-5.96398199,2.24160319,0.00662191,0.15720424,0.72943754,0.53831620,0.23296044,0.03423149,1.22513222
-5.95797899,2.11923353,0.00600624,0.14732749,0.69199419,0.51458698,0.22090128,0.03176819,1.15932057
-5.95197599,1.99901650,0.00541567,0.13758290,0.65458242,0.49117281,0.20902500,0.02935058,1.09478387
-5.94597299,1.88218869,0.00485466,0.12807009,0.61760105,0.46832681,0.19746147,0.02700844,1.03219555
-5.93996998,1.76989242,0.00432680,0.11888211,0.58145733,0.44628801,0.18633269,0.02476938,0.97217426
-5.93396698,1.66315742,0.00383481,0.11010376,0.54655934,0.42527715,0.17575062,0.02265839,0.91527436
-5.92796398,1.56288591,0.00338057,0.10181018,0.51330771,0.40549297,0.16581525,0.02069760,0.86197824
-5.92196098,1.46984113,0.00296520,0.09406568,0.48208686,0.38710905,0.15661305,0.01890601,0.81269072
-5.91595798,1.38463970,0.00258905,0.08692298,0.45325619,0.37027128,0.14821576,0.01729947,0.76773550
-5.90995498,1.30774765,0.00225186,0.08042268,0.42714139,0.35509613,0.14067952,0.01589054,0.72735366
-5.90395198,1.23947999,0.00195278,0.07459309,0.40402611,0.34166959,0.13404439,0.01468860,0.69170401
-5.89794897,1.18000344,0.00169052,0.06945024,0.38414449,0.33004682,0.12833423,0.01369988,0.66086526
-5.89194597,1.12934193,0.00146339,0.06499832,0.36767448,0.32025254,0.12355683,0.01292760,0.63483946
-5.88594297,1.08738436,0.00126944,0.06123013,0.35473235,0.31228190,0.11970445,0.01237206,0.61355667
-5.87993997,1.05389413,0.00110649,0.05812787,0.34536864,0.30610190,0.11675443,0.01203085,0.59688044
-5.87393697,1.02851985,0.00097226,0.05566402,0.33956545,0.30165318,0.11467019,0.01189893,0.58461376
-5.86793397,1.01080686,0.00086438,0.05380236,0.33723542,0.29885204,0.11340224,0.01196878,0.57650533
-5.86193097,1.00020917,0.00078050,0.05249907,0.33822235,0.29759270,0.11288947,0.01223053,0.57225585
-5.85592796,0.99610146,0.00071828,0.05170392,0.34230355,0.29774959,0.11306045,0.01267206,0.57152422
-5.84992496,0.99779105,0.00067546,0.05136153,0.34919383,0.29917968,0.11383486,0.01327913,0.57393352
-5.84392196,1.00452974,0.00064988,0.05141263,0.35855118,0.30172484,0.11512505,0.01403546,0.57907687
-5.83791896,1.01552548,0.00063945,0.05179541,0.36998393,0.30521420,0.11683763,0.01492287,0.58652305
-5.83191596,1.02995406,0.00064223,0.05244683,0.38305937,0.30946652,0.11887515,0.01592143,0.59582208
-5.82591296,1.04697089,0.00065639,0.05330398,0.39731345,0.31429260,0.12113788,0.01700959,0.60651088
-5.81990995,1.06572305,0.00068019,0.05430545,0.41226156,0.31949784,0.12352561,0.01816448,0.61811907
-5.81390695,1.08536174,0.00071206,0.05539262,0.42740988,0.32488498,0.12593961,0.01936207,0.63017513
-5.80790395,1.10505523,0.00075051,0.05651100,0.44226720,0.33025698,0.12828451,0.02057759,0.64221287
-5.80190095,1.12400228,0.00079420,0.05761150,0.45635665,0.33542029,0.13047031,0.02178582,0.65377845
-5.79589795,1.14144609,0.00084191,0.05865158,0.46922722,0.34018821,0.13241432,0.02296157,0.66443776
-5.78989495,1.15668834,0.00089259,0.05959637,0.48046452,0.34438458,0.13404305,0.02408012,0.67378417
-5.78389195,1.16910336,0.00094533,0.06041964,0.48970061,0.34784763,0.13529406,0.02511770,0.68144646
-5.77788894,1.17815167,0.00099942,0.06110457,0.49662240,0.35043387,0.13611756,0.02605205,0.68709675
-5.77188594,1.18339272,0.00105433,0.06164446,0.50097851,0.35202187,0.13647783,0.02686289,0.69045806
-5.76588294,1.18449611,0.00110978,0.06204303,0.50258432,0.35251590,0.13635438,0.02753241,0.69131130
-5.75987994,1.18125082,0.00116573,0.06231470,0.50132497,0.35184912,0.13574273,0.02804576,0.68950128
-5.75387694,1.17357180,0.00122242,0.06248439,0.49715638,0.34998609,0.13465484,0.02839137,0.68494138
-5.74787394,1.16150360,0.00128039,0.06258719,0.49010413,0.34692466,0.13311903,0.02856128,0.67761663
-5.74187094,1.14522047,0.00134046,0.06266763,0.48026039,0.34269677,0.13117958,0.02855135,0.66758489
-5.73586793,1.12502275,0.00140378,0.06277874,0.46777901,0.33736829,0.12889567,0.02836134,0.65497599
-5.72986493,1.10132934,0.00147182,0.06298070,0.45286898,0.33103764,0.12634002,0.02799486,0.63998862
-5.72386193,1.07466642,0.00154632,0.06333930,0.43578651,0.32383325,0.12359699,0.02745923,0.62288510
-5.71785893,1.04565247,0.00162931,0.06392410,0.41682611,0.31590988,0.12076028,0.02676526,0.60398400
-5.71185593,1.01498008,0.00172304,0.06480637,0.39631104,0.30744383,0.11793030,0.02592680,0.58365091
-5.70585293,0.98339505,0.00182993,0.06605684,0.37458332,0.29862729,0.11521128,0.02496033,0.56228757
-5.69984992,0.95167351,0.00195254,0.06774338,0.35199394,0.28966195,0.11270811,0.02388441,0.54031975
