energy_ev,total_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Sn_p_up,Sn_d_up
-6.00000000,1.04462658,0.01846918,0.53235802,0.48254145,0.20325464,0.04166971,0.00008158
-5.99399700,0.98377912,0.01736471,0.50660121,0.44885441,0.19447748,0.03974832,0.00007515
-5.98799400,0.93131406,0.01641021,0.48558880,0.41872224,0.18754928,0.03809336,0.00006921
-5.98199100,0.88746967,0.01561010,0.46940594,0.39235139,0.18249156,0.03671793,0.00006381
-5.97598799,0.85241485,0.01496811,0.45810324,0.36993130,0.17931073,0.03563209,0.00005897
-5.96998499,0.82624687,0.01448720,0.45169596,0.35163394,0.17799770,0.03484247,0.00005470
-5.96398199,0.80899178,0.01416951,0.45016459,0.33761421,0.17852793,0.03435199,0.00005102
-5.95797899,0.80060754,0.01401641,0.45345685,0.32801110,0.18086219,0.03415985,0.00004793
-5.95197599,0.80098969,0.01402852,0.46149093,0.32294954,0.18494786,0.03426160,0.00004543
-5.94597299,0.80997922,0.01420586,0.47415998,0.32254258,0.19072081,0.03464935,0.00004351
-5.93996998,0.82737205,0.01454789,0.49133742,0.32689365,0.19810766,0.03531221,0.00004214
-5.93396698,0.85292959,0.01505371,0.51288285,0.33609859,0.20702846,0.03623677,0.00004132
-5.92796398,0.88638935,0.01572214,0.53864797,0.35024703,0.21739940,0.03740766,0.00004102
-5.92196098,0.92747505,0.01655185,0.56848220,0.36942275,0.22913555,0.03880815,0.00004121
-5.91595798,0.97590524,0.01754142,0.60223746,0.39370290,0.24215336,0.04042082,0.00004187
-5.90995498,1.03139980,0.01868936,0.63977167,0.42315564,0.25637271,0.04222805,0.00004297
-5.90395198,1.09368374,0.01999406,0.68095073,0.45783620,0.27171848,0.04421257,0.00004449
-5.89794897,1.16248788,0.02145368,0.72564854,0.49778139,0.28812133,0.04635782,0.00004639
-5.89194597,1.23754624,0.02306601,0.77374515,0.54300267,0.30551781,0.04864821,0.00004867
-5.88594297,1.31859038,0.02482823,0.82512295,0.59347799,0.32384968,0.05106924,0.00005128
-5.87993997,1.40534089,0.02673663,0.87966116,0.64914301,0.34306246,0.05360752,0.00005421
-5.87393697,1.49749684,0.02878632,0.93722900,0.70988203,0.36310346,0.05625058,0.00005743
-5.86793397,1.59472397,0.03097093,0.99767800,0.77551940,0.38391931,0.05898664,0.00006092
-5.86193097,1.69664276,0.03328229,1.06083414,0.84581199,0.40545330,0.06180429,0.00006466
-5.85592796,1.80281753,0.03571024,1.12649055,0.92044355,0.42764279,0.06469212,0.00006862
-5.84992496,1.91274770,0.03824240,1.19440142,0.99902144,0.45041695,0.06763836,0.00007277
-5.84392196,2.02586255,0.04086417,1.26427793,1.08107644,0.47369501,0.07063055,0.00007709
-5.83791896,2.14152029,0.04355869,1.33578685,1.16606606,0.49738552,0.07365531,0.00008156
-5.83191596,2.25901235,0.04630711,1.40855220,1.25338152,0.52138650,0.07669821,0.00008612
-5.82591296,2.37757329,0.04908888,1.48216044,1.34235859,0.54558691,0.07974379,0.00009077
-5.81990995,2.49639644,0.05188221,1.55616921,1.43229207,0.56986927,0.08277575,0.00009546
-5.81390695,2.61465497,0.05466466,1.63011951,1.52245347,0.59411362,0.08577728,0.00010015
-5.80790395,2.73152779,0.05741391,1.70355087,1.61211147,0.61820243,0.08873157,0.00010482
-5.80190095,2.84622899,0.06010845,1.77601905,1.70055414,0.64202650,0.09162244,0.00010944
-5.79589795,2.95803970,0.06272852,1.84711523,1.78711214,0.66549135,0.09443502,0.00011396
-5.78989495,3.06634051,0.06525688,1.91648581,1.87118182,0.68852387,0.09715661,0.00011838
-5.78389195,3.17064268,0.06767961,1.98385172,1.95224717,0.71107861,0.09977738,0.00012266
-5.77788894,3.27061636,0.06998686,2.04902599,2.02989951,0.73314352,0.10229117,0.00012679
-5.77188594,3.36611395,0.07217336,2.11192851,2.10385398,0.75474452,0.10469603,0.00013076
-5.76588294,3.45718700,0.07423887,2.17259697,2.17396198,0.77594846,0.10699478,0.00013457
-5.75987994,3.54409526,0.07618834,2.23119303,2.24021900,0.79686436,0.10919518,0.00013822
-5.75387694,3.62730701,0.07803191,2.28800314,2.30276719,0.81764237,0.11131000,0.00014173
-5.74787394,3.70748999,0.07978459,2.34343353,2.36189269,0.83847053,0.11335674,0.00014512
-5.74187094,3.78549290,0.08146580,2.39799941,2.41801761,0.85956921,0.11535714,0.00014841
-5.73586793,3.86231794,0.08309859,2.45230840,2.47168694,0.88118330,0.11733638,0.00015163
-5.72986493,3.93908520,0.08470874,2.50703890,2.52355098,0.90357248,0.11932204,0.00015482
-5.72386193,4.01699008,0.08632365,2.56291397,2.57434376,0.92699977,0.12134292,0.00015803
-5.71785893,4.09725575,0.08797109,2.62067188,2.62485838,0.95171906,0.12342759,0.00016130
-5.71185593,4.18108217,0.08967797,2.68103455,2.67592012,0.97796182,0.12560295,0.00016467
-5.70585293,4.26959417,0.09146900,2.74467506,2.72835834,1.00592397,0.12789273,0.00016819
-5.69984992,4.36379064,0.09336546,2.81218585,2.78297794,1.03575324,0.13031603,0.00017188
-5.69384692,4.46449697,0.09538406,2.88404882,2.84053165,1.06753784,0.13288598,0.00017579
-5.68784392,4.57232304,0.09753594,2.96060885,2.90169375,1.10129693,0.13560863,0.00017995
-5.68184092,4.68762841,0.09982590,3.04205171,2.96703618,1.13697351,0.13848205,0.00018436
-5.67583792,4.81049629,0.10225189,3.12838764,3.03700780,1.17443002,0.14149576,0.00018905
-5.66983492,4.94071752,0.10480466,3.21944108,3.11191723,1.21344714,0.14463054,0.00019400
-5.66383192,5.07778523,0.10746789,3.31484730,3.19191992,1.25372576,0.14785856,0.00019922
-5.65782891,5.22090043,0.11021836,3.41405594,3.27700971,1.29489231,0.15114390,0.00020467
-5.65182591,5.36898830,0.11302665,3.51634141,3.36701492,1.33650717,0.15444344,0.00021032
-5.64582291,5.52072457,0.11585785,3.62081974,3.46159933,1.37807592,0.15770811,0.00021614
-5.63981991,5.67457076,0.11867268,3.72647120,3.56026760,1.41906306,0.16088435,0.00022206
-5.63381691,5.82881694,0.12142864,3.83216761,3.66237513,1.45890745,0.16391586,0.00022804
-5.62781391,5.98163010,0.12408136,3.93670344,3.76714186,1.49703904,0.16674543,0.00023400
-5.62181091,6.13110613,0.12658601,4.03882910,3.87366961,1.53289611,0.16931690,0.00023987
-5.61580790,6.27532349,0.12889861,4.13728543,3.98096231,1.56594221,0.17157707,0.00024559
-5.60980490,6.41239624,0.13097744,4.23083767,4.08794847,1.59568223,0.17347744,0.00025108
-5.60380190,6.54052460,0.13278422,4.31830786,4.19350525,1.62167683,0.17497590,0.00025627
-5.59779890,6.65804112,0.13428518,4.39860443,4.29648329,1.64355481,0.17603804,0.00026109
-5.59179590,6.76345104,0.13545195,4.47074798,4.39573172,1.66102280,0.17663822,0.00026548
-5.58579290,6.85546565,0.13626224,4.53389248,4.49012247,1.67387212,0.17676029,0.00026938
-5.57978989,6.93302788,0.13670020,4.58734158,4.57857346,1.68198263,0.17639793,0.00027274
-5.57378689,6.99532974,0.13675670,4.63055950,4.66007004,1.68532346,0.17555464,0.00027553
-5.56778389,7.04182176,0.13642926,4.66317692,4.73368416,1.68395097,0.17424336,0.00027771
-5.56178089,7.07221474,0.13572183,4.68499187,4.79859113,1.67800411,0.17248584,0.00027926
-5.55577789,7.08647465,0.13464438,4.69596632,4.85408359,1.66769751,0.17031163,0.00028019
-5.54977489,7.08481162,0.13321238,4.69621906,4.89958267,1.65331303,0.16775697,0.00028048
-5.54377189,7.06766418,0.13144617,4.68601558,4.93464624,1.63518997,0.16486352,0.00028016
-5.53776888,7.03567991,0.12937022,4.66575595,4.95897443,1.61371474,0.16167694,0.00027924
-5.53176588,6.98969374,0.12701244,4.63596119,4.97241233,1.58931030,0.15824557,0.00027777
-5.52576288,6.93070492,0.12440345,4.59725908,4.97495028,1.56242594,0.15461908,0.00027579
-5.51975988,6.85985352,0.12157590,4.55036990,4.96672161,1.53352772,0.15084726,0.00027334
-5.51375688,6.77839730,0.11856385,4.49609245,4.94799824,1.50308977,0.14697897,0.00027048
-5.50775388,6.68768923,0.11540221,4.43529076,4.91918409,1.47158674,0.14306122,0.00026727
-5.50175088,6.58915596,0.11212628,4.36888152,4.88080654,1.43948739,0.13913851,0.00026380
-5.49574787,6.48427730,0.10877129,4.29782218,4.83350609,1.40724926,0.13525232,0.00026011
-5.48974487,6.37456652,0.10537212,4.22309961,4.77802417,1.37531433,0.13144078,0.00025629
-5.48374187,6.26155126,0.10196294,4.14571908,4.71518940,1.34410555,0.12773855,0.00025241
-5.47773887,6.14675471,0.09857701,4.06669326,4.64590238,1.31402397,0.12417681,0.00024854
-5.47173587,6.03167696,0.09524645,3.98703111,4.57111918,1.28544624,0.12078341,0.00024475
-5.46573287,5.91777617,0.09200198,3.90772632,4.49183379,1.25872244,0.11758303,0.00024111
-5.45972986,5.80644960,0.08887276,3.82974537,4.40905988,1.23417393,0.11459750,0.00023767
-5.45372686,5.69901465,0.08588618,3.75401510,4.32381211,1.21209108,0.11184598,0.00023450
-5.44772386,5.59669007,0.08306758,3.68140997,4.23708752,1.19273112,0.10934531,0.00023163
-5.44172086,5.50057785,0.08044009,3.61273931,4.14984740,1.17631572,0.10711018,0.00022912
-5.43571786,5.41164625,0.07802435,3.54873478,4.06300010,1.16302869,0.10515334,0.00022698
-5.42971486,5.33071457,0.07583831,3.49003859,3.97738525,1.15301372,0.10348572,0.00022525
-5.42371186,5.25844037,0.07389696,3.43719289,3.89375981,1.14637242,0.10211646,0.00022393
-5.41770885,5.19530953,0.07221215,3.39063062,3.81278636,1.14316265,0.10105296,0.00022302
-5.41170585,5.14162971,0.07079243,3.35066845,3.73502377,1.14339739,0.10030074,0.00022253
-5.40570285,5.09752756,0.06964284,3.31750189,3.66092064,1.14704428,0.09986334,0.00022242
-5.39969985,5.06294962,0.06876483,3.29120287,3.59081133,1.15402571,0.09974219,0.00022269
-5.39369685,5.03766705,0.06815618,3.27171979,3.52491466,1.16421969,0.09993632,0.00022330
-5.38769385,5.02128363,0.06781096,3.25888003,3.46333507,1.17746140,0.10044217,0.00022421
-5.38169085,5.01324678,0.06771955,3.25239455,3.40606604,1.19354525,0.10125338,0.00022539
-5.37568784,5.01286093,0.06786871,3.25186453,3.35299528,1.21222750,0.10236045,0.00022678
-5.36968484,5.01930254,0.06824162,3.25678948,3.30391163,1.23322914,0.10375061,0.00022835
-5.36368184,5.03163602,0.06881811,3.26657648,3.25851303,1.25623910,0.10540754,0.00023005
-5.35767884,5.04883008,0.06957476,3.28055023,3.21641551,1.28091741,0.10731128,0.00023183
-5.35167584,5.06977389,0.07048519,3.29796349,3.17716276,1.30689841,0.10943802,0.00023365
-5.34567284,5.09329267,0.07152032,3.31800774,3.14023621,1.33379393,0.11176019,0.00023546
-5.33966983,5.11816258,0.07264867,3.33982387,3.10506559,1.36119632,0.11424638,0.00023723
-5.33366683,5.14312504,0.07383677,3.36251294,3.07103974,1.38868158,0.11686158,0.00023891
-5.32766383,5.16690056,0.07504962,3.38514700,3.03751804,1.41581250,0.11956742,0.00024048
-5.32166083,5.18820257,0.07625115,3.40678033,3.00384225,1.44214215,0.12232250,0.00024189
-5.31565783,5.20575179,0.07740483,3.42646117,2.96934906,1.46721783,0.12508297,0.00024312
-5.30965483,5.21829145,0.07847426,3.44324428,2.93338328,1.49058566,0.12780314,0.00024413
-5.30365183,5.22460412,0.07942386,3.45620464,2.89531180,1.51179602,0.13043628,0.00024490
-5.29764882,5.22353024,0.08021962,3.46445237,2.85453811,1.53040996,0.13293547,0.00024541
-5.29164582,5.21398872,0.08082981,3.46714895,2.81051721,1.54600672,0.13525465,0.00024562
-5.28564282,5.19499935,0.08122573,3.46352463,2.76277066,1.55819222,0.13734965,0.00024552
-5.27963982,5.16570682,0.08138247,3.45289686,2.71090130,1.56660850,0.13917933,0.00024507
-5.27363682,5.12540568,0.08127958,3.43468913,2.65460699,1.57094389,0.14070672,0.00024427
-5.26763382,5.07356528,0.08090165,3.40844973,2.59369307,1.57094353,0.14190009,0.00024309
-5.26163082,5.00985367,0.08023886,3.37386963,2.52808260,1.56641982,0.14273398,0.00024152
-5.25562781,4.93415926,0.07928731,3.33079859,2.45782403,1.55726242,0.14319014,0.00023956
-5.24962481,4.84660879,0.07804926,3.27925875,2.38309564,1.54344711,0.14325823,0.00023720
