energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,2.87335719,0.00948740,0.48371536,0.26430073,0.35531276,0.75066412,0.67496629,0.09888071,0.94102251
-5.99399700,2.75135919,0.00892340,0.47614928,0.24487333,0.33283613,0.73769816,0.66429071,0.09364521,0.88071608
-5.98799400,2.62933679,0.00838168,0.46822940,0.22607598,0.31034799,0.72325703,0.65351383,0.08846038,0.82155317
-5.98199100,2.50818964,0.00786446,0.46008288,0.20799612,0.28808002,0.70747634,0.64279760,0.08336134,0.76391699
-5.97598799,2.38886453,0.00737370,0.45186168,0.19072245,0.26624996,0.69053211,0.63234072,0.07838308,0.70818099
-5.96998499,2.27234106,0.00691117,0.44374031,0.17434166,0.24505812,0.67263896,0.62237554,0.07356039,0.65470229
-5.96398199,2.15961668,0.00647850,0.43591245,0.15893581,0.22468470,0.65404684,0.61316301,0.06892778,0.60381642
-5.95797899,2.05169090,0.00607728,0.42858628,0.14458013,0.20528805,0.63503617,0.60498585,0.06451941,0.55583330
-5.95197599,1.94954868,0.00570909,0.42197866,0.13134146,0.18700379,0.61591138,0.59813974,0.06036900,0.51103440
-5.94597299,1.85414273,0.00537559,0.41630825,0.11927717,0.16994459,0.59699317,0.59292296,0.05650973,0.46967087
-5.93996998,1.76637491,0.00507855,0.41178766,0.10843452,0.15420067,0.57860948,0.58962456,0.05297404,0.43196246
-5.93396698,1.68707674,0.00481983,0.40861504,0.09885042,0.13984070,0.56108556,0.58851161,0.04979334,0.39809696
-5.92796398,1.61698938,0.00460145,0.40696540,0.09055134,0.12691306,0.54473352,0.58981596,0.04699774,0.36822983
-5.92196098,1.55674362,0.00442550,0.40698195,0.08355352,0.11544736,0.52984177,0.59372118,0.04461551,0.34248395
-5.91595798,1.50684051,0.00429409,0.40876807,0.07786312,0.10545591,0.51666485,0.60035033,0.04267254,0.32094908
-5.90995498,1.46763329,0.00420931,0.41238027,0.07347642,0.09693527,0.50541412,0.60975532,0.04119170,0.30368101
-5.90395198,1.43931172,0.00417311,0.41782261,0.07037990,0.08986766,0.49624986,0.62190840,0.04019209,0.29070039
-5.89794897,1.42188948,0.00418722,0.42504295,0.06855022,0.08422213,0.48927508,0.63669656,0.03968821,0.28199093
