energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.68619831,0.00544615,0.27419291,1.14557241,0.47994584,0.02755340,0.49728909,0.34635364,0.10074478
-5.99399700,1.63669523,0.00523838,0.26769145,1.12001875,0.46784596,0.02621988,0.47941171,0.34074421,0.09690355
-5.98799400,1.58479125,0.00500921,0.26088269,1.09417262,0.45530834,0.02484023,0.46059033,0.33491453,0.09278380
-5.98199100,1.53191400,0.00476249,0.25402849,1.06923061,0.44276117,0.02342624,0.44123467,0.32909147,0.08845895
-5.97598799,1.47954301,0.00450242,0.24739950,1.04641024,0.43064915,0.02199232,0.42176610,0.32350040,0.08400834
-5.96998499,1.42916159,0.00423340,0.24126668,1.02691181,0.41941892,0.02055477,0.40260461,0.31835594,0.07951470
-5.96398199,1.38221030,0.00395988,0.23589283,1.01188113,0.40950465,0.01913116,0.38415656,0.31385353,0.07506145
-5.95797899,1.34004406,0.00368622,0.23152463,1.00237429,0.40131440,0.01773958,0.36680379,0.31016237,0.07073039
-5.95197599,1.30389431,0.00341659,0.22838539,0.99932590,0.39521780,0.01639808,0.35089442,0.30741989,0.06659945
-5.94597299,1.27483752,0.00315481,0.22666877,1.00352169,0.39153544,0.01512406,0.33673564,0.30572815,0.06274089
-5.93996998,1.25377105,0.00290430,0.22653364,1.01557644,0.39053028,0.01393381,0.32458866,0.30515214,0.05921980
-5.93396698,1.24139659,0.00266799,0.22810022,1.03591785,0.39240149,0.01284212,0.31466583,0.30572008,0.05609301
-5.92796398,1.23821168,0.00244831,0.23144763,1.06477677,0.39728064,0.01186195,0.30712988,0.30742574,0.05340836
-5.92196098,1.24450878,0.00224709,0.23661277,1.10218401,0.40523056,0.01100425,0.30209507,0.31023239,0.05120443
-5.91595798,1.26038148,0.00206566,0.24359056,1.14797363,0.41624650,0.01027783,0.29963002,0.31407832,0.04951042
-5.90995498,1.28573701,0.00190478,0.25233553,1.20179234,0.43025972,0.00968927,0.29976184,0.31888358,0.04834652
-5.90395198,1.32031403,0.00176475,0.26276441,1.26311468,0.44714308,0.00924296,0.30248133,0.32455734,0.04772434
-5.89794897,1.36370440,0.00164542,0.27475986,1.33126309,0.46671840,0.00894112,0.30774862,0.33100580,0.04764760
-5.89194597,1.41537782,0.00154626,0.28817485,1.40543203,0.48876514,0.00878389,0.31549915,0.33813990,0.04811280
-5.88594297,1.47470781,0.00146643,0.30283771,1.48471512,0.51303015,0.00876942,0.32564940,0.34588260,0.04911008
-5.87993997,1.54099793,0.00140488,0.31855746,1.56813418,0.53923772,0.00889396,0.33810222,0.35417520,0.05062392
-5.87393697,1.61350694,0.00136040,0.33512936,1.65466887,0.56709984,0.00915199,0.35275143,0.36298250,0.05263386
-5.86793397,1.69147185,0.00133170,0.35234027,1.74328585,0.59632593,0.00953633,0.36948541,0.37229638,0.05511511
-5.86193097,1.77412799,0.00131746,0.36997380,1.83296610,0.62663173,0.01003820,0.38818978,0.38213762,0.05803909
-5.85592796,1.86072541,0.00131643,0.38781498,1.92272955,0.65774700,0.01064733,0.40874891,0.39255584,0.06137382
