energy_ev,total_up,Ge_p_up,Ge_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,3.14798676,0.09473445,0.00000000,1.59257543,1.04383740,0.03008184,2.22770444
-5.99399700,3.16531918,0.09475622,0.00000000,1.61393108,1.04702428,0.02983648,2.24182737
-5.98799400,3.17887114,0.09462330,0.00000000,1.63173434,1.05069369,0.02964492,2.25334710
-5.98199100,3.18780349,0.09431988,0.00000000,1.64530723,1.05463249,0.02950861,2.26165987
-5.97598799,3.19130860,0.09383350,0.00000000,1.65404521,1.05859962,0.02942642,2.26618281
-5.96998499,3.18863657,0.09315552,0.00000000,1.65743475,1.06233256,0.02939461,2.26637299
-5.96398199,3.17912294,0.09228152,0.00000000,1.65506931,1.06555576,0.02940704,2.26174747
-5.95797899,3.16221648,0.09121164,0.00000000,1.64666301,1.06799092,0.02945540,2.25190355
-5.95197599,3.13750615,0.08995089,0.00000000,1.63206151,1.06936853,0.02952960,2.23653837
-5.94597299,3.10474597,0.08850929,0.00000000,1.61124963,1.06944047,0.02961831,2.21546706
-5.93996998,3.06387652,0.08690204,0.00000000,1.58435550,1.06799281,0.02970946,2.18863846
-5.93396698,3.01504223,0.08514953,0.00000000,1.55165093,1.06485848,0.02979092,2.15614782
-5.92796398,2.95860350,0.08327732,0.00000000,1.51354816,1.05992893,0.02985113,2.11824564
-5.92196098,2.89514289,0.08131600,0.00000000,1.47059307,1.05316430,0.02987970,2.07534234
-5.91595798,2.82546521,0.07930100,0.00000000,1.42345518,1.04460158,0.02986808,2.02800831
-5.90995498,2.75059108,0.07727237,0.00000000,1.37291476,1.03436014,0.02981008,1.97696931
-5.90395198,2.67174427,0.07527445,0.00000000,1.31984772,1.02264440,0.02970230,1.92309720
-5.89794897,2.59033304,0.07335552,0.00000000,1.26520864,1.00974340,0.02954450,1.86739629
-5.89194597,2.50792597,0.07156738,0.00000000,1.21001264,0.99602704,0.02933985,1.81098567
-5.88594297,2.42622310,0.06996489,0.00000000,1.15531658,0.98193925,0.02909497,1.75507805
-5.87993997,2.34702306,0.06860544,0.00000000,1.10220011,0.96798808,0.02881989,1.70095573
-5.87393697,2.27218718,0.06754832,0.00000000,1.05174698,0.95473321,0.02852785,1.64994431
-5.86793397,2.20360144,0.06685406,0.00000000,1.00502700,0.94277109,0.02823497,1.60338495
-5.86193097,2.14313729,0.06658362,0.00000000,0.96307877,0.93271848,0.02795976,1.56260580
-5.85592796,2.09261207,0.06679753,0.00000000,0.92689355,0.92519472,0.02772258,1.52889331
-5.84992496,2.05375006,0.06755486,0.00000000,0.89740006,0.92080358,0.02754490,1.50346414
-5.84392196,2.02814483,0.06891208,0.00000000,0.87545043,0.92011505,0.02744863,1.48743814
-5.83791896,2.01722359,0.07092187,0.00000000,0.86180710,0.92364795,0.02745531,1.48181296
-5.83191596,2.02221428,0.07363174,0.00000000,0.85713062,0.93185375,0.02758529,1.48744093
-5.82591296,2.04411583,0.07708259,0.00000000,0.86196830,0.94510218,0.02785697,1.50500830
-5.81990995,2.08367215,0.08130725,0.00000000,0.87674358,0.96366901,0.02828603,1.53501752
-5.81390695,2.14135035,0.08632895,0.00000000,0.90174617,0.98772644,0.02888476,1.57777264
-5.80790395,2.21732355,0.09215984,0.00000000,0.93712306,1.01733622,0.02966147,1.63336821
-5.80190095,2.31145866,0.09879963,0.00000000,0.98287035,1.05244584,0.03062001,1.70168181
-5.79589795,2.42330944,0.10623429,0.00000000,1.03882643,1.09288758,0.03175942,1.78237042
-5.78989495,2.55211516,0.11443505,0.00000000,1.10466650,1.13838060,0.03307375,1.87487089
