energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,5.07391276,1.06832613,2.75808700,0.05034285,2.32498635,0.45453644,0.01305538
-5.99399700,5.16752729,1.10804104,2.79741794,0.05155646,2.36241119,0.46969687,0.01340414
-5.98799400,5.25159489,1.14527727,2.83202240,0.05263665,2.39704758,0.48263842,0.01374841
-5.98199100,5.32667984,1.17980407,2.86242880,0.05358112,2.42946775,0.49315252,0.01408848
-5.97598799,5.39358614,1.21146360,2.88927704,0.05438806,2.46032350,0.50109157,0.01442480
-5.96998499,5.45333694,1.24017707,2.91330127,0.05505581,2.49032950,0.50637403,0.01475794
-5.96398199,5.50715209,1.26594969,2.93531202,0.05558260,2.52024697,0.50898782,0.01508862
-5.95797899,5.55642386,1.28887391,2.95617798,0.05596647,2.55086787,0.50899184,0.01541775
-5.95197599,5.60269138,1.30913088,2.97680786,0.05620524,2.58300015,0.50651557,0.01574647
-5.94597299,5.64761355,1.32698978,2.99813228,0.05629662,2.61745393,0.50175642,0.01607616
-5.93996998,5.69294072,1.34280496,3.02108610,0.05623850,2.65502878,0.49497515,0.01640845
-5.93396698,5.74048501,1.35701069,3.04659105,0.05602931,2.69650189,0.48648923,0.01674531
-5.92796398,5.79208936,1.37011375,3.07553876,0.05566848,2.74261701,0.47666446,0.01708896
-5.92196098,5.84959534,1.38268365,3.10877441,0.05515700,2.79407394,0.46590518,0.01744195
-5.91595798,5.91481002,1.39534096,3.14708084,0.05449802,2.85151843,0.45464327,0.01780711
-5.90995498,5.98947211,1.40874368,3.19116350,0.05369734,2.91553216,0.44332644,0.01818755
-5.90395198,6.07521798,1.42357230,3.24163636,0.05276404,2.98662304,0.43240621,0.01858661
-5.89794897,6.17354826,1.44051359,3.29900912,0.05171084,3.06521561,0.42232594,0.01900781
-5.89194597,6.28579575,1.46024391,3.36367608,0.05055448,3.15164185,0.41350936,0.01945483
-5.88594297,6.41309586,1.48341217,3.43590710,0.04931590,3.24613268,0.40634989,0.01993144
-5.87993997,6.55636042,1.51062324,3.51584113,0.04802027,3.34881044,0.40120124,0.02044143
-5.87393697,6.71625606,1.54242210,3.60348275,0.04669687,3.45968293,0.39836929,0.02098858
-5.86793397,6.89318825,1.57927934,3.69870198,0.04537877,3.57863931,0.39810576,0.02157656
-5.86193097,7.08729155,1.62157832,3.80123773,0.04410243,3.70544841,0.40060352,0.02220894
-5.85592796,7.29842700,1.66960464,3.91070495,0.04290709,3.83975972,0.40599380,0.02288907
-5.84992496,7.52618661,1.72353784,4.02660533,0.04183407,3.98110729,0.41434520,0.02362009
-5.84392196,7.76990502,1.78344599,4.14834125,0.04092604,4.12891661,0.42566446,0.02440486
-5.83791896,8.02867769,1.84928289,4.27523253,0.04022620,4.28251422,0.43989888,0.02524595
-5.83191596,8.30138473,1.92088825,4.40653510,0.03977743,4.44113982,0.45694022,0.02614559
-5.82591296,8.58671904,1.99799040,4.54146077,0.03962147,4.60396028,0.47662981,0.02710560
-5.81990995,8.88321723,2.08021165,4.67919709,0.03979816,4.77008480,0.49876473,0.02812741
-5.81390695,9.18929146,2.16707577,4.81892603,0.04034467,4.93858048,0.52310470,0.02921196
-5.80790395,9.50326031,2.25801731,4.95984064,0.04129486,5.10848743,0.54937943,0.03035966
-5.80190095,9.82337705,2.35239238,5.10115852,0.04267865,5.27883251,0.57729622,0.03157028
-5.79589795,10.14785354,2.44949032,5.24213139,0.04452150,5.44864097,0.60654747,0.03284290
-5.78989495,10.47487859,2.54854592,5.38205017,0.04684393,5.61694544,0.63681782,0.03417578
