energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,4.44125273,0.51973823,0.34426542,0.01551656,0.25319134,0.05951753,2.34731676,0.97053981,0.92060217
-5.99399700,4.48283796,0.52909017,0.34720778,0.01617354,0.25527885,0.06061830,2.37263604,0.97899488,0.93560155
-5.98799400,4.51608693,0.53728031,0.34951730,0.01679703,0.25673670,0.06156593,2.39345182,0.98582687,0.94856076
-5.98199100,4.54108034,0.54423537,0.35119757,0.01738029,0.25755476,0.06235348,2.40979543,0.99111313,0.95941406
-5.97598799,4.55801539,0.54989846,0.35225894,0.01791705,0.25773495,0.06297629,2.42176422,0.99495195,0.96813425
-5.96998499,4.56720775,0.55423092,0.35271915,0.01840164,0.25729127,0.06343224,2.42952302,0.99746363,0.97473434
-5.96398199,4.56909272,0.55721393,0.35260394,0.01882918,0.25624956,0.06372179,2.43330492,0.99879200,0.97926866
-5.95797899,4.56422526,0.55884990,0.35194760,0.01919577,0.25464697,0.06384809,2.43341130,0.99910620,0.98183310
-5.95197599,4.55327794,0.55916349,0.35079333,0.01949859,0.25253125,0.06381700,2.43021043,0.99860249,0.98256451
-5.94597299,4.53703647,0.55820221,0.34919343,0.01973609,0.24995970,0.06363704,2.42413465,0.99750586,0.98163915
-5.93996998,4.51639203,0.55603645,0.34720915,0.01990810,0.24699788,0.06331929,2.41567570,0.99607108,0.97927001
-5.93396698,4.49233026,0.55275904,0.34491019,0.02001587,0.24371811,0.06287722,2.40537808,0.99458293,0.97570319
-5.92796398,4.46591659,0.54848404,0.34237381,0.02006217,0.24019768,0.06232643,2.39383045,0.99335536,0.97121318
-5.92196098,4.43827812,0.54334505,0.33968367,0.02005124,0.23651702,0.06168439,2.38165520,0.99272933,0.96609722
-5.91595798,4.41058230,0.53749279,0.33692819,0.01998880,0.23275762,0.06097009,2.36949629,0.99306931,0.96066888
-5.90995498,4.38401308,0.53109219,0.33419875,0.01988193,0.22899997,0.06020367,2.35800576,0.99475821,0.95525091
-5.90395198,4.35974511,0.52431890,0.33158762,0.01973894,0.22532160,0.05940602,2.34782939,0.99819086,0.95016771
-5.89794897,4.33891713,0.51735543,0.32918583,0.01956923,0.22179507,0.05859837,2.33959195,1.00376606,0.94573761
-5.89194597,4.32260527,0.51038694,0.32708094,0.01938302,0.21848628,0.05780189,2.33388250,1.01187748,0.94226506
-5.88594297,4.31179743,0.50359689,0.32535498,0.01919119,0.21545295,0.05703729,2.33124044,1.02290351,0.94003325
-5.87993997,4.30736956,0.49716257,0.32408249,0.01900493,0.21274346,0.05632445,2.33214261,1.03719644,0.93929710
-5.87393697,4.31006475,0.49125075,0.32332890,0.01883550,0.21039593,0.05568213,2.33699199,1.05507135,0.94027705
-5.86793397,4.32047575,0.48601348,0.32314913,0.01869394,0.20843785,0.05512760,2.34610828,1.07679490,0.94315375
-5.86193097,4.33903145,0.48158429,0.32358664,0.01859076,0.20688589,0.05467649,2.35972065,1.10257470,0.94806370
-5.85592796,4.36598769,0.47807475,0.32467281,0.01853569,0.20574624,0.05434249,2.37796277,1.13254939,0.95509620
-5.84992496,4.40142243,0.47557170,0.32642672,0.01853739,0.20501519,0.05413724,2.40087033,1.16677995,0.96429138
-5.84392196,4.44523552,0.47413498,0.32885531,0.01860328,0.20468012,0.05407019,2.42838080,1.20524261,0.97563959
-5.83791896,4.49715256,0.47379603,0.33195389,0.01873930,0.20472059,0.05414850,2.46033558,1.24782355,0.98908199
-5.83191596,4.55673305,0.47455718,0.33570694,0.01894979,0.20510977,0.05437699,2.49648432,1.29431590,1.00451245
-5.82591296,4.62338212,0.47639179,0.34008911,0.01923740,0.20581595,0.05475812,2.53649126,1.34441898,1.02178054
-5.81990995,4.69636567,0.47924518,0.34506649,0.01960303,0.20680404,0.05529199,2.57994338,1.39774017,1.04069570
-5.81390695,4.77482847,0.48303646,0.35059792,0.02004586,0.20803716,0.05597638,2.62636021,1.45379934,1.06103232
-5.80790395,4.85781473,0.48766096,0.35663642,0.02056339,0.20947815,0.05680682,2.67520508,1.51203588,1.08253577
-5.80190095,4.94429061,0.49299357,0.36313063,0.02115153,0.21109096,0.05777668,2.72589740,1.57181824,1.10492902
-5.79589795,5.03316830,0.49889247,0.37002614,0.02180482,0.21284182,0.05887737,2.77782596,1.63245574,1.12791993
-5.78989495,5.12333076,0.50520346,0.37726678,0.02251652,0.21470036,0.06009843,2.83036269,1.69321244,1.15120865
-5.78389195,5.21365683,0.51176457,0.38479578,0.02327890,0.21664033,0.06142787,2.88287668,1.75332268,1.17449533
-5.77788894,5.30304571,0.51841075,0.39255670,0.02408345,0.21864024,0.06285234,2.93474796,1.81200778,1.19748745
-5.77188594,5.39044019,0.52497868,0.40049413,0.02492112,0.22068356,0.06435746,2.98538065,1.86849348,1.21990687
-5.76588294,5.47484773,0.53131118,0.40855423,0.02578254,0.22275879,0.06592814,3.03421510,1.92202757,1.24149609
-5.75987994,5.55535879,0.53726142,0.41668489,0.02665832,0.22485915,0.06754891,3.08073841,1.97189702,1.26202362
-5.75387694,5.63116140,0.54269644,0.42483567,0.02753919,0.22698208,0.06920425,3.12449298,2.01744421,1.28128815
