energy_ev,total_up,Ag_p_up,Ag_d_up,Sb_p_up,Sb_d_up,Te_p_up,Te_d_up
-6.00000000,5.42219372,2.56586126,2.67096607,0.36336551,0.00906026,2.02755194,0.00000000
-5.99399700,5.38941565,2.60140920,2.64316854,0.36077427,0.00902451,2.03120258,0.00000000
-5.98799400,5.37565146,2.63948661,2.63066637,0.35879144,0.00903967,2.03676143,0.00000000
-5.98199100,5.38003664,2.67991472,2.63266366,0.35748073,0.00910099,2.04413261,0.00000000
-5.97598799,5.40117548,2.72235717,2.64803425,0.35687529,0.00920282,2.05307596,0.00000000
-5.96998499,5.43718176,2.76632169,2.67535560,0.35697615,0.00933870,2.06321310,0.00000000
-5.96398199,5.48573574,2.81116796,2.71295122,0.35775149,0.00950159,2.07403982,0.00000000
-5.95797899,5.54415572,2.85612159,2.75894025,0.35913731,0.00968395,2.08494417,0.00000000
-5.95197599,5.60948171,2.90029393,2.81129269,0.36103905,0.00987798,2.09522970,0.00000000
-5.94597299,5.67856818,2.94270679,2.86788809,0.36333452,0.01007582,2.10414267,0.00000000
-5.93996998,5.74818231,2.98232137,2.92657586,0.36587782,0.01026971,2.11090209,0.00000000
-5.93396698,5.81510398,3.01807012,2.98523483,0.36850419,0.01045222,2.11473118,0.00000000
-5.92796398,5.87622330,3.04889007,3.04182998,0.37103563,0.01061646,2.11488862,0.00000000
-5.92196098,5.92863212,3.07375651,3.09446417,0.37328703,0.01075620,2.11069828,0.00000000
-5.91595798,5.96970556,3.09171539,3.14142314,0.37507257,0.01086606,2.10157603,0.00000000
-5.90995498,5.99717091,3.10191321,3.18121220,0.37621214,0.01094161,2.08705241,0.00000000
-5.90395198,6.00916124,3.10362339,3.21258362,0.37653752,0.01097949,2.06679022,0.00000000
-5.89794897,6.00425240,3.09626799,3.23455393,0.37589802,0.01097738,2.04059655,0.00000000
-5.89194597,5.98148283,3.07943426,3.24641146,0.37416543,0.01093411,2.00842886,0.00000000
-5.88594297,5.94035646,3.05288577,3.24771411,0.37123808,0.01084953,1.97039516,0.00000000
-5.87993997,5.88083007,3.01656771,3.23827877,0.36704384,0.01072451,1.92674881,0.00000000
-5.87393697,5.80328696,2.97060698,3.21816335,0.36154205,0.01056084,1.87787836,0.00000000
-5.86793397,5.70849968,2.91530715,3.18764346,0.35472427,0.01036108,1.82429357,0.00000000
-5.86193097,5.59758473,2.85113911,3.14718524,0.34661397,0.01012844,1.76660834,0.00000000
-5.85592796,5.47195233,2.77872811,3.09741651,0.33726521,0.00986665,1.70552183,0.00000000
-5.84992496,5.33325435,2.69883793,3.03909789,0.32676037,0.00957980,1.64179868,0.00000000
-5.84392196,5.18333323,2.61235306,2.97309541,0.31520714,0.00927221,1.57624936,0.00000000
-5.83791896,5.02417391,2.52025964,2.90035601,0.30273499,0.00894831,1.50971144,0.00000000
-5.83191596,4.85786067,2.42362577,2.82188652,0.28949117,0.00861251,1.44303238,0.00000000
-5.82591296,4.68653968,2.32358184,2.73873671,0.27563654,0.00826911,1.37705419,0.00000000
-5.81990995,4.51238749,2.22130116,2.65198615,0.26134134,0.00792225,1.31260023,0.00000000
-5.81390695,4.33758508,2.11798123,2.56273460,0.24678108,0.00757586,1.25046395,0.00000000
-5.80790395,4.16429650,2.01482579,2.47209487,0.23213267,0.00723360,1.19139948,0.00000000
-5.80190095,3.99465067,1.91302768,2.38118735,0.21757092,0.00689885,1.13611362,0.00000000
-5.79589795,3.83072475,1.81375243,2.29113492,0.20326545,0.00657471,1.08525875,0.00000000
-5.78989495,3.67452753,1.71812264,2.20305708,0.18937804,0.00626400,1.03942635,0.00000000
-5.78389195,3.52798130,1.62720296,2.11806231,0.17606054,0.00596927,0.99914051,0.00000000
-5.77788894,3.39290101,1.54198571,2.03723795,0.16345321,0.00569277,0.96485129,0.00000000
-5.77188594,3.27097029,1.46337717,1.96163692,0.15168349,0.00543646,0.93692768,0.00000000
-5.76588294,3.16371386,1.39218466,1.89226136,0.14086528,0.00520205,0.91565002,0.00000000
-5.75987994,3.07246711,1.32910452,1.83004342,0.13109847,0.00499092,0.90120233,0.00000000
