energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
0.77738869,8.72614343,0.00488818,0.11985802,0.19190223,0.24305216,0.14005006,0.68084078,0.27359115,7.45842235
0.78339170,8.95221867,0.00501465,0.11793507,0.19940150,0.24771928,0.14275320,0.70072092,0.28019134,7.65533908
0.78939470,9.18715587,0.00515018,0.11637727,0.20714157,0.25243940,0.14530433,0.72177214,0.28690416,7.86068671
0.79539770,9.43247608,0.00529948,0.11517982,0.21519613,0.25726139,0.14770859,0.74420425,0.29383736,8.07569999
0.80140070,9.69017838,0.00546770,0.11434144,0.22365051,0.26224912,0.14997963,0.76825364,0.30111405,8.30202341
0.80740370,9.96263470,0.00566031,0.11386332,0.23259832,0.26747883,0.15213828,0.79417232,0.30886848,8.54162192
0.81340670,10.25245868,0.00588302,0.11374804,0.24213744,0.27303587,0.15421086,0.82221532,0.31724094,8.79666932
0.81940970,10.56235347,0.00614158,0.11399838,0.25236537,0.27901065,0.15622721,0.85262690,0.32637202,9.06941805
0.82541271,10.89494425,0.00644168,0.11461623,0.26337424,0.28549416,0.15821856,0.88562621,0.33639637,9.36205569
0.83141571,11.25260247,0.00678877,0.11560148,0.27524548,0.29257320,0.16021524,0.92139310,0.34743626,9.67655378
0.83741871,11.63726921,0.00718782,0.11695111,0.28804461,0.30032544,0.16224455,0.96005461,0.35959513,10.01451543
0.84342171,12.05028552,0.00764319,0.11865842,0.30181621,0.30881467,0.16432862,1.00167299,0.37295158,10.37702838
0.84942471,12.49223767,0.00815839,0.12071244,0.31657939,0.31808645,0.16648268,1.04623563,0.38755384,10.76453035
0.85542771,12.96282465,0.00873592,0.12309753,0.33232397,0.32816423,0.16871353,1.09364764,0.40341519,11.17669308
0.86143072,13.46075486,0.00937701,0.12579318,0.34900761,0.33904640,0.17101853,1.14372740,0.42051054,11.61233113
0.86743372,13.98367775,0.01008155,0.12877397,0.36655398,0.35070413,0.17338497,1.19620534,0.43877417,12.06934050
0.87343672,14.52815469,0.01084782,0.13200977,0.38485223,0.36308038,0.17578997,1.25072623,0.45809907,12.54467100
0.87943972,15.08967193,0.01167248,0.13546599,0.40375763,0.37608995,0.17820087,1.30685481,0.47833772,13.03433514
0.88544272,15.66269668,0.01255040,0.13910411,0.42309369,0.38962074,0.18057608,1.36408465,0.49930438,13.53345446
0.89144572,16.24077536,0.01347469,0.14288213,0.44265542,0.40353600,0.18286635,1.42185001,0.52077894,14.03634301
0.89744872,16.81667128,0.01443667,0.14675531,0.46221377,0.41767767,0.18501643,1.47953997,0.54251197,14.53662558
0.90345173,17.38253708,0.01542599,0.15067680,0.48152120,0.43187045,0.18696693,1.53651456,0.56423097,15.02738705
0.90945473,17.93011584,0.01643074,0.15459845,0.50031788,0.44592661,0.18865646,1.59212201,0.58564747,15.50134766
0.91545773,18.45096319,0.01743767,0.15847154,0.51833859,0.45965117,0.19002382,1.64571643,0.60646470,15.95105766
0.92146073,18.93668188,0.01843246,0.16224757,0.53531989,0.47284733,0.19101017,1.69667531,0.62638554,16.36910390
0.92746373,19.37915977,0.01940000,0.16587905,0.55100729,0.48532183,0.19156116,1.74441595,0.64512036,16.74832056
0.93346673,19.77080164,0.02032484,0.16932023,0.56516224,0.49689008,0.19162880,1.78841040,0.66239452,17.08199543
0.93946973,20.10474601,0.02119151,0.17252779,0.57756855,0.50738086,0.19117320,1.82819810,0.67795519,17.36406389
0.94547274,20.37505840,0.02198505,0.17546155,0.58803813,0.51664031,0.19016391,1.86339599,0.69157721,17.58928293
0.95147574,20.57689384,0.02269135,0.17808501,0.59641582,0.52453527,0.18858098,1.89370562,0.70306790,17.75337845
0.95747874,20.70662259,0.02329768,0.18036590,0.60258306,0.53095576,0.18641563,1.91891723,0.71227056,17.85316039
0.96348174,20.76191502,0.02379305,0.18227661,0.60646048,0.53581655,0.18367057,1.93891064,0.71906678,17.88660167
0.96948474,20.74178305,0.02416858,0.18379452,0.60800921,0.53905789,0.18035991,1.95365310,0.72337731,17.85287844
0.97548774,20.64657774,0.02441782,0.18490221,0.60723090,0.54064547,0.17650879,1.96319433,0.72516177,17.75237085
0.98149075,20.47794424,0.02453697,0.18558759,0.60416664,0.54056956,0.17215264,1.96765909,0.72441727,17.58662535
0.98749375,20.23873738,0.02452499,0.18584388,0.59889464,0.53884363,0.16733612,1.96723770,0.72117602,17.35828102
0.99349675,19.93290227,0.02438372,0.18566947,0.59152706,0.53550237,0.16211193,1.96217493,0.71550225,17.07096392
0.99949975,19.56532611,0.02411773,0.18506771,0.58220582,0.53059941,0.15653933,1.95275783,0.70748848,16.72915461
1.00550275,19.14166784,0.02373425,0.18404648,0.57109785,0.52420482,0.15068250,1.93930307,0.69725162,16.33803508
1.01150575,18.66817333,0.02324287,0.18261783,0.55838984,0.51640244,0.14460892,1.92214420,0.68492880,15.90332172
1.01750875,18.15148369,0.02265522,0.18079737,0.54428261,0.50728730,0.13838762,1.90161953,0.67067338,15.43109144
1.02351176,17.59844457,0.02198460,0.17860376,0.52898551,0.49696307,0.13208743,1.87806083,0.65465108,14.92760788
1.02951476,17.01592338,0.02124550,0.17605806,0.51271078,0.48553977,0.12577536,1.85178351,0.63703652,14.39915436
1.03551776,16.41064122,0.02045315,0.17318318,0.49566828,0.47313159,0.11951504,1.82307854,0.61801015,13.85187952
1.04152076,15.78902473,0.01962300,0.17000329,0.47806064,0.45985511,0.11336536,1.79220626,0.59775562,13.29166075
1.04752376,15.15708231,0.01877030,0.16654332,0.46007895,0.44582764,0.10737925,1.75939241,0.57645763,12.72398943
1.05352676,14.52030763,0.01790960,0.16282856,0.44189921,0.43116598,0.10160270,1.72482647,0.55430026,12.15388076
1.05952976,13.88361213,0.01705440,0.15888438,0.42367956,0.41598531,0.09607410,1.68866220,0.53146559,11.58580978
1.06553277,13.25128659,0.01621682,0.15473602,0.40555829,0.40039837,0.09082376,1.65102032,0.50813275,11.02367383
1.07153577,12.62699085,0.01540735,0.15040855,0.38765284,0.38451484,0.08587374,1.61199328,0.48447716,10.47078061
1.07753877,12.01376942,0.01463469,0.14592695,0.37005954,0.36844085,0.08123802,1.57165167,0.46066999,9.92985980
1.08354177,11.41408964,0.01390569,0.14131634,0.35285426,0.35227870,0.07692286,1.53005203,0.43687764,9.40309533
1.08954477,10.82989846,0.01322538,0.13660221,0.33609376,0.33612660,0.07292743,1.48724571,0.41326133,8.89217483
1.09554777,10.26269321,0.01259702,0.13181085,0.31981767,0.32007859,0.06924468,1.44328819,0.38997667,8.39835186
1.10155078,9.71360149,0.01202233,0.12696971,0.30405103,0.30422446,0.06586242,1.39824852,0.36717315,7.92251683
1.10755378,9.18346524,0.01150168,0.12210789,0.28880714,0.28864974,0.06276440,1.35221843,0.34499353,7.46527198
1.11355678,8.67292429,0.01103440,0.11725648,0.27409067,0.27343575,0.05993166,1.30532052,0.32357325,7.02700637
1.11955978,8.18249517,0.01061902,0.11244891,0.25990084,0.25865958,0.05734374,1.25771529,0.30303965,6.60796688
1.12556278,7.71264144,0.01025366,0.10772121,0.24623447,0.24439421,0.05497997,1.20960654,0.28351122,6.20832220
1.13156578,7.26383275,0.00993627,0.10311212,0.23308888,0.23070847,0.05282063,1.16124500,0.26509676,5.82821700
1.13756878,6.83659055,0.00966494,0.09866311,0.22046438,0.21766716,0.05084799,1.11292993,0.24789465,5.46781481
1.14357179,6.43151953,0.00943817,0.09441816,0.20836639,0.20533101,0.04904723,1.06500868,0.23199202,5.12732835
1.14957479,6.04932443,0.00925503,0.09042353,0.19680702,0.19375671,0.04740705,1.01787424,0.21746414,4.80703742
1.15557779,5.69081313,0.00911535,0.08672724,0.18580618,0.18299689,0.04592020,0.97196093,0.20437391,4.50729490
1.16158079,5.35688737,0.00901983,0.08337856,0.17539211,0.17310008,0.04458370,0.92773842,0.19277146,4.22852202
1.16758379,5.04852317,0.00897003,0.08042731,0.16560146,0.16411066,0.04339881,0.88570441,0.18269407,3.97119496
1.17358679,4.76674361,0.00896843,0.07792318,0.15647892,0.15606882,0.04237092,0.84637629,0.17416624,3.73582469
1.17958979,4.51258648,0.00901833,0.07591491,0.14807644,0.14901049,0.04150912,0.81028208,0.16720005,3.52293271
1.18559280,4.28706992,0.00912378,0.07444964,0.14045221,0.14296728,0.04082573,0.77795113,0.16179585,3.33302491
1.19159580,4.09115841,0.00928947,0.07357218,0.13366942,0.13796641,0.04033567,0.74990469,0.15794315,3.16656599
