energy_ev,total_up,Ga_p_up,Ga_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,2.30602283,0.04308860,0.00000000,1.89870402,0.62212652,1.46826206,0.00000000
-5.99399700,2.34032889,0.04595274,0.00000000,1.93970804,0.62938438,1.48940837,0.00000000
-5.98799400,2.36600249,0.04906609,0.00000000,1.97290380,0.63458335,1.50450630,0.00000000
-5.98199100,2.38245834,0.05243492,0.00000000,1.99758756,0.63763097,1.51311861,0.00000000
-5.97598799,2.38926079,0.05607411,0.00000000,2.01319491,0.63847308,1.51489924,0.00000000
-5.96998499,2.38614396,0.06000676,0.00000000,2.01932457,0.63709741,1.50960801,0.00000000
-5.96398199,2.37302825,0.06426344,0.00000000,2.01575844,0.63353632,1.49712332,0.00000000
-5.95797899,2.35003196,0.06888084,0.00000000,2.00247671,0.62786827,1.47745202,0.00000000
-5.95197599,2.31747688,0.07390011,0.00000000,1.97966661,0.62021783,1.45073574,0.00000000
-5.94597299,2.27588683,0.07936458,0.00000000,1.94772410,0.61075398,1.41725288,0.00000000
-5.93996998,2.22597883,0.08531718,0.00000000,1.90724793,0.59968663,1.37741612,0.00000000
-5.93396698,2.16864655,0.09179746,0.00000000,1.85902587,0.58726128,1.33176498,0.00000000
-5.92796398,2.10493653,0.09883844,0.00000000,1.80401338,0.57375213,1.28095377,0.00000000
-5.92196098,2.03601786,0.10646334,0.00000000,1.74330559,0.55945354,1.22573520,0.00000000
-5.91595798,1.96314660,0.11468237,0.00000000,1.67810348,0.54467060,1.16694027,0.00000000
-5.90995498,1.88762646,0.12348983,0.00000000,1.60967595,0.52970883,1.10545534,0.00000000
-5.90395198,1.81076747,0.13286159,0.00000000,1.53931914,0.51486388,1.04219726,0.00000000
-5.89794897,1.73384474,0.14275319,0.00000000,1.46831518,0.50041145,0.97808786,0.00000000
-5.89194597,1.65805916,0.15309870,0.00000000,1.39789202,0.48659813,0.91402867,0.00000000
-5.88594297,1.58450187,0.16381049,0.00000000,1.32918614,0.47363358,0.85087717,0.00000000
-5.87993997,1.51412429,0.17477996,0.00000000,1.26320987,0.46168450,0.78942547,0.00000000
-5.87393697,1.44771474,0.18587930,0.00000000,1.20082461,0.45087055,0.73038212,0.00000000
-5.86793397,1.38588286,0.19696428,0.00000000,1.14272097,0.44126264,0.67435794,0.00000000
-5.86193097,1.32905199,0.20787792,0.00000000,1.08940636,0.43288334,0.62185591,0.00000000
-5.85592796,1.27745968,0.21845504,0.00000000,1.04120055,0.42570960,0.57326559,0.00000000
-5.84992496,1.23116578,0.22852733,0.00000000,0.99823862,0.41967729,0.52886174,0.00000000
-5.84392196,1.19006725,0.23792887,0.00000000,0.96048108,0.41468745,0.48880694,0.00000000
-5.83791896,1.15391852,0.24650176,0.00000000,0.92773009,0.41061362,0.45315780,0.00000000
-5.83191596,1.12235596,0.25410160,0.00000000,0.89965072,0.40730996,0.42187402,0.00000000
-5.82591296,1.09492476,0.26060245,0.00000000,0.87579589,0.40461942,0.39482965,0.00000000
-5.81990995,1.07110694,0.26590126,0.00000000,0.85563361,0.40238174,0.37182591,0.00000000
-5.81390695,1.05034849,0.26992115,0.00000000,0.83857508,0.40044058,0.35260468,0.00000000
