energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.09869799,0.04220357,0.02810974,0.00012963,0.01033452,0.00036528,0.03226606,0.01187829,0.00680906
-5.99399700,0.11448385,0.04907538,0.03243460,0.00014286,0.01195226,0.00043384,0.03762215,0.01351902,0.00799170
-5.98799400,0.13294600,0.05706158,0.03753604,0.00016025,0.01385004,0.00051195,0.04383573,0.01549152,0.00935273
-5.98199100,0.15411354,0.06617596,0.04341721,0.00018163,0.01602951,0.00060009,0.05092204,0.01779081,0.01089711
-5.97598799,0.17799256,0.07642145,0.05007583,0.00020684,0.01849011,0.00069857,0.05888757,0.02041047,0.01262764
-5.96998499,0.20455534,0.08778566,0.05750095,0.00023574,0.02122790,0.00080754,0.06772660,0.02334136,0.01454431
-5.96398199,0.23373003,0.10023661,0.06566988,0.00026814,0.02423450,0.00092692,0.07741803,0.02657026,0.01664354
-5.95797899,0.26539151,0.11371910,0.07454555,0.00030383,0.02749609,0.00105641,0.08792245,0.03007875,0.01891771
-5.95197599,0.29935375,0.12815155,0.08407420,0.00034254,0.03099269,0.00119542,0.09917980,0.03384234,0.02135455
-5.94597299,0.33536416,0.14342391,0.09418369,0.00038394,0.03469750,0.00134309,0.11110759,0.03782969,0.02393687
-5.93996998,0.37310039,0.15939642,0.10478250,0.00042763,0.03857665,0.00149825,0.12360002,0.04200237,0.02664235
-5.93396698,0.41216991,0.17589968,0.11575949,0.00047314,0.04258910,0.00165941,0.13652791,0.04631470,0.02944351
-5.92796398,0.45211271,0.19273602,0.12698461,0.00051992,0.04668698,0.00182483,0.14973972,0.05071422,0.03230798
-5.92196098,0.49240717,0.20968210,0.13831041,0.00056736,0.05081617,0.00199248,0.16306362,0.05514232,0.03519892
-5.91595798,0.53247930,0.22649306,0.14957458,0.00061478,0.05491731,0.00216012,0.17631064,0.05953541,0.03807571
-5.90995498,0.57171496,0.24290779,0.16060326,0.00066145,0.05892701,0.00232533,0.18927880,0.06382637,0.04089488
-5.90395198,0.60947515,0.25865547,0.17121523,0.00070660,0.06277947,0.00248561,0.20175833,0.06794640,0.04361118
-5.89794897,0.64511347,0.27346303,0.18122673,0.00074946,0.06640825,0.00263841,0.21353754,0.07182710,0.04617893
-5.89194597,0.67799557,0.28706334,0.19045679,0.00078925,0.06974832,0.00278124,0.22440938,0.07540281,0.04855338
-5.88594297,0.70751960,0.29920373,0.19873279,0.00082524,0.07273807,0.00291178,0.23417838,0.07861306,0.05069229
-5.87993997,0.73313699,0.30965469,0.20589620,0.00085673,0.07532149,0.00302796,0.24266765,0.08140513,0.05255741
-5.87393697,0.75437260,0.31821810,0.21180801,0.00088311,0.07745021,0.00312804,0.24972575,0.08373651,0.05411602
-5.86793397,0.77084352,0.32473494,0.21635382,0.00090387,0.07908537,0.00321073,0.25523313,0.08557724,0.05534232
-5.86193097,0.78227559,0.32909193,0.21944825,0.00091863,0.08019932,0.00327525,0.25910777,0.08691213,0.05621871
-5.85592796,0.78851689,0.33122682,0.22103847,0.00092712,0.08077694,0.00332144,0.26130994,0.08774256,0.05673683
