energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,0.76930509,0.00436070,0.00000000,0.00318201,0.02642298,0.20371446,0.41977225,0.33368464,0.00000000
-5.99399700,0.78827617,0.00480217,0.00000000,0.00351504,0.02914380,0.21573481,0.41177455,0.34754736,0.00000000
-5.98799400,0.81343265,0.00527749,0.00000000,0.00387277,0.03212608,0.22940462,0.40773664,0.36383229,0.00000000
-5.98199100,0.84447664,0.00578414,0.00000000,0.00425431,0.03535317,0.24464216,0.40757755,0.38236598,0.00000000
-5.97598799,0.88104170,0.00631911,0.00000000,0.00465897,0.03880594,0.26134118,0.41117402,0.40294418,0.00000000
-5.96998499,0.92270090,0.00687897,0.00000000,0.00508634,0.04246243,0.27937091,0.41836586,0.42533522,0.00000000
-5.96398199,0.96897617,0.00745982,0.00000000,0.00553632,0.04629741,0.29857660,0.42896168,0.44928411,0.00000000
-5.95797899,1.01934852,0.00805737,0.00000000,0.00600921,0.05028219,0.31878054,0.44274485,0.47451725,0.00000000
-5.95197599,1.07326892,0.00866700,0.00000000,0.00650576,0.05438447,0.33978369,0.45947937,0.50074767,0.00000000
-5.94597299,1.13016962,0.00928382,0.00000000,0.00702722,0.05856836,0.36136782,0.47891547,0.52768072,0.00000000
-5.93996998,1.18947532,0.00990281,0.00000000,0.00757532,0.06279462,0.38329834,0.50079477,0.55502000,0.00000000
-5.93396698,1.25061415,0.01051885,0.00000000,0.00815232,0.06702100,0.40532756,0.52485493,0.58247342,0.00000000
-5.92796398,1.31302794,0.01112692,0.00000000,0.00876094,0.07120283,0.42719867,0.55083349,0.60975918,0.00000000
-5.92196098,1.37618150,0.01172220,0.00000000,0.00940429,0.07529375,0.44865001,0.57847094,0.63661154,0.00000000
-5.91595798,1.43957060,0.01230019,0.00000000,0.01008582,0.07924659,0.46941991,0.60751293,0.66278612,0.00000000
-5.90995498,1.50272836,0.01285685,0.00000000,0.01080912,0.08301439,0.48925163,0.63771156,0.68806455,0.00000000
-5.90395198,1.56522980,0.01338869,0.00000000,0.01157782,0.08655147,0.50789860,0.66882583,0.71225828,0.00000000
-5.89794897,1.62669432,0.01389291,0.00000000,0.01239536,0.08981461,0.52512949,0.70062113,0.73521138,0.00000000
-5.89194597,1.68678599,0.01436741,0.00000000,0.01326480,0.09276413,0.54073310,0.73286814,0.75680215,0.00000000
-5.88594297,1.74521173,0.01481088,0.00000000,0.01418856,0.09536502,0.55452289,0.76534089,0.77694343,0.00000000
-5.87993997,1.80171716,0.01522277,0.00000000,0.01516821,0.09758783,0.56634086,0.79781449,0.79558159,0.00000000
-5.87393697,1.85608066,0.01560329,0.00000000,0.01620423,0.09940954,0.57606076,0.83006252,0.81269406,0.00000000
-5.86793397,1.90810565,0.01595330,0.00000000,0.01729576,0.10081410,0.58359037,0.86185424,0.82828568,0.00000000
-5.86193097,1.95761168,0.01627424,0.00000000,0.01844040,0.10179284,0.58887285,0.89295217,0.84238379,0.00000000
-5.85592796,2.00442482,0.01656795,0.00000000,0.01963406,0.10234459,0.59188708,0.92310991,0.85503245,0.00000000
-5.84992496,2.04836804,0.01683655,0.00000000,0.02087082,0.10247556,0.59264692,0.95207079,0.86628597,0.00000000
-5.84392196,2.08925222,0.01708226,0.00000000,0.02214284,0.10219894,0.59119967,0.97956742,0.87620219,0.00000000
-5.83791896,2.12686859,0.01730718,0.00000000,0.02344034,0.10153438,0.58762352,1.00532245,0.88483579,0.00000000
-5.83191596,2.16098335,0.01751314,0.00000000,0.02475167,0.10050719,0.58202441,1.02905072,0.89223219,0.00000000
-5.82591296,2.19133502,0.01770153,0.00000000,0.02606342,0.09914745,0.57453238,1.05046286,0.89842234,0.00000000
-5.81990995,2.21763520,0.01787318,0.00000000,0.02736057,0.09748908,0.56529759,1.06927054,0.90341883,0.00000000
-5.81390695,2.23957302,0.01802825,0.00000000,0.02862683,0.09556881,0.55448630,1.08519319,0.90721366,0.00000000
-5.80790395,2.25682350,0.01816623,0.00000000,0.02984485,0.09342521,0.54227699,1.09796612,0.90977791,0.00000000
-5.80190095,2.26905972,0.01828587,0.00000000,0.03099671,0.09109787,0.52885675,1.10734991,0.91106339,0.00000000
-5.79589795,2.27596852,0.01838534,0.00000000,0.03206427,0.08862663,0.51441824,1.11314057,0.91100637,0.00000000
-5.78989495,2.27726911,0.01846226,0.00000000,0.03302967,0.08605097,0.49915722,1.11518025,0.90953318,0.00000000
-5.78389195,2.27273377,0.01851394,0.00000000,0.03387584,0.08340963,0.48327072,1.11336793,0.90656759,0.00000000
-5.77788894,2.26220972,0.01853754,0.00000000,0.03458695,0.08074040,0.46695588,1.10766965,0.90203929,0.00000000
-5.77188594,2.24564080,0.01853033,0.00000000,0.03514892,0.07808005,0.45040948,1.09812763,0.89589344,0.00000000
