energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.42789762,0.00965581,0.55257968,1.72131182,2.08712791,0.64074340,0.00000000
-5.99399700,3.44191728,0.00933772,0.57093831,1.73998437,2.09463851,0.62518385,0.00000000
-5.98799400,3.45453102,0.00903300,0.58955683,1.75778823,2.10082793,0.60925773,0.00000000
-5.98199100,3.46559646,0.00874340,0.60829452,1.77431393,2.10578936,0.59294928,0.00000000
-5.97598799,3.47512979,0.00847085,0.62701617,1.78921745,2.10973206,0.57627956,0.00000000
-5.96998499,3.48332027,0.00821749,0.64559693,1.80223823,2.11298352,0.55931056,0.00000000
-5.96398199,3.49053469,0.00798572,0.66392651,1.81321224,2.11598544,0.54214687,0.00000000
-5.95797899,3.49731159,0.00777817,0.68191231,1.82207956,2.11928333,0.52493466,0.00000000
-5.95197599,3.50434491,0.00759762,0.69948143,1.82888593,2.12350990,0.50785803,0.00000000
-5.94597299,3.51245779,0.00744696,0.71658148,1.83377853,2.12936286,0.49113299,0.00000000
-5.93996998,3.52256746,0.00732906,0.73317994,1.83699591,2.13757775,0.47499929,0.00000000
-5.93396698,3.53564265,0.00724662,0.74926233,1.83885294,2.14889700,0.45971062,0.00000000
-5.92796398,3.55265543,0.00720208,0.76482905,1.83972132,2.16403630,0.44552365,0.00000000
-5.92196098,3.57452964,0.00719742,0.77989113,1.84000678,2.18364983,0.43268654,0.00000000
-5.91595798,3.60208818,0.00723408,0.79446514,1.84012415,2.20829558,0.42142737,0.00000000
-5.90995498,3.63600164,0.00731277,0.80856741,1.84047147,2.23840258,0.41194324,0.00000000
-5.90395198,3.67674081,0.00743341,0.82220797,1.84140459,2.27424133,0.40439043,0.00000000
-5.89794897,3.72453534,0.00759506,0.83538455,1.84321348,2.31589887,0.39887614,0.00000000
-5.89194597,3.77934085,0.00779584,0.84807702,1.84610152,2.36325991,0.39545222,0.00000000
-5.88594297,3.84081625,0.00803296,0.86024260,1.85016898,2.41599501,0.39411109,0.00000000
-5.87993997,3.90831299,0.00830278,0.87181227,1.85540154,2.47355679,0.39478418,0.00000000
-5.87393697,3.98087718,0.00860084,0.88268870,1.86166456,2.53518467,0.39734280,0.00000000
-5.86793397,4.05726529,0.00892204,0.89274585,1.86870372,2.59991855,0.40160149,0.00000000
-5.86193097,4.13597328,0.00926079,0.90183053,1.87615190,2.66662125,0.40732377,0.00000000
-5.85592796,4.21527873,0.00961120,0.90976586,1.88354246,2.73400927,0.41422994,0.00000000
-5.84992496,4.29329469,0.00996733,0.91635663,1.89032818,2.80069123,0.42200671,0.00000000
-5.84392196,4.36803346,0.01032344,0.92139650,1.89590519,2.86521255,0.43031824,0.00000000
-5.83791896,4.43747800,0.01067424,0.92467647,1.89964080,2.92610503,0.43881814,0.00000000
-5.83191596,4.49965830,0.01101518,0.92599454,1.90090398,2.98193953,0.44716199,0.00000000
-5.82591296,4.55272944,0.01134269,0.92516590,1.89909692,3.03137960,0.45501990,0.00000000
-5.81990995,4.59504811,0.01165440,0.92203321,1.89368619,3.07323408,0.46208850,0.00000000
-5.81390695,4.62524433,0.01194937,0.91647637,1.88423197,3.10650631,0.46810200,0.00000000
-5.80790395,4.64228488,0.01222820,0.90842124,1.87041365,3.13043793,0.47284190,0.00000000
-5.80190095,4.64552564,0.01249315,0.89784683,1.85205071,3.14454522,0.47614483,0.00000000
