energy_ev,total_up,Cu_p_up,Cu_d_up,Ga_p_up,Ga_d_up,Te_p_up,Te_d_up
-6.00000000,2.03754718,0.85778442,1.13080504,0.16124064,0.00000000,0.67550197,0.00000000
-5.99399700,2.14349700,0.92713045,1.18522648,0.16665883,0.00000000,0.71491162,0.00000000
-5.98799400,2.25441122,1.00245565,1.24108764,0.17202842,0.00000000,0.75717956,0.00000000
-5.98199100,2.36991609,1.08352807,1.29821060,0.17730541,0.00000000,0.80218819,0.00000000
-5.97598799,2.48956220,1.17003254,1.35638944,0.18244707,0.00000000,0.84978067,0.00000000
-5.96998499,2.61281511,1.26156471,1.41538553,0.18741155,0.00000000,0.89975712,0.00000000
-5.96398199,2.73904709,1.35762656,1.47492344,0.19215743,0.00000000,0.95187136,0.00000000
-5.95797899,2.86753137,1.45762394,1.53468797,0.19664339,0.00000000,1.00582843,0.00000000
-5.95197599,2.99743941,1.56086667,1.59432270,0.20082804,0.00000000,1.06128350,0.00000000
-5.94597299,3.12784226,1.66657132,1.65343057,0.20466991,0.00000000,1.11784217,0.00000000
-5.93996998,3.25771634,1.77386725,1.71157652,0.20812766,0.00000000,1.17506263,0.00000000
-5.93396698,3.38595402,1.88180575,1.76829254,0.21116061,0.00000000,1.23245966,0.00000000
-5.92796398,3.51137912,1.98937245,1.82308505,0.21372934,0.00000000,1.28951068,0.00000000
-5.92196098,3.63276714,2.09550282,1.87544444,0.21579668,0.00000000,1.34566375,0.00000000
-5.91595798,3.74886976,2.19910049,1.92485666,0.21732864,0.00000000,1.40034745,0.00000000
-5.90995498,3.85844307,2.29905814,1.97081643,0.21829559,0.00000000,1.45298244,0.00000000
-5.90395198,3.96027871,2.39428026,2.01284176,0.21867336,0.00000000,1.50299442,0.00000000
-5.89794897,4.05323704,2.48370750,2.05048922,0.21844435,0.00000000,1.54982824,0.00000000
-5.89194597,4.13628127,2.56634170,2.08336954,0.21759847,0.00000000,1.59296263,0.00000000
-5.88594297,4.20851157,2.64127110,2.11116300,0.21613396,0.00000000,1.63192528,0.00000000
-5.87993997,4.26919789,2.70769489,2.13363413,0.21405796,0.00000000,1.66630763,0.00000000
-5.87393697,4.31781055,2.76494634,2.15064514,0.21138690,0.00000000,1.69577902,0.00000000
-5.86793397,4.35404741,2.81251370,2.16216764,0.20814655,0.00000000,1.72009968,0.00000000
-5.86193097,4.37785659,2.85005823,2.16829226,0.20437186,0.00000000,1.73913201,0.00000000
-5.85592796,4.38945370,2.87742840,2.16923555,0.20010654,0.00000000,1.75284969,0.00000000
-5.84992496,4.38933277,2.89466989,2.16534398,0.19540241,0.00000000,1.76134425,0.00000000
-5.84392196,4.37826997,2.90203047,2.15709447,0.19031851,0.00000000,1.76482857,0.00000000
-5.83791896,4.35731951,2.89995969,2.14509131,0.18492008,0.00000000,1.76363718,0.00000000
-5.83191596,4.32780122,2.88910262,2.13005916,0.17927735,0.00000000,1.75822284,0.00000000
-5.82591296,4.29127952,2.87028791,2.11283192,0.17346420,0.00000000,1.74914952,0.00000000
-5.81990995,4.24953372,2.84450990,2.09433758,0.16755680,0.00000000,1.73708153,0.00000000
-5.81390695,4.20451987,2.81290520,2.07557894,0.16163208,0.00000000,1.72276897,0.00000000
-5.80790395,4.15832472,2.77672413,2.05761052,0.15576625,0.00000000,1.70702975,0.00000000
-5.80190095,4.11311255,2.73729767,2.04151204,0.15003326,0.00000000,1.69072841,0.00000000
-5.79589795,4.07106622,2.69600081,2.02835889,0.14450326,0.00000000,1.67475234,0.00000000
-5.78989495,4.03432366,2.65421342,2.01919044,0.13924109,0.00000000,1.65998599,0.00000000
-5.78389195,4.00491182,2.61327964,2.01497690,0.13430489,0.00000000,1.64728368,0.00000000
-5.77788894,3.98467991,2.57446729,2.01658582,0.12974470,0.00000000,1.63744207,0.00000000
-5.77188594,3.97523428,2.53892854,2.02474931,0.12560128,0.00000000,1.63117288,0.00000000
-5.76588294,3.97787714,2.50766319,2.04003308,0.12190504,0.00000000,1.62907707,0.00000000
-5.75987994,3.99355152,2.48148599,2.06280875,0.11867522,0.00000000,1.63162129,0.00000000
-5.75387694,4.02279469,2.46099913,2.09323032,0.11591922,0.00000000,1.63911744,0.00000000
-5.74787394,4.06570229,2.44657095,2.13121621,0.11363238,0.00000000,1.65170643,0.00000000
-5.74187094,4.12190481,2.43832192,2.17643775,0.11179788,0.00000000,1.66934662,0.00000000
-5.73586793,4.19055810,2.43611832,2.22831501,0.11038715,0.00000000,1.69180777,0.00000000
-5.72986493,4.27034890,2.43957414,2.28602053,0.10936051,0.00000000,1.71867084,0.00000000
-5.72386193,4.35951591,2.44806135,2.34849147,0.10866825,0.00000000,1.74933401,0.00000000
-5.71785893,4.45588651,2.46072823,2.41444993,0.10825195,0.00000000,1.78302483,0.00000000
-5.71185593,4.55692834,2.47652530,2.48243154,0.10804625,0.00000000,1.81881854,0.00000000
-5.70585293,4.65981475,2.49423821,2.55082136,0.10798073,0.00000000,1.85566193,0.00000000
-5.69984992,4.76150215,2.51252639,2.61789635,0.10798210,0.00000000,1.89240229,0.00000000
-5.69384692,4.85881697,2.52996625,2.68187312,0.10797646,0.00000000,1.92782051,0.00000000
-5.68784392,4.94854945,2.54509755,2.74095930,0.10789162,0.00000000,1.96066731,0.00000000
-5.68184092,5.02755090,2.55647118,2.79340694,0.10765938,0.00000000,1.98970131,0.00000000
-5.67583792,5.09283107,2.56269683,2.83756580,0.10721769,0.00000000,2.01372778,0.00000000
-5.66983492,5.14165194,2.56248871,2.87193473,0.10651256,0.00000000,2.03163641,0.00000000
-5.66383192,5.17161439,2.55470765,2.89520896,0.10549968,0.00000000,2.04243689,0.00000000
-5.65782891,5.18073424,2.53839822,2.90632143,0.10414567,0.00000000,2.04529080,0.00000000
-5.65182591,5.16750472,2.51281921,2.90447655,0.10242897,0.00000000,2.03953860,0.00000000
-5.64582291,5.13094285,2.47746665,2.88917478,0.10034017,0.00000000,2.02472061,0.00000000
-5.63981991,5.07061765,2.43208834,2.86022714,0.09788198,0.00000000,2.00059116,0.00000000
-5.63381691,4.98665926,2.37668951,2.81775885,0.09506871,0.00000000,1.96712525,0.00000000
-5.62781391,4.87974859,2.31152952,2.76220211,0.09192533,0.00000000,1.92451766,0.00000000
-5.62181091,4.75108791,2.23710985,2.69427812,0.08848618,0.00000000,1.87317431,0.00000000
-5.61580790,4.60235397,2.15415392,2.61496947,0.08479338,0.00000000,1.81369662,0.00000000
-5.60980490,4.43563571,2.06357996,2.52548372,0.08089495,0.00000000,1.74685932,0.00000000
-5.60380190,4.25335937,1.96646792,2.42721031,0.07684293,0.00000000,1.67358288,0.00000000
-5.59779890,4.05820441,1.86402209,2.32167225,0.07269130,0.00000000,1.59490179,0.00000000
-5.59179590,3.85301402,1.75753097,2.21047516,0.06849407,0.00000000,1.51193008,0.00000000
-5.58579290,3.64070393,1.64832616,2.09525552,0.06430340,0.00000000,1.42582558,0.00000000
-5.57978989,3.42417346,1.53774190,1.97763063,0.06016799,0.00000000,1.33775444,0.00000000
-5.57378689,3.20622237,1.42707688,1.85915209,0.05613169,0.00000000,1.24885734,0.00000000
-5.56778389,2.98947657,1.31755966,1.74126469,0.05223240,0.00000000,1.16021873,0.00000000
-5.56178089,2.77632540,1.21031890,1.62527215,0.04850133,0.00000000,1.07284002,0.00000000
-5.55577789,2.56887221,1.10635930,1.51231073,0.04496258,0.00000000,0.98761786,0.00000000
-5.54977489,2.36889944,1.00654370,1.40333131,0.04163300,0.00000000,0.90532771,0.00000000
-5.54377189,2.17784863,0.91158166,1.29909011,0.03852248,0.00000000,0.82661326,0.00000000
-5.53776888,1.99681478,0.82202434,1.20014764,0.03563432,0.00000000,0.75198143,0.00000000
-5.53176588,1.82655418,0.73826547,1.10687543,0.03296602,0.00000000,0.68180281,0.00000000
-5.52576288,1.66750404,0.66054752,1.01946926,0.03051006,0.00000000,0.61631688,0.00000000
-5.51975988,1.51981172,0.58897253,0.93796778,0.02825490,0.00000000,0.55564140,0.00000000
-5.51375688,1.38337147,0.52351651,0.86227513,0.02618599,0.00000000,0.49978499,0.00000000
-5.50775388,1.25786594,0.46404641,0.79218597,0.02428681,0.00000000,0.44866212,0.00000000
-5.50175088,1.14281019,0.41033868,0.72741149,0.02253981,0.00000000,0.40210950,0.00000000
-5.49574787,1.03759586,0.36209842,0.66760517,0.02092731,0.00000000,0.35990294,0.00000000
-5.48974487,0.94153337,0.31897832,0.61238689,0.01943226,0.00000000,0.32177401,0.00000000
-5.48374187,0.85389064,0.28059648,0.56136467,0.01803886,0.00000000,0.28742566,0.00000000
-5.47773887,0.77392691,0.24655272,0.51415319,0.01673305,0.00000000,0.25654639,0.00000000
