energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,10.42435335,0.01301542,3.58873858,0.06726640,1.81928814,5.91853021,4.01236519
-5.99399700,11.05308664,0.01371070,3.78803442,0.07205542,1.95070220,6.27770100,4.23924166
-5.98799400,11.65541036,0.01437828,3.97500221,0.07672616,2.08112891,6.62189578,4.45368201
-5.98199100,12.22352956,0.01501278,4.14674997,0.08121536,2.20936345,6.94669609,4.65264115
-5.97598799,12.75003487,0.01560931,4.30057155,0.08545988,2.33420699,7.24787686,4.83327097
-5.96998499,13.22806949,0.01616354,4.43401223,0.08939832,2.45448948,7.52150747,4.99298463
-5.96398199,13.65148330,0.01667169,4.54492922,0.09297264,2.56909119,7.76404663,5.12951471
-5.95797899,14.01496882,0.01713057,4.63154487,0.09612976,2.67696228,7.97242771,5.24096322
-5.95197599,14.31417408,0.01753752,4.69249054,0.09882310,2.77713969,8.14413114,5.32584183
-5.94597299,14.54578885,0.01789039,4.72683973,0.10101389,2.86876099,8.27724121,5.38310108
-5.93996998,14.70760141,0.01818750,4.73412910,0.10267230,2.95107486,8.37048515,5.41214776
-5.93396698,14.79852466,0.01842756,4.71436680,0.10377831,3.02344812,8.42325305,5.41285011
-5.92796398,14.81859148,0.01860964,4.66802789,0.10432223,3.08536940,8.43559814,5.38553116
-5.92196098,14.76892044,0.01873306,4.59603705,0.10430497,3.13644983,8.40821766,5.33095061
-5.91595798,14.65165431,0.01879739,4.49973943,0.10373798,3.17642100,8.34241542,5.25027641
-5.90995498,14.46987464,0.01880241,4.38086069,0.10264280,3.20513091,8.24004799,5.14504726
-5.90395198,14.22749643,0.01874806,4.24145799,0.10105039,3.22253840,8.10345701,5.01712766
-5.89794897,13.92914770,0.01863451,4.08386348,0.09900019,3.22870666,7.93539078,4.86865717
-5.89194597,13.58003877,0.01846213,3.91062259,0.09653893,3.22379644,7.73891853,4.70199577
-5.88594297,13.18582635,0.01823155,3.72442920,0.09371933,3.20805940,7.51734118,4.51966697
-5.87993997,12.75247713,0.01794373,3.52805984,0.09059860,3.18183206,7.27410197,4.32430072
-5.87393697,12.28613542,0.01760003,3.32430906,0.08723702,3.14553041,7.01270079,4.11857734
-5.86793397,11.79299857,0.01720226,3.11592808,0.08369640,3.09964547,6.73661502,3.90517431
-5.86193097,11.27920349,0.01675279,2.90556837,0.08003865,3.04473956,6.44922965,3.68671692
-5.85592796,10.75072643,0.01625458,2.69573160,0.07632445,2.98144324,6.15377869,3.46573386
-5.84992496,10.21329780,0.01571128,2.48872739,0.07261199,2.91045235,5.85329907,3.24461864
-5.84392196,9.67233273,0.01512723,2.28663941,0.06895595,2.83252510,5.55059779,3.02559716
-5.83791896,9.13287747,0.01450746,2.09130039,0.06540655,2.74847851,5.24823198,2.81070192
-5.83191596,8.59957098,0.01385774,1.90427624,0.06200887,2.65918392,4.94850145,2.60175288
-5.82591296,8.07662078,0.01318451,1.72685889,0.05880227,2.56556121,4.65345214,2.40034485
-5.81990995,7.56779135,0.01249480,1.56006742,0.05582004,2.46857150,4.36488892,2.20784104
-5.81390695,7.07640353,0.01179619,1.40465660,0.05308913,2.36920810,4.08439567,2.02537246
-5.80790395,6.60534298,0.01109671,1.26113193,0.05063015,2.26848586,3.81336045,1.85384250
-5.80190095,6.15707579,0.01040468,1.12976993,0.04845740,2.16742897,3.55300364,1.69393603
-5.79589795,5.73366959,0.00972863,1.01064249,0.04657903,2.06705762,3.30440686,1.54613232
-5.78989495,5.33681832,0.00907715,0.90364398,0.04499739,1.96837375,3.06854090,1.41072103
-5.78389195,4.96786951,0.00845876,0.80851995,0.04370937,1.87234667,2.84629104,1.28782045
-5.77788894,4.62785259,0.00788176,0.72489608,0.04270692,1.77989879,2.63847852,1.17739721
-5.77188594,4.31750744,0.00735411,0.65230651,0.04197752,1.69189229,2.44587729,1.07928685
-5.76588294,4.03731220,0.00688331,0.59022046,0.04150485,1.60911707,2.26922554,0.99321435
-5.75987994,3.78750990,0.00647627,0.53806649,0.04126940,1.53228043,2.10923174,0.91881418
-5.75387694,3.56813312,0.00613920,0.49525370,0.04124917,1.46199889,1.96657539,0.85564919
-5.74787394,3.37902641,0.00587749,0.46118958,0.04142034,1.39879223,1.84190274,0.80322795
-5.74187094,3.21986611,0.00569564,0.43529414,0.04175798,1.34307978,1.73581797,0.76102004
-5.73586793,3.09017706,0.00559714,0.41701027,0.04223674,1.29517897,1.64887058,0.72846914
-5.72986493,2.98934621,0.00558435,0.40581047,0.04283145,1.25530573,1.58153961,0.70500369
-5.72386193,2.91663276,0.00565849,0.40120006,0.04351769,1.22357661,1.53421558,0.69004495
-5.71785893,2.87117489,0.00581946,0.40271719,0.04427230,1.20001203,1.50718099,0.68301278
-5.71185593,2.85199325,0.00606586,0.40993018,0.04507375,1.18454045,1.50059011,0.68332896
-5.70585293,2.85799136,0.00639489,0.42243254,0.04590241,1.17700294,1.51444920,0.69041856
-5.69984992,2.88795361,0.00680230,0.43983638,0.04674071,1.17715800,1.54859777,0.70370970
-5.69384692,2.94054157,0.00728239,0.46176466,0.04757318,1.18468629,1.60269195,0.72263198
-5.68784392,3.01428946,0.00782804,0.48784303,0.04838639,1.19919517,1.67619074,0.74661427
-5.68184092,3.10760005,0.00843073,0.51769183,0.04916876,1.22022323,1.76834601,0.77508223
-5.67583792,3.21874203,0.00908064,0.55091874,0.04991032,1.24724480,1.87819697,0.80745621
-5.66983492,3.34585030,0.00976679,0.58711271,0.05060242,1.27967465,2.00456970,0.84314985
-5.66383192,3.48692999,0.01047717,0.62583955,0.05123740,1.31687331,2.14608227,0.88156995
-5.65782891,3.63986556,0.01119904,0.66663948,0.05180828,1.35815305,2.30115562,0.92211782
-5.65182591,3.80243517,0.01191909,0.70902694,0.05230849,1.40278501,2.46803024,0.96419225
-5.64582291,3.97233100,0.01262383,0.75249253,0.05273165,1.45000757,2.64478837,1.00719424
-5.63981991,4.14718509,0.01329984,0.79650734,0.05307142,1.49903591,2.82938110,1.05053325
-5.63381691,4.32460016,0.01393415,0.84052908,0.05332146,1.54907297,3.01965956,1.09363480
-5.62781391,4.50218439,0.01451455,0.88400995,0.05347555,1.59932139,3.21340915,1.13594890
-5.62181091,4.67758877,0.01502995,0.92640583,0.05352764,1.64899620,3.40838536,1.17695893
-5.61580790,4.84854519,0.01547068,0.96718604,0.05347219,1.69733788,3.60235002,1.21619031
-5.60980490,5.01290371,0.01582876,1.00584345,0.05330444,1.74362517,3.79310635,1.25321849
-5.60380190,5.16866685,0.01609809,1.04190416,0.05302077,1.78718719,3.97853164,1.28767555
-5.59779890,5.31401964,0.01627469,1.07493639,0.05261907,1.82741424,4.15660635,1.31925516
-5.59179590,5.44735373,0.01635668,1.10455805,0.05209911,1.86376693,4.32543878,1.34771534
-5.58579290,5.56728477,0.01634441,1.13044275,0.05146286,1.89578315,4.48328477,1.37287908
-5.57978989,5.67266274,0.01624033,1.15232394,0.05071476,1.92308284,4.62856225,1.39463253
-5.57378689,5.76257501,0.01604889,1.16999717,0.04986188,1.94537023,4.75986092,1.41292116
-5.56778389,5.83634307,0.01577639,1.18332047,0.04891401,1.96243388,4.87594754,1.42774404
-5.56178089,5.89351365,0.01543071,1.19221302,0.04788366,1.97414469,4.97576774,1.43914686
-5.55577789,5.93384584,0.01502103,1.19665240,0.04678589,1.98045219,5.05844539,1.44721407
-5.54977489,5.95729565,0.01455756,1.19667070,0.04563813,1.98137959,5.12328061,1.45206084
-5.54377189,5.96399958,0.01405125,1.19234984,0.04445984,1.97701812,5.16974748,1.45382538
-5.53776888,5.95425867,0.01351341,1.18381657,0.04327210,1.96752099,5.19749245,1.45266218
-5.53176588,5.92852418,0.01295553,1.17123735,0.04209723,1.95309753,5.20633400,1.44873648
-5.52576288,5.88738570,0.01238896,1.15481342,0.04095821,1.93400764,5.19626390,1.44222029
-5.51975988,5.83156184,0.01182470,1.13477629,0.03987821,1.91055684,5.16745005,1.43329008
-5.51375688,5.76189342,0.01127330,1.11138373,0.03888006,1.88309181,5.12024032,1.42212592
-5.50775388,5.67933843,0.01074463,1.08491622,0.03798567,1.85199639,5.05516674,1.40891189
-5.50175088,5.58496763,0.01024792,1.05567385,0.03721556,1.81768776,4.97294886,1.39383739
-5.49574787,5.47995957,0.00979163,1.02397348,0.03658828,1.78061246,4.87449513,1.37709878
-5.48974487,5.36559362,0.00938350,0.99014603,0.03611996,1.74124192,4.76090097,1.35890082
-5.48374187,5.24323959,0.00903054,0.95453364,0.03582380,1.70006710,4.63344248,1.33945750
-5.47773887,5.11434292,0.00873909,0.91748653,0.03570969,1.65759204,4.49356474,1.31899166
-5.47173587,4.98040486,0.00851481,0.87935954,0.03578375,1.61432606,4.34286423,1.29773324
-5.46573287,4.84295726,0.00836274,0.84050804,0.03604802,1.57077469,4.18306516,1.27591584
-5.45972986,4.70353266,0.00828727,0.80128344,0.03650017,1.52742937,4.01599017,1.25377175
-5.45372686,4.56363039,0.00829214,0.76202824,0.03713327,1.48475637,3.84352600,1.23152561
-5.44772386,4.42468057,0.00838041,0.72307083,0.03793573,1.44318539,3.66758564,1.20938712
-5.44172086,4.28800769,0.00855432,0.68472032,0.03889127,1.40309831,3.49006849,1.18754334
-5.43571786,4.15479627,0.00881527,0.64726153,0.03997906,1.36481910,3.31282042,1.16615121
-5.42971486,4.02606092,0.00916362,0.61095062,0.04117404,1.32860529,3.13759573,1.14533110
-5.42371186,3.90262304,0.00959863,0.57601159,0.04244732,1.29464197,2.96602311,1.12516190
-5.41770885,3.78509627,0.01011827,0.54263393,0.04376684,1.26303869,2.79957731,1.10567846
-5.41170585,3.67388221,0.01071916,0.51097160,0.04509808,1.23382991,2.63955800,1.08687170
-5.40570285,3.56917724,0.01139645,0.48114364,0.04640505,1.20697902,2.48707700,1.06869176
-5.39969985,3.47099072,0.01214374,0.45323624,0.04765126,1.18238615,2.34305439,1.05105421
-5.39369685,3.37917397,0.01295314,0.42730649,0.04880089,1.15989931,2.20822349,1.03384925
-5.38769385,3.29345862,0.01381528,0.40338740,0.04981998,1.13932849,2.08314419,1.01695337
-5.38169085,3.21350247,0.01471943,0.38149415,0.05067761,1.12046202,1.96822360,1.00024300
-5.37568784,3.13894012,0.01565367,0.36163117,0.05134701,1.10308419,1.86374248,0.98360937
-5.36968484,3.06943545,0.01660512,0.34379965,0.05180667,1.08699318,1.76988562,0.96697355
