energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,17.99098529,0.01018363,0.12045151,0.02453994,0.28555943,0.35391634,17.42331512
-5.99399700,18.09420004,0.00965594,0.11668202,0.02549160,0.27361164,0.34061375,17.53343430
-5.98799400,18.21402214,0.00918360,0.11323181,0.02651644,0.26194451,0.32758877,17.65926035
-5.98199100,18.34862856,0.00876839,0.11009077,0.02761452,0.25061881,0.31492193,17.79884145
-5.97598799,18.49579761,0.00841162,0.10724465,0.02878426,0.23968694,0.30268685,17.94984006
-5.96998499,18.65298054,0.00811418,0.10467500,0.03002226,0.22919310,0.29094952,18.10960531
-5.96398199,18.81738866,0.00787664,0.10235934,0.03132329,0.21917368,0.27976769,18.27526026
-5.95797899,18.98609197,0.00769926,0.10027148,0.03268024,0.20965775,0.26919068,18.44380037
-5.95197599,19.15612452,0.00758217,0.09838208,0.03408424,0.20066772,0.25925934,18.61219831
-5.94597299,19.32459157,0.00752539,0.09665930,0.03552482,0.19222000,0.25000626,18.77751048
-5.93996998,19.48877313,0.00752898,0.09506968,0.03699012,0.18432566,0.24145611,18.93697958
-5.93396698,19.64621850,0.00759313,0.09357907,0.03846722,0.17699107,0.23362617,19.08812843
-5.92796398,19.79482684,0.00771823,0.09215360,0.03994243,0.17021835,0.22652682,19.22883988
-5.92196098,19.93290921,0.00790501,0.09076078,0.04140166,0.16400586,0.22016219,19.35741840
-5.91595798,20.05922822,0.00815457,0.08937042,0.04283082,0.15834844,0.21453070,19.47262981
-5.90995498,20.17301275,0.00846845,0.08795557,0.04421617,0.15323761,0.20962556,19.57371638
-5.90395198,20.27394618,0.00884869,0.08649333,0.04554469,0.14866162,0.20543526,19.66038605
-5.89794897,20.36212809,0.00929786,0.08496546,0.04680439,0.14460542,0.20194394,19.73277541
-5.89194597,20.43801090,0.00981907,0.08335889,0.04798462,0.14105062,0.19913159,19.79138821
-5.88594297,20.50231433,0.01041593,0.08166592,0.04907628,0.13797534,0.19697437,19.83701182
-5.87993997,20.55592218,0.01109259,0.07988432,0.05007201,0.13535413,0.19544463,19.87061622
-5.87393697,20.59976681,0.01185367,0.07801717,0.05096635,0.13315792,0.19451111,19.89324057
-5.86793397,20.63470802,0.01270418,0.07607248,0.05175583,0.13135408,0.19413900,19.90587403
-5.86193097,20.66141348,0.01364951,0.07406274,0.05243901,0.12990653,0.19429006,19.90933750
-5.85592796,20.68024780,0.01469531,0.07200425,0.05301647,0.12877600,0.19492283,19.90417343
-5.84992496,20.69117760,0.01584739,0.06991632,0.05349084,0.12792048,0.19599290,19.89055072
