energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.61580790,3.05920449,1.43191892,0.63432820,0.02731152,0.28215771,1.12413229,0.00000000
-5.60980490,3.08150659,1.43732449,0.64223241,0.02915058,0.28638117,1.12761139,0.00000000
-5.60380190,3.09866071,1.44073544,0.64891944,0.03120041,0.29043385,1.12854697,0.00000000
-5.59779890,3.11112273,1.44245742,0.65446256,0.03345710,0.29435017,1.12712563,0.00000000
-5.59179590,3.11939033,1.44278998,0.65895165,0.03591114,0.29815431,1.12357235,0.00000000
-5.58579290,3.12397767,1.44201258,0.66248813,0.03854705,0.30185734,1.11814200,0.00000000
-5.57978989,3.12538966,1.44037145,0.66517935,0.04134325,0.30545479,1.11110975,0.00000000
-5.57378689,3.12409707,1.43806797,0.66713299,0.04427213,0.30892494,1.10276085,0.00000000
-5.56778389,3.12051397,1.43524927,0.66845159,0.04730051,0.31222794,1.09338023,0.00000000
-5.56178089,3.11497865,1.43200146,0.66922758,0.05039027,0.31530587,1.08324255,0.00000000
-5.55577789,3.10773919,1.42834606,0.66953914,0.05349930,0.31808375,1.07260294,0.00000000
-5.54977489,3.09894429,1.42423969,0.66944697,0.05658257,0.32047166,1.06168901,0.00000000
-5.54377189,3.08863991,1.41957721,0.66899221,0.05959346,0.32236771,1.05069435,0.00000000
-5.53776888,3.07677166,1.41419802,0.66819547,0.06248510,0.32366190,1.03977377,0.00000000
-5.53176588,3.06319258,1.40789523,0.66705702,0.06521180,0.32424065,1.02904021,0.00000000
-5.52576288,3.04767561,1.40042718,0.66555803,0.06773045,0.32399174,1.01856357,0.00000000
-5.51975988,3.02992968,1.39153052,0.66366259,0.07000179,0.32280956,1.00837109,0.00000000
-5.51375688,3.00961839,1.38093427,0.66132043,0.07199155,0.32060015,0.99844912,0.00000000
-5.50775388,2.98637980,1.36837386,0.65847006,0.07367136,0.31728602,0.98874625,0.00000000
-5.50175088,2.95984613,1.35360459,0.65504205,0.07501946,0.31281035,0.97917717,0.00000000
-5.49574787,2.92966234,1.33641358,0.65096235,0.07602105,0.30714026,0.96962733,0.00000000
-5.48974487,2.89550240,1.31662978,0.64615527,0.07666843,0.30026926,0.95995795,0.00000000
-5.48374187,2.85708280,1.29413167,0.64054632,0.07696083,0.29221844,0.95001132,0.00000000
-5.47773887,2.81417279,1.26885215,0.63406447,0.07690402,0.28303647,0.93961611,0.00000000
-5.47173587,2.76660137,1.24078093,0.62664410,0.07650962,0.27279856,0.92859278,0.00000000
-5.46573287,2.71426114,1.20996418,0.61822657,0.07579438,0.26160417,0.91675889,0.00000000
-5.45972986,2.65710955,1.17650203,0.60876146,0.07477924,0.24957387,0.90393438,0.00000000
-5.45372686,2.59516811,1.14054409,0.59820762,0.07348836,0.23684537,0.88994687,0.00000000
-5.44772386,2.52852025,1.10228357,0.58653411,0.07194824,0.22356903,0.87463685,0.00000000
-5.44172086,2.45730842,1.06195051,0.57372119,0.07018680,0.20990305,0.85786293,0.00000000
-5.43571786,2.38173118,1.01980458,0.55976126,0.06823262,0.19600857,0.83950694,0.00000000
-5.42971486,2.30204059,0.97612800,0.54466000,0.06611439,0.18204495,0.81947883,0.00000000
-5.42371186,2.21854024,0.93121877,0.52843749,0.06386039,0.16816548,0.79772134,0.00000000
-5.41770885,2.13158397,0.88538471,0.51112944,0.06149828,0.15451350,0.77421412,0.00000000
-5.41170585,2.04157519,0.83893833,0.49278828,0.05905499,0.14121938,0.74897717,0.00000000
-5.40570285,1.94896653,0.79219269,0.47348410,0.05655681,0.12839809,0.72207339,0.00000000
-5.39969985,1.85425941,0.74545814,0.45330534,0.05402955,0.11614772,0.69361006,0.00000000
-5.39369685,1.75800306,0.69903992,0.43235897,0.05149883,0.10454869,0.66373899,0.00000000
-5.38769385,1.66079267,0.65323640,0.41077019,0.04899043,0.09366378,0.63265530,0.00000000
-5.38169085,1.56326609,0.60833783,0.38868147,0.04653059,0.08353877,0.60059480,0.00000000
-5.37568784,1.46609890,0.56462532,0.36625097,0.04414633,0.07420373,0.56782982,0.00000000
-5.36968484,1.36999766,0.52236998,0.34365029,0.04186567,0.06567463,0.53466379,0.00000000
-5.36368184,1.27569136,0.48183199,0.32106160,0.03971772,0.05795541,0.50142456,0.00000000
-5.35767884,1.18392115,0.44325950,0.29867431,0.03773269,0.05104016,0.46845678,0.00000000
-5.35167584,1.09542864,0.40688731,0.27668126,0.03594167,0.04491536,0.43611362,0.00000000
-5.34567284,1.01094328,0.37293529,0.25527484,0.03437637,0.03956216,0.40474804,0.00000000
-5.33966983,0.93116901,0.34160652,0.23464293,0.03306856,0.03495844,0.37470403,0.00000000
-5.33366683,0.85677104,0.31308527,0.21496499,0.03204949,0.03108075,0.34630814,0.00000000
-5.32766383,0.78836290,0.28753475,0.19640852,0.03134908,0.02790593,0.31986142,0.00000000
-5.32166083,0.72649444,0.26509478,0.17912579,0.03099507,0.02541240,0.29563228,0.00000000
-5.31565783,0.67164101,0.24587947,0.16325125,0.03101208,0.02358117,0.27385019,0.00000000
-5.30965483,0.62419422,0.22997486,0.14889942,0.03142057,0.02239649,0.25470058,0.00000000
-5.30365183,0.58445436,0.21743665,0.13616346,0.03223586,0.02184604,0.23832091,0.00000000
-5.29764882,0.55262464,0.20828816,0.12511433,0.03346718,0.02192093,0.22479798,0.00000000
-5.29164582,0.52880723,0.20251835,0.11580056,0.03511673,0.02261523,0.21416651,0.00000000
-5.28564282,0.51300108,0.20008021,0.10824844,0.03717897,0.02392530,0.20640889,0.00000000
-5.27963982,0.50510140,0.20088935,0.10246271,0.03963999,0.02584876,0.20145611,0.00000000
-5.27363682,0.50490072,0.20482304,0.09842751,0.04247709,0.02838330,0.19918974,0.00000000
-5.26763382,0.51209140,0.21171972,0.09610752,0.04565868,0.03152529,0.19944493,0.00000000
-5.26163082,0.52626953,0.22137899,0.09544934,0.04914433,0.03526826,0.20201431,0.00000000
-5.25562781,0.54694012,0.23356236,0.09638274,0.05288523,0.03960133,0.20665270,0.00000000
-5.24962481,0.57352363,0.24799474,0.09882205,0.05682486,0.04450768,0.21308260,0.00000000
-5.24362181,0.60536378,0.26436683,0.10266743,0.06090000,0.04996311,0.22100033,0.00000000
-5.23761881,0.64173665,0.28233848,0.10780612,0.06504204,0.05593470,0.23008270,0.00000000
-5.23161581,0.68186115,0.30154313,0.11411365,0.06917853,0.06237987,0.23999422,0.00000000
-5.22561281,0.72491086,0.32159331,0.12145502,0.07323494,0.06924559,0.25039457,0.00000000
-5.21960980,0.77002711,0.34208728,0.12968601,0.07713660,0.07646813,0.26094633,0.00000000
-5.21360680,0.81633345,0.36261657,0.13865448,0.08081074,0.08397314,0.27132271,0.00000000
-5.20760380,0.86295108,0.38277449,0.14820198,0.08418852,0.09167631,0.28121520,0.00000000
-5.20160080,0.90901533,0.40216526,0.15816544,0.08720710,0.09948449,0.29034082,0.00000000
-5.19559780,0.95369266,0.42041359,0.16837923,0.08981149,0.10729726,0.29844892,0.00000000
-5.18959480,0.99619796,0.43717439,0.17867750,0.09195622,0.11500910,0.30532712,0.00000000
-5.18359180,1.03581168,0.45214223,0.18889678,0.09360682,0.12251185,0.31080646,0.00000000
-5.17758879,1.07189625,0.46506026,0.19887888,0.09474082,0.12969759,0.31476531,0.00000000
-5.17158579,1.10391142,0.47572808,0.20847403,0.09534857,0.13646174,0.31713207,0.00000000
-5.16558279,1.13142775,0.48400843,0.21754414,0.09543346,0.14270628,0.31788650,0.00000000
-5.15957979,1.15413794,0.48983207,0.22596609,0.09501194,0.14834292,0.31705960,0.00000000
-5.15357679,1.17186537,0.49320083,0.23363496,0.09411296,0.15329620,0.31473206,0.00000000
-5.14757379,1.18456943,0.49418849,0.24046702,0.09277713,0.15750618,0.31103121,0.00000000
-5.14157079,1.19234742,0.49293940,0.24640232,0.09105553,0.16093078,0.30612676,0.00000000
-5.13556778,1.19543254,0.48966481,0.25140672,0.08900818,0.16354754,0.30022528,0.00000000
-5.12956478,1.19418805,0.48463696,0.25547334,0.08670236,0.16535468,0.29356365,0.00000000
-5.12356178,1.18909763,0.47818109,0.25862309,0.08421070,0.16637153,0.28640181,0.00000000
-5.11755878,1.18075197,0.47066568,0.26090442,0.08160921,0.16663811,0.27901484,0.00000000
-5.11155578,1.16983211,0.46249114,0.26239208,0.07897529,0.16621401,0.27168485,0.00000000
-5.10555278,1.15708991,0.45407753,0.26318504,0.07638577,0.16517650,0.26469280,0.00000000
-5.09954977,1.14332641,0.44585163,0.26340343,0.07391506,0.16361811,0.25831059,0.00000000
-5.09354677,1.12936867,0.43823392,0.26318478,0.07163353,0.16164356,0.25279364,0.00000000
-5.08754377,1.11604624,0.43162601,0.26267965,0.06960602,0.15936635,0.24837420,0.00000000
-5.08154077,1.10416787,0.42639900,0.26204674,0.06789062,0.15690520,0.24525565,0.00000000
