energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.56742460,0.01448995,0.15631397,0.70916996,1.87016046,1.51685432,0.00000000,0.72634800,0.26718816
-5.99399700,3.68221942,0.01407663,0.15092445,0.72510768,1.97115062,1.54691577,0.00000000,0.72656776,0.26739451
-5.98799400,3.79819439,0.01365772,0.14602737,0.74082507,2.07307924,1.57646701,0.00000000,0.72630991,0.26801642
-5.98199100,3.91355901,0.01323705,0.14160942,0.75604907,2.17448720,1.60503643,0.00000000,0.72545461,0.26904490
-5.97598799,4.02648157,0.01281804,0.13766239,0.77051967,2.27384061,1.63217418,0.00000000,0.72392287,0.27046691
-5.96998499,4.13513588,0.01240369,0.13418418,0.78399622,2.36956814,1.65746463,0.00000000,0.72168200,0.27226631
-5.96398199,4.23774770,0.01199664,0.13117923,0.79626257,2.46010105,1.68053681,0.00000000,0.71874849,0.27442460
-5.95797899,4.33263952,0.01159920,0.12865842,0.80713086,2.54391495,1.70107249,0.00000000,0.71518790,0.27692132
-5.95197599,4.41827202,0.01121343,0.12663850,0.81644394,2.61957147,1.71881175,0.00000000,0.71111204,0.27973415
-5.94597299,4.49328099,0.01084119,0.12514096,0.82407648,2.68575851,1.73355597,0.00000000,0.70667338,0.28283883
-5.93996998,4.55650843,0.01048421,0.12419054,0.82993498,2.74132727,1.74516827,0.00000000,0.70205717,0.28620864
-5.93396698,4.60702699,0.01014410,0.12381341,0.83395664,2.78532483,1.75357171,0.00000000,0.69747152,0.28981386
-5.92796398,4.64415691,0.00982240,0.12403513,0.83610761,2.81702065,1.75874548,0.00000000,0.69313615,0.29362101
-5.92196098,4.66747524,0.00952057,0.12487853,0.83638064,2.83592613,1.76071949,0.00000000,0.68927034,0.29759213
-5.91595798,4.67681705,0.00924001,0.12636160,0.83479248,2.84180627,1.75956779,0.00000000,0.68608073,0.30168408
-5.90995498,4.67226919,0.00898200,0.12849556,0.83138129,2.83468307,1.75540139,0.00000000,0.68374960,0.30584810
-5.90395198,4.65415673,0.00874769,0.13128318,0.82620410,2.81483055,1.74836071,0.00000000,0.68242428,0.31002953
-5.89794897,4.62302337,0.00853801,0.13471745,0.81933467,2.78276174,1.73860830,0.00000000,0.68220823,0.31416792
-5.89194597,4.57960650,0.00835364,0.13878074,0.81086167,2.73920829,1.72632220,0.00000000,0.68315415,0.31819751
-5.88594297,4.52480840,0.00819497,0.14344434,0.80088729,2.68509374,1.71169002,0.00000000,0.68525964,0.32204814
-5.87993997,4.45966488,0.00806197,0.14866866,0.78952624,2.62150173,1.69490425,0.00000000,0.68846542,0.32564646
-5.87393697,4.38531267,0.00795424,0.15440383,0.77690508,2.54964053,1.67615880,0.00000000,0.69265640,0.32891766
-5.86793397,4.30295708,0.00787093,0.16059084,0.76316174,2.47080572,1.65564674,0.00000000,0.69766529,0.33178745
-5.86193097,4.21384100,0.00781072,0.16716307,0.74844510,2.38634222,1.63355939,0.00000000,0.70327886,0.33418428
-5.85592796,4.11921651,0.00777185,0.17404816,0.73291451,2.29760764,1.61008642,0.00000000,0.70924630,0.33604175
-5.84992496,4.02031975,0.00775217,0.18117015,0.71673907,2.20593795,1.58541695,0.00000000,0.71528942,0.33730108
-5.84392196,3.91834978,0.00774920,0.18845166,0.70009661,2.11261680,1.55974124,0.00000000,0.72111419,0.33791348
-5.83791896,3.81445170,0.00776017,0.19581615,0.68317216,2.01884943,1.53325282,0.00000000,0.72642308,0.33784241
-5.83191596,3.70970404,0.00778219,0.20318996,0.66615599,1.92574156,1.50615062,0.00000000,0.73092763,0.33706547
-5.82591296,3.60511020,0.00781236,0.21050424,0.64924113,1.83428380,1.47864096,0.00000000,0.73436071,0.33557605
-5.81990995,3.50159363,0.00784789,0.21769640,0.63262039,1.74534130,1.45093896,0.00000000,0.73648799,0.33338435
-5.81390695,3.39999599,0.00788624,0.22471127,0.61648306,1.65964866,1.42326928,0.00000000,0.73711805,0.33051803
-5.80790395,3.30107780,0.00792532,0.23150177,0.60101131,1.57780943,1.39586595,0.00000000,0.73611076,0.32702221
-5.80190095,3.20552071,0.00796356,0.23802918,0.58637651,1.50029959,1.36897116,0.00000000,0.73338363,0.32295898
-5.79589795,3.11393085,0.00800007,0.24426291,0.57273557,1.42747433,1.34283314,0.00000000,0.72891591,0.31840625
-5.78989495,3.02684252,0.00803472,0.25017994,0.56022766,1.35957727,1.31770296,0.00000000,0.72275021,0.31345616
-5.78389195,2.94472186,0.00806824,0.25576399,0.54897123,1.29675144,1.29383063,0.00000000,0.71499185,0.30821306
-5.77788894,2.86797001,0.00810217,0.26100447,0.53906178,1.23905110,1.27146046,0.00000000,0.70580577,0.30279096
-5.77188594,2.79692572,0.00813895,0.26589530,0.53057022,1.18645400,1.25082616,0.00000000,0.69541141,0.29731085
-5.76588294,2.73186719,0.00818178,0.27043391,0.52354225,1.13887338,1.23214568,0.00000000,0.68407568,0.29189772
-5.75987994,2.67301339,0.00823458,0.27462017,0.51799844,1.09616942,1.21561634,0.00000000,0.67210443,0.28667747
-5.75387694,2.62052483,0.00830182,0.27845576,0.51393534,1.05815977,1.20141032,0.00000000,0.65983273,0.28177388
-5.74787394,2.57450420,0.00838835,0.28194366,0.51132729,1.02462914,1.18967084,0.00000000,0.64761445,0.27730558
-5.74187094,2.53499693,0.00849916,0.28508807,0.51012905,0.99533773,1.18050912,0.00000000,0.63581140,0.27338322
-5.73586793,2.50199205,0.00863920,0.28789460,0.51027890,0.97002868,1.17400239,0.00000000,0.62478254,0.27010686
-5.72986493,2.47542343,0.00881306,0.29037076,0.51170212,0.94843444,1.17019279,0.00000000,0.61487361,0.26756361
-5.72386193,2.45517149,0.00902473,0.29252668,0.51431472,0.93028232,1.16908730,0.00000000,0.60640735,0.26582560
