energy_ev,total_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,3.66255575,0.65611063,1.29885208,0.15314045,1.56052846,0.51494623,0.00027481
-5.99399700,3.72150795,0.65995479,1.32933770,0.14906793,1.63135591,0.50442449,0.00027194
-5.98799400,3.78621028,0.66506063,1.36185142,0.14415410,1.70951900,0.49389620,0.00026882
-5.98199100,3.85627371,0.67143905,1.39612416,0.13848495,1.79427983,0.48347723,0.00026555
-5.97598799,3.93110412,0.67905671,1.43181257,0.13215980,1.88470217,0.47327858,0.00026225
-5.96998499,4.00988386,0.68783080,1.46849514,0.12528809,1.97965369,0.46340254,0.00025904
-5.96398199,4.09156128,0.69762549,1.50567113,0.11798592,2.07781478,0.45393887,0.00025604
-5.95797899,4.17485009,0.70825033,1.54276307,0.11037245,2.17769465,0.44496136,0.00025335
-5.95197599,4.25824053,0.71946098,1.57912320,0.10256648,2.27765501,0.43652515,0.00025109
-5.94597299,4.34002314,0.73096270,1.61404436,0.09468319,2.37594142,0.42866491,0.00024934
-5.93996998,4.41832554,0.74241635,1.64677514,0.08683116,2.47072171,0.42139427,0.00024819
-5.93396698,4.49116144,0.75344717,1.67653909,0.07910998,2.56013056,0.41470653,0.00024770
-5.92796398,4.55649026,0.76365576,1.70255742,0.07160821,2.64231889,0.40857652,0.00024794
-5.92196098,4.61228518,0.77263104,1.72407419,0.06440196,2.71550623,0.40296379,0.00024894
-5.91595798,4.65660627,0.77996459,1.74038308,0.05755406,2.77803405,0.39781661,0.00025073
-5.90995498,4.68767531,0.78526562,1.75085419,0.05111370,2.82841767,0.39307682,0.00025335
-5.90395198,4.70394825,0.78817590,1.75495981,0.04511658,2.86539452,0.38868489,0.00025680
-5.89794897,4.70418144,0.78838391,1.75229755,0.03958556,2.88796642,0.38458505,0.00026108
-5.89194597,4.68748798,0.78563737,1.74260969,0.03453163,2.89543380,0.38072999,0.00026619
-5.88594297,4.65338084,0.77975365,1.72579762,0.02995511,2.88742011,0.37708486,0.00027214
-5.87993997,4.60180035,0.77062739,1.70193049,0.02584719,2.86388533,0.37363015,0.00027889
-5.87393697,4.53312425,0.75823499,1.67124756,0.02219137,2.82512754,0.37036342,0.00028645
-5.86793397,4.44815981,0.74263577,1.63415403,0.01896518,2.77177267,0.36729961,0.00029477
-5.86193097,4.34811798,0.72396974,1.59121043,0.01614162,2.70475273,0.36446992,0.00030382
-5.85592796,4.23457131,0.70245214,1.54311615,0.01369071,2.62527356,0.36191943,0.00031356
-5.84992496,4.10939741,0.67836508,1.49068770,0.01158072,2.53477355,0.35970353,0.00032391
-5.84392196,3.97471113,0.65204671,1.43483291,0.00977942,2.43487538,0.35788346,0.00033480
-5.83791896,3.83278877,0.62387861,1.37652216,0.00825498,2.32733285,0.35652130,0.00034613
-5.83191596,3.68598820,0.59427189,1.31675791,0.00697674,2.21397530,0.35567468,0.00035777
-5.82591296,3.53666863,0.56365290,1.25654394,0.00591583,2.09665192,0.35539163,0.00036957
-5.81990995,3.38711383,0.53244898,1.19685550,0.00504554,1.97717837,0.35570593,0.00038137
-5.81390695,3.23946203,0.50107516,1.13861165,0.00434156,1.85728766,0.35663315,0.00039298
-5.80790395,3.09564542,0.46992218,1.08265063,0.00378209,1.73858711,0.35816774,0.00040418
-5.80190095,2.95734128,0.43934634,1.02970920,0.00334782,1.62252278,0.36028127,0.00041475
-5.79589795,2.82593620,0.40966149,0.98040637,0.00302184,1.51035217,0.36292195,0.00042447
-5.78989495,2.70250408,0.38113336,0.93523203,0.00278944,1.40312570,0.36601538,0.00043309
-5.78389195,2.58779776,0.35397629,0.89454035,0.00263793,1.30167699,0.36946652,0.00044038
-5.77788894,2.48225359,0.32835228,0.85854809,0.00255638,1.20662145,0.37316271,0.00044615
-5.77188594,2.38600770,0.30437217,0.82733734,0.00253542,1.11836255,0.37697758,0.00045017
-5.76588294,2.29892229,0.28209876,0.80086246,0.00256697,1.03710470,0.38077566,0.00045231
-5.75987994,2.22061998,0.26155135,0.77896063,0.00264409,0.96287144,0.38441739,0.00045241
-5.75387694,2.15052421,0.24271164,0.76136541,0.00276080,0.89552791,0.38776440,0.00045041
-5.74787394,2.08790357,0.22553036,0.74772295,0.00291197,0.83480596,0.39068478,0.00044626
-5.74187094,2.03191828,0.20993432,0.73760999,0.00309321,0.78033090,0.39305829,0.00043998
-5.73586793,1.98166691,0.19583366,0.73055333,0.00330089,0.73164858,0.39478114,0.00043164
-5.72986493,1.93623207,0.18312887,0.72605017,0.00353216,0.68825193,0.39577052,0.00042135
-5.72386193,1.89472368,0.17171741,0.72358876,0.00378496,0.64960602,0.39596862,0.00040929
-5.71785893,1.85631902,0.16149976,0.72266906,0.00405817,0.61517109,0.39534613,0.00039568
-5.71185593,1.82029889,0.15238467,0.72282278,0.00435173,0.58442313,0.39390526,0.00038079
-5.70585293,1.78607931,0.14429369,0.72363257,0.00466676,0.55687170,0.39168217,0.00036490
-5.69984992,1.75323845,0.13716477,0.72474977,0.00500576,0.53207489,0.38874891,0.00034837
-5.69384692,1.72153860,0.13095511,0.72591037,0.00537271,0.50965142,0.38521465,0.00033153
-5.68784392,1.69094296,0.12564307,0.72694885,0.00577324,0.48928999,0.38122636,0.00031477
-5.68184092,1.66162707,0.12122941,0.72780933,0.00621475,0.47075603,0.37696868,0.00029848
-5.67583792,1.63398468,0.11773767,0.72855370,0.00670641,0.45389602,0.37266300,0.00028302
-5.66983492,1.60862795,0.11521399,0.72936644,0.00725924,0.43863963,0.36856555,0.00026880
-5.66383192,1.58638170,0.11372611,0.73055576,0.00788597,0.42499979,0.36496450,0.00025618
-5.65782891,1.56827173,0.11336192,0.73255085,0.00860095,0.41307103,0.36217578,0.00024553
-5.65182591,1.55550691,0.11422732,0.73589506,0.00941989,0.40302605,0.36053774,0.00023718
-5.64582291,1.54945532,0.11644362,0.74123516,0.01035958,0.39511093,0.36040441,0.00023146
-5.63981991,1.55161448,0.12014437,0.74930664,0.01143744,0.38963887,0.36213754,0.00022865
-5.63381691,1.56357617,0.12547187,0.76091540,0.01267110,0.38698274,0.36609730,0.00022903
-5.62781391,1.58698644,0.13257319,0.77691630,0.01407782,0.38756655,0.37263201,0.00023281
-5.62181091,1.62350165,0.14159601,0.79818906,0.01567392,0.39185588,0.38206693,0.00024019
-5.61580790,1.67474173,0.15268428,0.82561232,0.01747415,0.40034750,0.39469263,0.00025133
-5.60980490,1.74224196,0.16597379,0.86003654,0.01949107,0.41355822,0.41075313,0.00026634
-5.60380190,1.82740480,0.18158795,0.90225678,0.02173447,0.43201321,0.43043448,0.00028529
-5.59779890,1.93145341,0.19963384,0.95298626,0.02421082,0.45623388,0.45385416,0.00030820
-5.59179590,2.05538864,0.22019871,1.01283158,0.02692286,0.48672547,0.48105193,0.00033505
-5.58579290,2.19995113,0.24334718,1.08227070,0.02986924,0.52396461,0.51198256,0.00036576
-5.57978989,2.36559008,0.26911921,1.16163430,0.03304439,0.56838694,0.54651112,0.00040021
-5.57378689,2.55244010,0.29752913,1.25109146,0.03643848,0.62037501,0.58441108,0.00043823
