energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-1.40170085,2.90117026,0.00776405,0.21545828,0.31199396,0.00000000,1.43364721,1.75732131,0.00513568,1.40599344
-1.39569785,2.87994923,0.00715615,0.20936757,0.31277870,0.00000000,1.42274253,1.75481377,0.00480718,1.39970487
-1.38969485,2.85960270,0.00657868,0.20316220,0.31355814,0.00000000,1.40997547,1.75604988,0.00449510,1.39026065
-1.38369185,2.83974757,0.00603431,0.19687826,0.31433079,0.00000000,1.39527246,1.76020695,0.00420140,1.37786407
-1.37768884,2.82003001,0.00552513,0.19055988,0.31509458,0.00000000,1.37861306,1.76641070,0.00392766,1.36282624
-1.37168584,2.80012988,0.00505263,0.18425824,0.31584642,0.00000000,1.36003004,1.77375013,0.00367507,1.34555968
-1.36568284,2.77976805,0.00461762,0.17803044,0.31658233,0.00000000,1.33960907,1.78129684,0.00344436,1.32656941
-1.35967984,2.75871603,0.00422029,0.17193834,0.31729789,0.00000000,1.31748788,1.78812816,0.00323583,1.30644166
-1.35367684,2.73680693,0.00386020,0.16604741,0.31798915,0.00000000,1.29385494,1.79335304,0.00304936,1.28583034
-1.34767384,2.71394693,0.00353637,0.16042548,0.31865368,0.00000000,1.26894728,1.79613947,0.00288446,1.26544134
-1.34167084,2.69012589,0.00324735,0.15514144,0.31929166,0.00000000,1.24304728,1.79574205,0.00274034,1.24601498
-1.33566783,2.66542588,0.00299133,0.15026398,0.31990690,0.00000000,1.21647842,1.79152801,0.00261599,1.22830676
-1.32966483,2.64002650,0.00276620,0.14586024,0.32050751,0.00000000,1.18959962,1.78300037,0.00251024,1.21306684
-1.32366183,2.61420583,0.00256973,0.14199436,0.32110625,0.00000000,1.16279817,1.76981660,0.00242188,1.20101859
-1.31765883,2.58833633,0.00239963,0.13872607,0.32172027,0.00000000,1.13648130,1.75180186,0.00234969,1.19283674
-1.31165583,2.56287510,0.00225364,0.13610920,0.32237035,0.00000000,1.11106625,1.72895572,0.00229255,1.18912557
-1.30565283,2.53834847,0.00212965,0.13419010,0.32307948,0.00000000,1.08696923,1.70145181,0.00224945,1.19039774
-1.29964982,2.51533100,0.00202573,0.13300615,0.32387096,0.00000000,1.06459326,1.66963048,0.00221956,1.19705449
-1.29364682,2.49441990,0.00194024,0.13258418,0.32476600,0.00000000,1.04431539,1.63398432,0.00220224,1.20936766
-1.28764382,2.47620551,0.00187178,0.13293898,0.32578101,0.00000000,1.02647375,1.59513754,0.00219703,1.22746446
-1.28164082,2.46123950,0.00181925,0.13407200,0.32692476,0.00000000,1.01135471,1.55381985,0.00220363,1.25131536
-1.27563782,2.45000220,0.00178184,0.13597005,0.32819562,0.00000000,0.99918093,1.51083624,0.00222186,1.28072600
-1.26963482,2.44287090,0.00175899,0.13860441,0.32957904,0.00000000,0.99010068,1.46703403,0.00225166,1.31533346
-1.26363182,2.44009075,0.00175033,0.14193013,0.33104557,0.00000000,0.98417903,1.42326862,0.00229295,1.35460739
-1.25762881,2.44175006,0.00175565,0.14588573,0.33254944,0.00000000,0.98139140,1.38036973,0.00234563,1.39785639
-1.25162581,2.44776146,0.00177483,0.15039341,0.33402816,0.00000000,0.98161988,1.33910932,0.00240947,1.44423958
-1.24562281,2.45785010,0.00180777,0.15535965,0.33540284,0.00000000,0.98465259,1.30017281,0.00248411,1.49278346
-1.23961981,2.47154985,0.00185429,0.16067641,0.33657961,0.00000000,0.99018631,1.26413454,0.00256892,1.54240375
-1.23361681,2.48820786,0.00191411,0.16622286,0.33745198,0.00000000,0.99783249,1.23143849,0.00266302,1.59193152
-1.22761381,2.50699759,0.00198675,0.17186765,0.33790406,0.00000000,1.00712631,1.20238485,0.00276522,1.64014327
-1.22161081,2.52693983,0.00207149,0.17747164,0.33781456,0.00000000,1.01753883,1.17712271,0.00287401,1.68579363
-1.21560780,2.54693102,0.00216734,0.18289118,0.33706128,0.00000000,1.02849161,1.15564895,0.00298760,1.72764999
-1.20960480,2.56577749,0.00227299,0.18798164,0.33552608,0.00000000,1.03937345,1.13781308,0.00310390,1.76452757
-1.20360180,2.58223439,0.00238684,0.19260122,0.33309974,0.00000000,1.04955848,1.12332756,0.00322058,1.79532388
-1.19759880,2.59504745,0.00250695,0.19661491,0.32968683,0.00000000,1.05842514,1.11178295,0.00333516,1.81905122
-1.19159580,2.60299587,0.00263111,0.19989834,0.32521007,0.00000000,1.06537516,1.10266704,0.00344508,1.83486600
-1.18559280,2.60493463,0.00275687,0.20234154,0.31961403,0.00000000,1.06985194,1.09538706,0.00354779,1.84209385
-1.17958979,2.59983424,0.00288158,0.20385232,0.31286806,0.00000000,1.07135761,1.08929406,0.00364084,1.84024942
-1.17358679,2.58681673,0.00300246,0.20435916,0.30496820,0.00000000,1.06946818,1.08370834,0.00372205,1.82905039
-1.16758379,2.56518616,0.00311669,0.20381352,0.29593805,0.00000000,1.06384624,1.07794513,0.00378959,1.80842496
-1.16158079,2.53445287,0.00322147,0.20219155,0.28582852,0.00000000,1.05425090,1.07133947,0.00384211,1.77851280
-1.15557779,2.49435065,0.00331412,0.19949486,0.27471659,0.00000000,1.04054444,1.06326959,0.00387883,1.73965941
-1.14957479,2.44484629,0.00339218,0.19575068,0.26270305,0.00000000,1.02269578,1.05317799,0.00389972,1.69240429
-1.14357179,2.38614165,0.00345344,0.19101106,0.24990940,0.00000000,1.00078054,1.04058971,0.00390553,1.63746343
-1.13756878,2.31866825,0.00349607,0.18535148,0.23647415,0.00000000,0.97497794,1.02512724,0.00389794,1.57570702
-1.13156578,2.24307512,0.00351865,0.17886861,0.22254860,0.00000000,0.94556455,1.00652181,0.00387962,1.50813315
-1.12556278,2.16021042,0.00352021,0.17167754,0.20829240,0.00000000,0.91290542,0.98462087,0.00385429,1.43583875
-1.11955978,2.07109799,0.00350029,0.16390859,0.19386905,0.00000000,0.87744285,0.95939168,0.00382682,1.35998880
-1.11355678,1.97690974,0.00345894,0.15570368,0.17944157,0.00000000,0.83968320,0.93092113,0.00380325,1.28178484
-1.10755378,1.87893514,0.00339671,0.14721254,0.16516858,0.00000000,0.80018239,0.89941197,0.00379083,1.20243406
-1.10155078,1.77854887,0.00331467,0.13858891,0.15120078,0.00000000,0.75953054,0.86517586,0.00379806,1.12311975
-1.09554777,1.67717791,0.00321430,0.12998678,0.13767814,0.00000000,0.71833615,0.82862352,0.00383469,1.04497409
-1.08954477,1.57626904,0.00309754,0.12155682,0.12472779,0.00000000,0.67721049,0.79025261,0.00391170,0.96905385
-1.08354177,1.47725772,0.00296662,0.11344322,0.11246262,0.00000000,0.63675255,0.75063375,0.00404131,0.89631970
-1.07753877,1.38153928,0.00282410,0.10578081,0.10098069,0.00000000,0.59753507,0.71039545,0.00423688,0.82761927
-1.07153577,1.29044291,0.00267269,0.09869275,0.09036536,0.00000000,0.56009183,0.67020829,0.00451284,0.76367430
-1.06553277,1.20520919,0.00251527,0.09228864,0.08068605,0.00000000,0.52490678,0.63076906,0.00488460,0.70507187
-1.05952976,1.12697119,0.00235474,0.08666318,0.07199969,0.00000000,0.49240495,0.59278536,0.00536833,0.65225957
-1.05352676,1.05673966,0.00219395,0.08189529,0.06435252,0.00000000,0.46294554,0.55696103,0.00598080,0.60554442
-1.04752376,0.99539193,0.00203568,0.07804774,0.05778237,0.00000000,0.43681717,0.52398274,0.00673907,0.56509532
