energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,1.84027847,0.03405894,0.07095645,0.28392642,0.09964878,1.28822288,0.00000000
-5.99399700,1.82050505,0.03445082,0.07219659,0.28099004,0.10045991,1.27127077,0.00000000
-5.98799400,1.79365083,0.03461677,0.07323428,0.27677711,0.10088485,1.24915889,0.00000000
-5.98199100,1.76074867,0.03455470,0.07410354,0.27142853,0.10096331,1.22260387,0.00000000
-5.97598799,1.72301718,0.03426746,0.07485045,0.26511878,0.10074981,1.19244419,0.00000000
-5.96998499,1.68184109,0.03376276,0.07553278,0.25805335,0.10031342,1.15962605,0.00000000
-5.96398199,1.63874769,0.03305301,0.07621920,0.25046557,0.09973692,1.12518688,0.00000000
-5.95797899,1.59537966,0.03215489,0.07698797,0.24261292,0.09911562,1.09023692,0.00000000
-5.95197599,1.55346485,0.03108884,0.07792531,0.23477288,0.09855565,1.05593900,0.00000000
-5.94597299,1.51478343,0.02987843,0.07912333,0.22723838,0.09817188,1.02348722,0.00000000
-5.93996998,1.48113327,0.02854960,0.08067754,0.22031300,0.09808549,0.99408467,0.00000000
-5.93396698,1.45429417,0.02712993,0.08268421,0.21430599,0.09842127,0.96892100,0.00000000
-5.92796398,1.43599194,0.02564778,0.08523741,0.20952727,0.09930463,0.94915009,0.00000000
-5.92196098,1.42786329,0.02413148,0.08842596,0.20628237,0.10085862,0.93586867,0.00000000
-5.91595798,1.43142250,0.02260864,0.09233048,0.20486770,0.10320083,0.93009621,0.00000000
-5.90995498,1.44803096,0.02110537,0.09702045,0.20556594,0.10644055,0.93275698,0.00000000
-5.90395198,1.47887068,0.01964575,0.10255162,0.20864199,0.11067597,0.94466463,0.00000000
-5.89794897,1.52492276,0.01825130,0.10896370,0.21433932,0.11599193,0.96650993,0.00000000
-5.89194597,1.58695168,0.01694064,0.11627866,0.22287705,0.12245793,0.99885222,0.00000000
-5.88594297,1.66549635,0.01572923,0.12449949,0.23444769,0.13012681,1.04211487,0.00000000
-5.87993997,1.76086826,0.01462928,0.13360972,0.24921575,0.13903398,1.09658507,0.00000000
-5.87393697,1.87315725,0.01364975,0.14357361,0.26731721,0.14919725,1.16241798,0.00000000
-5.86793397,2.00224464,0.01279646,0.15433711,0.28885983,0.16061744,1.23964533,0.00000000
-5.86193097,2.14782363,0.01207230,0.16582959,0.31392451,0.17327950,1.32818794,0.00000000
-5.85592796,2.30942599,0.01147752,0.17796617,0.34256726,0.18715436,1.42787181,0.00000000
-5.84992496,2.48645398,0.01101005,0.19065076,0.37482213,0.20220122,1.53844700,0.00000000
-5.84392196,2.67821600,0.01066585,0.20377954,0.41070452,0.21837021,1.65960828,0.00000000
-5.83791896,2.88396417,0.01043933,0.21724483,0.45021494,0.23560537,1.79101643,0.00000000
-5.83191596,3.10293161,0.01032366,0.23093910,0.49334283,0.25384768,1.93231894,0.00000000
-5.82591296,3.33436727,0.01031117,0.24475904,0.54007008,0.27303797,2.08316863,0.00000000
-5.81990995,3.57756603,0.01039361,0.25860935,0.59037406,0.29311951,2.24323890,0.00000000
-5.81390695,3.83189169,0.01056245,0.27240621,0.64422967,0.31404022,2.41223416,0.00000000
-5.80790395,4.09679103,0.01080909,0.28608014,0.70161013,0.33575406,2.58989446,0.00000000
-5.80190095,4.37179733,0.01112499,0.29957810,0.76248622,0.35822179,2.77599328,0.00000000
-5.79589795,4.65652209,0.01150185,0.31286477,0.82682366,0.38141067,2.97032795,0.00000000
-5.78989495,4.95063473,0.01193159,0.32592285,0.89457858,0.40529333,3.17270261,0.00000000
-5.78389195,5.25383040,0.01240643,0.33875237,0.96569099,0.42984562,3.38290395,0.00000000
-5.77788894,5.56578697,0.01291886,0.35136902,1.04007635,0.45504350,3.60067061,0.00000000
-5.77188594,5.88611292,0.01346163,0.36380153,1.11761545,0.48085933,3.82565742,0.00000000
