energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,7.81421515,0.00034102,2.98584405,3.54225268,3.65666911,0.06394816,0.76447484
-5.99399700,7.58912288,0.00035850,2.89180562,3.58271566,3.49067873,0.06363396,0.76102997
-5.98799400,7.36533419,0.00037563,2.79681743,3.62504093,3.32516922,0.06318866,0.75905532
-5.98199100,7.14572752,0.00039254,2.70208415,3.66976378,3.16218860,0.06258445,0.75870002
-5.97598799,6.93320081,0.00040950,2.60881031,3.71758973,3.00368523,0.06180062,0.76013727
-5.96998499,6.73061718,0.00042688,2.51817887,3.76938425,2.85147169,0.06082392,0.76356057
-5.96398199,6.54075552,0.00044519,2.43133162,3.82615449,2.70719639,0.05964857,0.76917959
-5.95797899,6.36626503,0.00046512,2.34935111,3.88902191,2.57232230,0.05827610,0.77721557
-5.95197599,6.20962260,0.00048750,2.27324362,3.95918570,2.44811211,0.05671495,0.78789627
-5.94597299,6.07309142,0.00051335,2.20392248,4.03787677,2.33561882,0.05497987,0.80145036
-5.93996998,5.95867986,0.00054383,2.14219153,4.12630311,2.23568057,0.05309108,0.81810115
-5.93396698,5.86809961,0.00058029,2.08872815,4.22558766,2.14891859,0.05107339,0.83805974
-5.92796398,5.80272288,0.00062422,2.04406626,4.33670081,2.07573741,0.04895505,0.86151745
-5.92196098,5.76353903,0.00067723,2.00857916,4.46038983,2.01632631,0.04676664,0.88863780
-5.91595798,5.75111173,0.00074107,1.98246309,4.59710853,1.97066181,0.04453985,0.91954801
-5.90995498,5.76553830,0.00081755,1.96572218,4.74695046,1.93851082,0.04230629,0.95433032
-5.90395198,5.80641366,0.00090850,1.95815585,4.90958942,1.91943468,0.04009636,0.99301334
-5.89794897,5.87280142,0.00101579,1.95934990,5.08423102,1.91279436,0.03793826,1.03556382
-5.89194597,5.96321487,0.00114118,1.96867234,5.26957862,1.91775742,0.03585702,1.08187899
-5.88594297,6.07561073,0.00128634,1.98527522,5.46381686,1.93330733,0.03387380,1.13178006
-5.87993997,6.20739793,0.00145273,2.00810320,5.66461516,1.95825586,0.03200540,1.18500699
-5.87393697,6.35546320,0.00164159,2.03590966,5.86915254,1.99125900,0.03026384,1.24121499
-5.86793397,6.51621465,0.00185378,2.06728044,6.07416454,2.03083698,0.02865634,1.29997306
-5.86193097,6.68564341,0.00208980,2.10066516,6.27601143,2.07539834,0.02718533,1.36076465
-5.85592796,6.85940257,0.00234966,2.13441539,6.47076629,2.12326822,0.02584875,1.42299078
-5.84992496,7.03290160,0.00263285,2.16682870,6.65431980,2.17272029,0.02464050,1.48597561
-5.84392196,7.20141356,0.00293828,2.19619695,6.82249835,2.22201165,0.02355102,1.54897454
-5.83791896,7.36019149,0.00326422,2.22085722,6.97119057,2.26941993,0.02256796,1.61118472
-5.83191596,7.50458996,0.00360832,2.23924301,7.09647720,2.31328124,0.02167694,1.67175791
-5.82591296,7.63018706,0.00396757,2.24993379,7.19475878,2.35202775,0.02086230,1.72981535
-5.81990995,7.73290231,0.00433832,2.25170053,7.26287565,2.38422363,0.02010790,1.78446450
