energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,3.09918011,-2.42266184,2.54168610,-2.01425035,0.76330130,-0.55208988,0.00641112,-0.00234954,0.51493792,-0.51592200,0.03461234,-0.00706099,1.37115222,-1.03036249,0.63578361,-0.53553375,0.26407129,-0.16403947
-5.99399700,3.11497567,-2.40457290,2.54658568,-2.01047319,0.76695190,-0.53632596,0.00685092,-0.00239733,0.52587556,-0.49911520,0.03683228,-0.00797746,1.36906669,-1.03899866,0.62873660,-0.53843266,0.26452859,-0.16861396
-5.98799400,3.13305849,-2.38753212,2.55402683,-2.00669741,0.77229929,-0.52022427,0.00730765,-0.00248172,0.53969894,-0.48189946,0.03901852,-0.00904054,1.36518252,-1.04883769,0.62049570,-0.54130581,0.26475388,-0.17378332
-5.98199100,3.15377311,-2.37320354,2.56481457,-2.00405433,0.77955272,-0.50430817,0.00777314,-0.00260377,0.55666284,-0.46479989,0.04113868,-0.01025686,1.35943612,-1.06038370,0.61110310,-0.54439163,0.26473914,-0.17961370
-5.97598799,3.17733821,-2.36318640,2.57967218,-2.00360419,0.78885979,-0.48909218,0.00823875,-0.00276419,0.57695388,-0.44832971,0.04315919,-0.01163179,1.35176275,-1.07410979,0.60061295,-0.54791989,0.26447003,-0.18615785
-5.96998499,3.20383472,-2.35895269,2.59921691,-2.00629447,0.80029997,-0.47506577,0.00869548,-0.00296327,0.60068243,-0.43297522,0.04504615,-0.01316890,1.34209816,-1.09043374,0.58908993,-0.55210042,0.26392601,-0.19345120
-5.96398199,3.23319848,-2.36178944,2.62393768,-2.01292355,0.81388016,-0.46267825,0.00913421,-0.00320080,0.62787613,-0.41918212,0.04676626,-0.01486942,1.33038105,-1.10969552,0.57660792,-0.55711269,0.26308078,-0.20150827
-5.95797899,3.26521785,-2.37274780,2.65417537,-2.02411110,0.82953240,-0.45232524,0.00954595,-0.00347601,0.65847530,-0.40734350,0.04828778,-0.01673169,1.31655641,-1.13213725,0.56324868,-0.56309665,0.26190333,-0.21031978
-5.95197599,3.29953580,-2.39260087,2.69010616,-2.04027616,0.84711382,-0.44433717,0.00992197,-0.00378746,0.69233031,-0.39778985,0.04958143,-0.01875070,1.30057958,-1.15788693,0.54910080,-0.57014530,0.26035927,-0.21985050
-5.94597299,3.33565651,-2.42181189,2.73172845,-2.06162393,0.86640881,-0.43897003,0.01025412,-0.00413301,0.72920092,-0.39078127,0.05062138,-0.02091770,1.28242065,-1.18694636,0.53425866,-0.57829927,0.25841256,-0.23003790
-5.93996998,3.37295597,-2.46051367,2.77885371,-2.08814105,0.88713315,-0.43639872,0.01053498,-0.00450975,0.76875784,-0.38650212,0.05138599,-0.02321986,1.26206903,-1.21918387,0.51882155,-0.58754365,0.25602742,-0.24079189
-5.93396698,3.41069602,-2.50849981,2.83110172,-2.11959964,0.90894025,-0.43671292,0.01075810,-0.00491396,0.81058629,-0.38505802,0.05185857,-0.02564014,1.23953777,-1.25433228,0.50289279,-0.59780722,0.25317045,-0.25199550
