energy_ev,total_up,Al_p_up,Al_d_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up
-6.00000000,3.23223919,0.12979114,0.00000000,2.19477605,1.51545088,0.91964221,0.00000000
-5.99399700,3.23961596,0.12749060,0.00000000,2.16691783,1.53378961,0.92359666,0.00000000
-5.98799400,3.24018111,0.12505317,0.00000000,2.13486826,1.54899481,0.92526947,0.00000000
-5.98199100,3.23410198,0.12250522,0.00000000,2.09936517,1.56097940,0.92466301,0.00000000
-5.97598799,3.22169123,0.11987610,0.00000000,2.06118524,1.56973971,0.92183654,0.00000000
-5.96998499,3.20341308,0.11719762,0.00000000,2.02113233,1.57536411,0.91690818,0.00000000
-5.96398199,3.17988628,0.11450340,0.00000000,1.98002614,1.57803944,0.91005517,0.00000000
-5.95797899,3.15188310,0.11182841,0.00000000,1.93869122,1.57805455,0.90151219,0.00000000
-5.95197599,3.12032356,0.10920845,0.00000000,1.89794630,1.57580071,0.89156773,0.00000000
-5.94597299,3.08626460,0.10667967,0.00000000,1.85859391,1.57176824,0.88055847,0.00000000
-5.93996998,3.05088376,0.10427814,0.00000000,1.82141022,1.56653921,0.86886174,0.00000000
-5.93396698,3.01545754,0.10203936,0.00000000,1.78713505,1.56077626,0.85688635,0.00000000
-5.92796398,2.98133451,0.09999777,0.00000000,1.75646198,1.55520742,0.84506194,0.00000000
-5.92196098,2.94990366,0.09818622,0.00000000,1.73002856,1.55060734,0.83382724,0.00000000
-5.91595798,2.92255887,0.09663539,0.00000000,1.70840657,1.54777536,0.82361755,0.00000000
-5.90995498,2.90066018,0.09537319,0.00000000,1.69209237,1.54751102,0.81485199,0.00000000
-5.90395198,2.88549314,0.09442408,0.00000000,1.68149738,1.55058762,0.80792076,0.00000000
-5.89794897,2.87822748,0.09380837,0.00000000,1.67693891,1.55772493,0.80317292,0.00000000
-5.89194597,2.87987642,0.09354151,0.00000000,1.67863141,1.56956178,0.80090519,0.00000000
-5.88594297,2.89125819,0.09363333,0.00000000,1.68667853,1.58662968,0.80135193,0.00000000
-5.87993997,2.91296118,0.09408739,0.00000000,1.70106617,1.60932845,0.80467685,0.00000000
-5.87393697,2.94531419,0.09490032,0.00000000,1.72165716,1.63790497,0.81096664,0.00000000
-5.86793397,2.98836324,0.09606129,0.00000000,1.74818766,1.67243600,0.82022676,0.00000000
-5.86193097,3.04185621,0.09755167,0.00000000,1.78026610,1.71281594,0.83237964,0.00000000
-5.85592796,3.10523623,0.09934477,0.00000000,1.81737485,1.75875038,0.84726534,0.00000000
-5.84992496,3.17764486,0.10140592,0.00000000,1.85887517,1.80975597,0.86464472,0.00000000
-5.84392196,3.25793532,0.10369271,0.00000000,1.90401558,1.86516697,0.88420512,0.00000000
-5.83791896,3.34469587,0.10615561,0.00000000,1.95194406,1.92414858,0.90556839,0.00000000
-5.83191596,3.43628316,0.10873871,0.00000000,2.00172386,1.98571680,0.92830113,0.00000000
-5.82591296,3.53086452,0.11138094,0.00000000,2.05235290,2.04876447,0.95192670,0.00000000
-5.81990995,3.62646815,0.11401740,0.00000000,2.10278623,2.11209248,0.97593884,0.00000000
-5.81390695,3.72103936,0.11658094,0.00000000,2.15196108,2.17444521,0.99981626,0.00000000
-5.80790395,3.81250103,0.11900396,0.00000000,2.19882357,2.23454887,1.02303779,0.00000000
-5.80190095,3.89881582,0.12122026,0.00000000,2.24235626,2.29115120,1.04509756,0.00000000
-5.79589795,3.97804780,0.12316690,0.00000000,2.28160533,2.34306091,1.06551962,0.00000000
-5.78989495,4.04842095,0.12478611,0.00000000,2.31570641,2.38918531,1.08387142,0.00000000
-5.78389195,4.10837220,0.12602691,0.00000000,2.34390792,2.42856448,1.09977581,0.00000000
