energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,2.04566004,0.01402065,0.05602106,0.49387217,0.37947569,0.01371293,1.21217677,0.50635316,0.21884751
-5.99399700,2.03019510,0.01344399,0.05294836,0.49165242,0.38036992,0.01346474,1.20778332,0.50536237,0.21492414
-5.98799400,2.01771395,0.01291278,0.05004057,0.49048740,0.38235917,0.01319743,1.20493521,0.50538041,0.21118709
-5.98199100,2.00833582,0.01241724,0.04731326,0.49048331,0.38542301,0.01291053,1.20369155,0.50644056,0.20765999
-5.97598799,2.00213011,0.01194872,0.04477875,0.49171931,0.38953528,0.01260370,1.20408354,0.50856266,0.20436009
-5.96998499,1.99911074,0.01149986,0.04244600,0.49424369,0.39466200,0.01227684,1.20611136,0.51175004,0.20129834
-5.96398199,1.99923119,0.01106463,0.04032045,0.49807101,0.40075901,0.01193015,1.20974133,0.51598670,0.19847970
-5.95797899,2.00238033,0.01063836,0.03840413,0.50318006,0.40776964,0.01156426,1.21490353,0.52123466,0.19590339
-5.95197599,2.00837922,0.01021771,0.03669578,0.50951272,0.41562254,0.01118025,1.22148985,0.52743168,0.19356328
-5.94597299,2.01697907,0.00980047,0.03519103,0.51697399,0.42422976,0.01077968,1.22935270,0.53448948,0.19144829
-5.93996998,2.02786064,0.00938554,0.03388268,0.52543299,0.43348543,0.01036465,1.23830454,0.54229255,0.18954275
-5.93396698,2.04063562,0.00897263,0.03276105,0.53472505,0.44326519,0.00993777,1.24811849,0.55069778,0.18782676
-5.92796398,2.05485018,0.00856218,0.03181426,0.54465506,0.45342642,0.00950211,1.25853024,0.55953498,0.18627663
-5.92196098,2.06999118,0.00815510,0.03102861,0.55500181,0.46380957,0.00906119,1.26924166,0.56860848,0.18486528
-5.91595798,2.08549542,0.00775264,0.03038899,0.56552357,0.47424059,0.00861885,1.27992603,0.57769988,0.18356278
-5.90995498,2.10076185,0.00735619,0.02987922,0.57596456,0.48453448,0.00817919,1.29023533,0.58657207,0.18233697
-5.90395198,2.11516692,0.00696717,0.02948246,0.58606238,0.49449984,0.00774650,1.29980920,0.59497436,0.18115424
-5.89794897,2.12808263,0.00658693,0.02918156,0.59555605,0.50394444,0.00732508,1.30828575,0.60264882,0.17998037
-5.89194597,2.13889681,0.00621663,0.02895949,0.60419452,0.51268142,0.00691921,1.31531366,0.60933747,0.17878164
-5.88594297,2.14703495,0.00585725,0.02879965,0.61174517,0.52053594,0.00653303,1.32056524,0.61479024,0.17752596
-5.87993997,2.15198238,0.00550949,0.02868624,0.61800219,0.52735190,0.00617045,1.32374974,0.61877333,0.17618408
