energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,1.16041517,0.07705289,0.00000000,0.64104506,0.59967312,0.00627427,0.34786093
-5.99399700,1.23230644,0.07981637,0.00000000,0.67911001,0.63521237,0.00577227,0.37644709
-5.98799400,1.32111692,0.08312963,0.00000000,0.72878936,0.67858963,0.00532964,0.41034486
-5.98199100,1.42770765,0.08706414,0.00000000,0.79035271,0.73034499,0.00494658,0.44981075
-5.97598799,1.55272474,0.09168642,0.00000000,0.86389108,0.79093123,0.00462287,0.49503121
-5.96998499,1.69655908,0.09705489,0.00000000,0.94930212,0.86069123,0.00435787,0.54610850
-5.96398199,1.85930777,0.10321676,0.00000000,1.04627685,0.93983575,0.00415058,0.60304734
-5.95797899,2.04073893,0.11020517,0.00000000,1.15428882,1.02842268,0.00399964,0.66574304
-5.95197599,2.24026187,0.11803658,0.00000000,1.27258636,1.12633859,0.00390329,0.73397182
-5.94597299,2.45690441,0.12670866,0.00000000,1.40018921,1.23328353,0.00385941,0.80738383
-5.93996998,2.68929915,0.13619866,0.00000000,1.53589003,1.34876014,0.00386547,0.88549961
-5.93396698,2.93568015,0.14646249,0.00000000,1.67826188,1.47206771,0.00391852,0.96771027
-5.92796398,3.19389135,0.15743442,0.00000000,1.82567205,1.60230193,0.00401519,1.05328197
-5.92196098,3.46140739,0.16902757,0.00000000,1.97630279,1.73836080,0.00415167,1.14136464
-5.91595798,3.73536721,0.18113510,0.00000000,2.12817871,1.87895706,0.00432370,1.23100511
-5.90995498,4.01262028,0.19363224,0.00000000,2.27920087,2.02263696,0.00452660,1.32116439
-5.90395198,4.28978443,0.20637886,0.00000000,2.42718673,2.16780524,0.00475527,1.41073865
-5.89794897,4.56331424,0.21922277,0.00000000,2.56991516,2.31275593,0.00500425,1.49858344
-5.89194597,4.82957785,0.23200353,0.00000000,2.70517510,2.45570786,0.00526778,1.58354022
-5.88594297,5.08494012,0.24455658,0.00000000,2.83081655,2.59484427,0.00553987,1.66446449
-5.87993997,5.32584934,0.25671769,0.00000000,2.94480210,2.72835510,0.00581440,1.74025439
-5.87393697,5.54892462,0.26832753,0.00000000,3.04525725,2.85448067,0.00608522,1.80987878
-5.86793397,5.75104102,0.27923615,0.00000000,3.13051779,2.97155538,0.00634629,1.87240389
-5.86193097,5.92940950,0.28930724,0.00000000,3.19917233,3.07804994,0.00659178,1.92701731
-5.85592796,6.08164870,0.29842210,0.00000000,3.25009866,3.17261072,0.00681626,1.97304871
-5.84992496,6.20584623,0.30648309,0.00000000,3.28249240,3.25409483,0.00701478,2.00998640
-5.84392196,6.30060737,0.31341644,0.00000000,3.29588696,3.32159992,0.00718303,2.03748925
-5.83791896,6.36508938,0.31917445,0.00000000,3.29016412,3.37448743,0.00731745,2.05539354
-5.83191596,6.39902055,0.32373682,0.00000000,3.26555483,3.41239886,0.00741533,2.06371481
