energy_ev,total_up,Au_p_up,Au_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,8.23836820,1.48106909,4.45560108,1.68774214,0.72971097,0.02336287,0.65624817,0.05400823,1.94723179
-5.99399700,8.22880823,1.48612792,4.45288836,1.67229402,0.72226006,0.02308908,0.66272855,0.05356534,1.92793843
-5.98799400,8.21647015,1.49132577,4.44877396,1.65568658,0.71461281,0.02282082,0.66924544,0.05319418,1.90791645
-5.98199100,8.20148090,1.49671279,4.44330505,1.63793533,0.70680324,0.02255959,0.67582344,0.05289943,1.88723764
-5.97598799,8.18400484,1.50232835,4.43656144,1.61907338,0.69885763,0.02230692,0.68248511,0.05268551,1.86596971
-5.96998499,8.16424456,1.50819913,4.42865601,1.59915362,0.69079597,0.02206435,0.68924899,0.05255636,1.84417870
-5.96398199,8.14244007,1.51433774,4.41973350,1.57825039,0.68263378,0.02183344,0.69612762,0.05251530,1.82193162
-5.95797899,8.11886560,1.52074155,4.40996731,1.55646066,0.67438398,0.02161574,0.70312581,0.05256477,1.79929890
-5.95197599,8.09382410,1.52739199,4.39955431,1.53390425,0.66605886,0.02141283,0.71023903,0.05270618,1.77635652
-5.94597299,8.06763913,1.53425426,4.38870791,1.51072328,0.65767172,0.02122629,0.71745212,0.05293972,1.75318749
-5.93996998,8.04064465,1.54127736,4.37764940,1.48708036,0.64923836,0.02105767,0.72473836,0.05326428,1.72988277
-5.93396698,8.01317295,1.54839470,4.36659842,1.46315596,0.64077810,0.02090850,0.73205885,0.05367736,1.70654133
-5.92796398,7.98554173,1.55552502,4.35576266,1.43914464,0.63231440,0.02078020,0.73936235,0.05417502,1.68326961
-5.92196098,7.95804094,1.56257390,4.34532784,1.41525060,0.62387509,0.02067410,0.74658563,0.05475200,1.66018025
-5.91595798,7.93092052,1.56943575,4.33544835,1.39168258,0.61549219,0.02059133,0.75365419,0.05540176,1.63739043
-5.90995498,7.90437989,1.57599627,4.32623945,1.36864841,0.60720140,0.02053282,0.76048354,0.05611670,1.61501985
-5.90395198,7.87856027,1.58213546,4.31777150,1.34634961,0.59904136,0.02049922,0.76698098,0.05688846,1.59318856
-5.89794897,7.85354045,1.58773111,4.31006677,1.32497616,0.59105275,0.02049085,0.77304773,0.05770818,1.57201491
-5.89194597,7.82933679,1.59266266,4.30309923,1.30470191,0.58327729,0.02050769,0.77858155,0.05856693,1.55161366
-5.88594297,7.80590755,1.59681553,4.29679750,1.28568070,0.57575683,0.02054931,0.78347971,0.05945610,1.53209448
-5.87993997,7.78316174,1.60008563,4.29105088,1.26804353,0.56853239,0.02061492,0.78764219,0.06036785,1.51356086
-5.87393697,7.76097227,1.60238404,4.28571838,1.25189683,0.56164352,0.02070330,0.79097510,0.06129556,1.49610952
-5.86793397,7.73919251,1.60364180,4.28064022,1.23732190,0.55512761,0.02081289,0.79339418,0.06223422,1.47983028
-5.86193097,7.71767581,1.60381436,4.27565132,1.22437541,0.54901952,0.02094180,0.79482825,0.06318083,1.46480626
-5.85592796,7.69629651,1.60288590,4.27059596,1.21309100,0.54335129,0.02108788,0.79522254,0.06413465,1.45111447
-5.84992496,7.67497136,1.60087297,4.26534282,1.20348166,0.53815195,0.02124879,0.79454176,0.06509744,1.43882643
-5.84392196,7.65367986,1.59782750,4.25979939,1.19554266,0.53344743,0.02142208,0.79277266,0.06607352,1.42800884
-5.83791896,7.63248221,1.59383882,4.25392494,1.18925487,0.52926049,0.02160530,0.78992623,0.06706973,1.41872412
-5.83191596,7.61153337,1.58903467,4.24774106,1.18458803,0.52561063,0.02179607,0.78603912,0.06809526,1.41103056
-5.82591296,7.59109215,1.58358089,4.24133895,1.18150385,0.52251398,0.02199218,0.78117439,0.06916128,1.40498212
-5.81990995,7.57152427,1.57767974,4.23488293,1.17995852,0.51998301,0.02219164,0.77542143,0.07028057,1.40062765
-5.81390695,7.55329871,1.57156675,4.22860943,1.17990461,0.51802629,0.02239282,0.76889499,0.07146686,1.39800962
-5.80790395,7.53697704,1.56550615,4.22282149,1.18129202,0.51664806,0.02259438,0.76173329,0.07273417,1.39716228
-5.80190095,7.52319569,1.55978468,4.21787854,1.18406813,0.51584774,0.02279540,0.75409522,0.07409607,1.39810927
-5.79589795,7.51264159,1.55470420,4.21418173,1.18817701,0.51561944,0.02299530,0.74615665,0.07556483,1.40086099
-5.78989495,7.50602209,1.55057292,4.21215544,1.19355788,0.51595146,0.02319385,0.73810600,0.07715061,1.40541149
-5.78389195,7.50403023,1.54769576,4.21222552,1.20014288,0.51682576,0.02339111,0.73013896,0.07886066,1.41173550
