energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,2.49951299,1.09630605,1.62921498,0.07624236,0.03808383,0.38861920,0.00000000,0.44239584,0.13688980
-5.99399700,2.46973367,1.07284878,1.60513250,0.07740364,0.03870530,0.38334815,0.00000000,0.44320617,0.13579757
-5.98799400,2.43705253,1.04919434,1.57800547,0.07868005,0.03921920,0.37831528,0.00000000,0.44512253,0.13447051
-5.98199100,2.40151182,1.02551082,1.54792648,0.08006430,0.03961026,0.37350969,0.00000000,0.44814048,0.13289343
-5.97598799,2.36310315,1.00191289,1.51498004,0.08153941,0.03986471,0.36890163,0.00000000,0.45219604,0.13105275
-5.96998499,2.32176697,0.97845728,1.47924206,0.08307889,0.03997071,0.36444179,0.00000000,0.45716447,0.12893696
-5.96398199,2.27739843,0.95514242,1.44078245,0.08464727,0.03991876,0.36006202,0.00000000,0.46286236,0.12653729
-5.95797899,2.22985893,0.93191217,1.39967043,0.08620126,0.03970213,0.35567752,0.00000000,0.46905275,0.12384851
-5.95197599,2.17899216,0.90866303,1.35598165,0.08769120,0.03931716,0.35119020,0.00000000,0.47545316,0.12086966
-5.94597299,2.12464338,0.88525441,1.30980646,0.08906293,0.03876358,0.34649320,0.00000000,0.48174612,0.11760492
-5.93996998,2.06668028,0.86152104,1.26125841,0.09025995,0.03804463,0.34147613,0.00000000,0.48759174,0.11406423
-5.93396698,2.00501405,0.83728665,1.21048198,0.09122570,0.03716722,0.33603078,0.00000000,0.49264162,0.11026395
-5.92796398,1.93961893,0.81237816,1.15765903,0.09190591,0.03614185,0.33005696,0.00000000,0.49655348,0.10622722
-5.92196098,1.87054913,0.78663932,1.10301315,0.09225091,0.03498253,0.32346820,0.00000000,0.49900576,0.10198414
-5.91595798,1.79795184,0.75994323,1.04681164,0.09221773,0.03370654,0.31619685,0.00000000,0.49971148,0.09757180
-5.90995498,1.72207574,0.73220282,0.98936476,0.09177201,0.03233415,0.30819855,0.00000000,0.49843068,0.09303398
-5.90395198,1.64327435,0.70337907,0.93102234,0.09088949,0.03088820,0.29945555,0.00000000,0.49498091,0.08842070
-5.89794897,1.56200420,0.67348634,0.87216789,0.08955705,0.02939371,0.28997908,0.00000000,0.48924519,0.08378754
-5.89194597,1.47881801,0.64259481,0.81321058,0.08777342,0.02787736,0.27981030,0.00000000,0.48117726,0.07919481
-5.88594297,1.39435322,0.61083002,0.75457548,0.08554922,0.02636700,0.26902009,0.00000000,0.47080371,0.07470654
-5.87993997,1.30931669,0.57836962,0.69669284,0.08290668,0.02489114,0.25770757,0.00000000,0.45822324,0.07038941
-5.87393697,1.22446633,0.54543767,0.63998676,0.07987881,0.02347840,0.24599744,0.00000000,0.44360285,0.06631153
-5.86793397,1.14059062,0.51229684,0.58486405,0.07650820,0.02215701,0.23403633,0.00000000,0.42717145,0.06254120
-5.86193097,1.05848704,0.47923913,0.53170374,0.07284546,0.02095432,0.22198829,0.00000000,0.40921115,0.05914564
-5.85592796,0.97894024,0.44657542,0.48084788,0.06894746,0.01989630,0.21002960,0.00000000,0.39004670,0.05618965
-5.84992496,0.90270101,0.41462459,0.43259373,0.06487533,0.01900709,0.19834315,0.00000000,0.37003360,0.05373430
-5.84392196,0.83046665,0.38370254,0.38718798,0.06069243,0.01830854,0.18711265,0.00000000,0.34954545,0.05183562
-5.83791896,0.76286344,0.35411173,0.34482279,0.05646232,0.01781980,0.17651674,0.00000000,0.32896107,0.05054322
-5.83191596,0.70043170,0.32613151,0.30563397,0.05224682,0.01755690,0.16672330,0.00000000,0.30865189,0.04989903
-5.82591296,0.64361371,0.30000966,0.26970100,0.04810429,0.01753233,0.15788424,0.00000000,0.28897022,0.04993596
-5.81990995,0.59274465,0.27595533,0.23704890,0.04408807,0.01775467,0.15013061,0.00000000,0.27023861,0.05067665
-5.81390695,0.54804671,0.25413354,0.20765156,0.04024523,0.01822826,0.14356857,0.00000000,0.25274077,0.05213232
-5.80790395,0.50962618,0.23466137,0.18143632,0.03661565,0.01895284,0.13827602,0.00000000,0.23671425,0.05430164
