energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.83084552,0.00519009,0.11367529,0.46143759,0.61702138,0.01495956,0.71987357,0.12036070,0.18543169
-5.99399700,1.83963305,0.00528468,0.10603048,0.46665865,0.62888372,0.01456354,0.73657430,0.11892338,0.18273469
-5.98799400,1.85465906,0.00539027,0.09904899,0.47280610,0.64342715,0.01415916,0.75588257,0.11813412,0.18041076
-5.98199100,1.87618427,0.00550643,0.09277890,0.47989408,0.66072126,0.01375195,0.77787772,0.11802810,0.17849531
-5.97598799,1.90438833,0.00563299,0.08726463,0.48793576,0.68080028,0.01334804,0.80259076,0.11863207,0.17701666
-5.96998499,1.93936474,0.00577008,0.08254667,0.49694192,0.70366095,0.01295402,0.83000197,0.11996386,0.17599547
-5.96398199,1.98111657,0.00591831,0.07866135,0.50691915,0.72926089,0.01257690,0.86003958,0.12203213,0.17544441
-5.95797899,2.02955318,0.00607884,0.07564049,0.51786772,0.75751752,0.01222387,0.89257942,0.12483627,0.17536783
-5.95197599,2.08448810,0.00625349,0.07351118,0.52977911,0.78830752,0.01190226,0.92744567,0.12836651,0.17576151
-5.94597299,2.14563810,0.00644476,0.07229531,0.54263368,0.82146705,0.01161926,0.96441263,0.13260420,0.17661254
-5.93996998,2.21262377,0.00665593,0.07200922,0.55639823,0.85679255,0.01138181,1.00320758,0.13752233,0.17789930
-5.93396698,2.28497171,0.00689101,0.07266322,0.57102401,0.89404238,0.01119642,1.04351472,0.14308620,0.17959161
-5.92796398,2.36211848,0.00715472,0.07426107,0.58644514,0.93293916,0.01106893,1.08498007,0.14925425,0.18165102
-5.92196098,2.44341642,0.00745241,0.07679947,0.60257764,0.97317289,0.01100438,1.12721731,0.15597911,0.18403135
-5.91595798,2.52814144,0.00778996,0.08026743,0.61931918,1.01440483,0.01100684,1.16981456,0.16320877,0.18667933
-5.90995498,2.61550261,0.00817359,0.08464576,0.63654964,1.05627202,0.01107922,1.21234174,0.17088783,0.18953562
-5.90395198,2.70465365,0.00860973,0.08990648,0.65413250,1.09839244,0.01122319,1.25435862,0.17895886,0.19253587
-5.89794897,2.79470598,0.00910476,0.09601237,0.67191703,1.14037066,0.01143901,1.29542318,0.18736380,0.19561209
-5.89194597,2.88474298,0.00966479,0.10291649,0.68974114,1.18180389,0.01172552,1.33510011,0.19604527,0.19869418
-5.88594297,2.97383531,0.01029536,0.11056196,0.70743489,1.22228820,0.01208007,1.37296928,0.20494790,0.20171155
-5.87993997,3.06105662,0.01100125,0.11888176,0.72482434,1.26142486,0.01249849,1.40863381,0.21401944,0.20459489
-5.87393697,3.14549925,0.01178612,0.12779880,0.74173564,1.29882651,0.01297517,1.44172758,0.22321166,0.20727784
-5.86793397,3.22628950,0.01265230,0.13722614,0.75799910,1.33412315,0.01350310,1.47192191,0.23248104,0.20969879
-5.86193097,3.30260179,0.01360053,0.14706754,0.77345299,1.36696763,0.01407401,1.49893121,0.24178909,0.21180238
