energy_ev,total_up,total_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.32156873,-8.32157413,0.71492830,-0.71492942,0.19228915,-0.19228892,0.08384730,-0.08384713,0.37314524,-0.37314486,1.26879279,-1.26879431,1.23927949,-1.23928264,0.12927251,-0.12927257,3.92993904,-3.92994190
-5.99399700,8.34208738,-8.34209094,0.72505463,-0.72505559,0.19015277,-0.19015250,0.08218277,-0.08218258,0.37531227,-0.37531180,1.27954094,-1.27954213,1.25175223,-1.25175513,0.13011214,-0.13011219,3.93896362,-3.93896562
-5.98799400,8.34319298,-8.34319480,0.73375397,-0.73375479,0.18753328,-0.18753297,0.08034043,-0.08034022,0.37663185,-0.37663129,1.28682416,-1.28682502,1.26170941,-1.26171207,0.13077451,-0.13077453,3.93876605,-3.93876724
-5.98199100,8.32663020,-8.32663040,0.74113991,-0.74114059,0.18449019,-0.18448986,0.07836322,-0.07836299,0.37718356,-0.37718291,1.29077309,-1.29077362,1.26928964,-1.26929206,0.13127739,-0.13127738,3.93016806,-3.93016848
-5.97598799,8.29425893,-8.29425764,0.74734654,-0.74734710,0.18108610,-0.18108574,0.07629364,-0.07629341,0.37704966,-0.37704894,1.29155548,-1.29155569,1.27463637,-1.27463856,0.13163742,-0.13163740,3.91405913,-3.91405886
-5.96998499,8.24798956,-8.24798692,0.75252245,-0.75252291,0.17738531,-0.17738492,0.07417266,-0.07417242,0.37631151,-0.37631073,1.28936936,-1.28936926,1.27789094,-1.27789291,0.13186976,-0.13186972,3.89136727,-3.89136636
-5.96398199,8.18971857,-8.18971471,0.75682398,-0.75682435,0.17345246,-0.17345206,0.07203864,-0.07203840,0.37504617,-0.37504533,1.28443527,-1.28443488,1.27918606,-1.27918781,0.13198767,-0.13198761,3.86302886,-3.86302739
-5.95797899,8.12126651,-8.12126155,0.76040793,-0.76040823,0.16935114,-0.16935073,0.06992651,-0.06992627,0.37332332,-0.37332243,1.27698797,-1.27698729,1.27864013,-1.27864165,0.13200223,-0.13200216,3.82995869,-3.82995672
-5.95197599,8.04432057,-8.04431463,0.76342415,-0.76342439,0.16514250,-0.16514207,0.06786699,-0.06786675,0.37120276,-0.37120182,1.26726774,-1.26726680,1.27635247,-1.27635378,0.13192205,-0.13192195,3.79302119,-3.79301879
-5.94597299,7.96038389,-7.96037709,0.76600821,-0.76600841,0.16088387,-0.16088343,0.06588605,-0.06588582,0.36873243,-0.36873144,1.25551184,-1.25551065,1.27239983,-1.27240093,0.13175302,-0.13175291,3.75300374,-3.75300096
-5.93996998,7.87073356,-7.87072598,0.76827460,-0.76827478,0.15662754,-0.15662710,0.06400450,-0.06400428,0.36594713,-0.36594611,1.24194635,-1.24194494,1.26683410,-1.26683500,0.13149814,-0.13149802,3.71059323,-3.71059012
-5.93396698,7.77638885,-7.77638058,0.77031072,-0.77031088,0.15241960,-0.15241916,0.06223778,-0.06223757,0.36286806,-0.36286700,1.22677895,-1.22677732,1.25968153,-1.25968222,0.13115735,-0.13115722,3.66635679,-3.66635340
