energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Li_s_up,Se_s_up,Se_p_up
-6.00000000,11.08805008,2.68465635,7.49773704,0.03298686,0.42868564,0.28296361,0.14776944,2.26636820
-5.99399700,11.07200951,2.65220415,7.52424847,0.03232074,0.41911643,0.27911532,0.14403174,2.25234612
-5.98799400,11.06742719,2.62097509,7.56165322,0.03162473,0.40950554,0.27653448,0.14017822,2.23925271
-5.98199100,11.07405305,2.59081299,7.60964185,0.03090532,0.39987350,0.27521588,0.13625290,2.22711565
-5.97598799,11.09120768,2.56150817,7.66756077,0.03016837,0.39022785,0.27511399,0.13229610,2.21589457
-5.96998499,11.11781091,2.53280781,7.73443618,0.02941892,0.38056464,0.27614494,0.12834340,2.20548282
-5.96398199,11.15242451,2.50442680,7.80900929,0.02866117,0.37087034,0.27818951,0.12442496,2.19571223
-5.95797899,11.19330751,2.47605912,7.88978120,0.02789838,0.36112407,0.28109714,0.12056500,2.18636060
-5.95197599,11.23848218,2.44738931,7.97506580,0.02713294,0.35130013,0.28469078,0.11678148,2.17716189
-5.94597299,11.28580776,2.41810394,8.06304828,0.02636636,0.34137058,0.28877247,0.11308620,2.16781856
-5.93996998,11.33305901,2.38790281,8.15184666,0.02559941,0.33130788,0.29312931,0.10948503,2.15801558
-5.93396698,11.37800607,2.35650957,8.23957363,0.02483222,0.32108741,0.29753979,0.10597850,2.14743556
-5.92796398,11.41849230,2.32368161,8.32439601,0.02406450,0.31068972,0.30178028,0.10256250,2.13577418
-5.92196098,11.45250649,2.28921880,8.40458900,0.02329568,0.30010257,0.30563133,0.09922930,2.12275518
-5.91595798,11.47824652,2.25297108,8.47858324,0.02252515,0.28932243,0.30888375,0.09596856,2.10814417
-5.90995498,11.49417182,2.21484434,8.54500250,0.02175250,0.27835564,0.31134425,0.09276855,2.09176063
-5.90395198,11.49904256,2.17480459,8.60269097,0.02097773,0.26721897,0.31284046,0.08961728,2.07348742
-5.89794897,11.49194436,2.13288021,8.65072924,0.02020147,0.25593968,0.31322517,0.08650369,2.05327733
-5.89194597,11.47229817,2.08916203,8.68843915,0.01942514,0.24455509,0.31237986,0.08341870,2.03115653
-5.88594297,11.43985560,2.04380141,8.71537797,0.01865118,0.23311162,0.31021713,0.08035614,2.00722459
-5.87993997,11.39468087,1.99700612,8.73132322,0.01788313,0.22166339,0.30668232,0.07731353,1.98165132
-5.87393697,11.33712140,1.94903443,8.73624972,0.01712571,0.21027049,0.30175404,0.07429260,1.95467053
-5.86793397,11.26776922,1.90018734,8.73030107,0.01638490,0.19899699,0.29544380,0.07129971,1.92657127
-5.86193097,11.18741611,1.85079951,8.71375759,0.01566792,0.18790874,0.28779467,0.06834588,1.89768689
-5.85592796,11.09700528,1.80122909,8.68700319,0.01498316,0.17707118,0.27887911,0.06544676,1.86838271
-5.84992496,10.99758259,1.75184699,8.65049323,0.01434009,0.16654714,0.26879608,0.06262224,1.83904282
-5.84392196,10.89024980,1.70302594,8.60472522,0.01374909,0.15639480,0.25766747,0.05989602,1.81005672
-5.83791896,10.77612229,1.65512990,8.55021404,0.01322128,0.14666595,0.24563403,0.05729486,1.78180644
-5.83191596,10.65629284,1.60850411,8.48747242,0.01276825,0.13740452,0.23285102,0.05484780,1.75465465
-5.82591296,10.53180272,1.56346628,8.41699747,0.01240180,0.12864543,0.21948363,0.05258526,1.72893424
-5.81990995,10.40362056,1.52029917,8.33926323,0.01213365,0.12041395,0.20570233,0.05053805,1.70493961
-5.81390695,10.27262913,1.47924479,8.25471874,0.01197510,0.11272539,0.19167837,0.04873636,1.68292008
-5.80790395,10.13961929,1.44050027,8.16379084,0.01193668,0.10558522,0.17757955,0.04720878,1.66307527
