energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.37037840,0.32450383,0.66626828,0.00882462,0.18486586,0.00961091,0.27348554,0.11466634,0.07776011
-5.99399700,1.28952741,0.30102555,0.63225997,0.00783231,0.17733032,0.00877889,0.25305805,0.10676168,0.07160256
-5.98799400,1.21286530,0.27901004,0.59968245,0.00691909,0.16985211,0.00797925,0.23390473,0.09956714,0.06583890
-5.98199100,1.14107145,0.25862008,0.56887018,0.00608707,0.16251488,0.00722018,0.21615981,0.09314485,0.06050515
-5.97598799,1.07469099,0.23997409,0.54010130,0.00533695,0.15539423,0.00650895,0.19992387,0.08753835,0.05562779
-5.96998499,1.01413165,0.22314626,0.51359398,0.00466820,0.14855644,0.00585188,0.18526435,0.08277297,0.05122424
-5.96398199,0.95966485,0.20816797,0.48950480,0.00407916,0.14205754,0.00525434,0.17221709,0.07885680,0.04730356
-5.95797899,0.91143120,0.19503023,0.46792921,0.00356731,0.13594288,0.00472087,0.16078873,0.07578223,0.04386739
-5.95197599,0.86944981,0.18368724,0.44890409,0.00312940,0.13024699,0.00425522,0.15095989,0.07352792,0.04091100
-5.94597299,0.83363098,0.17406068,0.43241201,0.00276169,0.12499401,0.00386050,0.14268890,0.07206110,0.03842443
-5.93996998,0.80379181,0.16604483,0.41838725,0.00246016,0.12019830,0.00353931,0.13591610,0.07134021,0.03639370
-5.93396698,0.77967401,0.15951208,0.40672317,0.00222065,0.11586555,0.00329387,0.13056832,0.07131768,0.03480207
-5.92796398,0.76096311,0.15431881,0.39728062,0.00203906,0.11199411,0.00312615,0.12656360,0.07194278,0.03363115
-5.92196098,0.74730848,0.15031141,0.38989711,0.00191150,0.10857655,0.00303800,0.12381579,0.07316448,0.03286201
-5.91595798,0.73834326,0.14733228,0.38439623,0.00183436,0.10560138,0.00303123,0.12223903,0.07493409,0.03247618
-5.90995498,0.73370339,0.14522550,0.38059714,0.00180443,0.10305486,0.00310772,0.12175185,0.07720773,0.03245637
-5.90395198,0.73304509,0.14384220,0.37832345,0.00181894,0.10092281,0.00326939,0.12228077,0.07994846,0.03278720
-5.89794897,0.73606002,0.14304530,0.37741140,0.00187562,0.09919228,0.00351827,0.12376329,0.08312790,0.03345552
-5.89194597,0.74248754,0.14271354,0.37771683,0.00197264,0.09785314,0.00385641,0.12615017,0.08672748,0.03445068
-5.88594297,0.75212358,0.14274472,0.37912069,0.00210867,0.09689933,0.00428581,0.12940693,0.09073905,0.03576445
-5.87993997,0.76482578,0.14305801,0.38153290,0.00228275,0.09632989,0.00480834,0.13351447,0.09516494,0.03739083
-5.87393697,0.78051466,0.14359531,0.38489443,0.00249428,0.09614951,0.00542559,0.13846882,0.10001740,0.03932555
-5.86793397,0.79917092,0.14432164,0.38917744,0.00274294,0.09636881,0.00613868,0.14428006,0.10531752,0.04156549
-5.86193097,0.82082891,0.14522452,0.39438364,0.00302857,0.09700412,0.00694813,0.15097042,0.11109349,0.04410786
-5.85592796,0.84556663,0.14631249,0.40054084,0.00335112,0.09807680,0.00785363,0.15857163,0.11737849,0.04694934
