energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Na_s_up,Na_s_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.03468488,-2.96221949,0.03040569,-0.03612019,0.42011127,-0.28766813,2.63518873,-2.26993705,0.62848787,-0.38395325,0.38082878,-0.65429624,0.05717042,-0.04717892,1.35620292,-1.55309510
-5.99399700,2.99148115,-2.92954604,0.02892810,-0.03481682,0.41663129,-0.29477388,2.64272224,-2.28714627,0.61606017,-0.38497124,0.36357254,-0.64278275,0.05679207,-0.04714317,1.33677041,-1.52359020
-5.98799400,2.94523748,-2.90253955,0.02740920,-0.03366137,0.41190361,-0.30249522,2.64738568,-2.30717932,0.60208752,-0.38739236,0.34688997,-0.63151964,0.05630567,-0.04720144,1.31708590,-1.49690764
-5.98199100,2.89596921,-2.88140510,0.02585839,-0.03266247,0.40604571,-0.31076910,2.64931313,-2.32974618,0.58667969,-0.39121618,0.33070153,-0.62046461,0.05570715,-0.04735733,1.29699598,-1.47327218
-5.97598799,2.84383491,-2.86616385,0.02428703,-0.03182421,0.39919466,-0.31952640,2.64871034,-2.35448875,0.56998582,-0.39641286,0.31494407,-0.60955027,0.05499555,-0.04761024,1.27640875,-1.45279756
-5.96998499,2.78912115,-2.85666856,0.02270796,-0.03114619,0.39150110,-0.32869370,2.64583028,-2.38100596,0.55218904,-0.40292349,0.29957248,-0.59868969,0.05417302,-0.04795568,1.25529194,-1.43549444
-5.96398199,2.73222044,-2.85262369,0.02113510,-0.03062361,0.38312283,-0.33819490,2.64094593,-2.40887930,0.53349970,-0.41066110,0.28455999,-0.58778264,0.05324447,-0.04838574,1.23366755,-1.42128144
-5.95797899,2.67360435,-2.85360859,0.01958285,-0.03024764,0.37421831,-0.34795273,2.63432232,-2.43769703,0.51414772,-0.41951218,0.26989729,-0.57672216,0.05221728,-0.04888966,1.21160353,-1.40999839
-5.95197599,2.61379380,-2.85910226,0.01806562,-0.03000582,0.36494047,-0.35788991,2.62618969,-2.46707551,0.49437447,-0.42933876,0.25559066,-0.56540115,0.05110077,-0.04945448,1.18920362,-1.40142080
-5.94597299,2.55332864,-2.86850806,0.01659734,-0.02988257,0.35543107,-0.36793003,2.61671970,-2.49667633,0.47442462,-0.43998090,0.24165944,-0.55371847,0.04990572,-0.05006566,1.16659597,-1.39527471
-5.93996998,2.49273864,-2.88117705,0.01519092,-0.02985975,0.34581590,-0.37799795,2.60600638,-2.52621805,0.45453835,-0.45125949,0.22813307,-0.54158436,0.04864380,-0.05070779,1.14392160,-1.39125107
-5.93396698,2.43251747,-2.89642886,0.01385793,-0.02991736,0.33620116,-0.38801979,2.59405295,-2.55548196,0.43494436,-0.46297924,0.21504790,-0.52892487,0.04732702,-0.05136513,1.12132344,-1.38901898
-5.92796398,2.37310107,-2.91356917,0.01260824,-0.03003410,0.32667097,-0.39792254,2.58076541,-2.58431133,0.41585389,-0.47493199,0.20244410,-0.51568519,0.04596725,-0.05202218,1.09893660,-1.38823716
-5.92196098,2.31485159,-2.93190345,0.01144978,-0.03018808,0.31728618,-0.40763327,2.56595321,-2.61260443,0.39745592,-0.48690010,0.19036271,-0.50183173,0.04457577,-0.05266408,1.07688042,-1.38856336
-5.91595798,2.25804711,-2.95074671,0.01038839,-0.03035743,0.30808451,-0.41707804,2.54933691,-2.64030174,0.37991374,-0.49865994,0.17884310,-0.48735304,0.04316293,-0.05327690,1.05525256,-1.38966147
-5.90995498,2.20287752,-2.96942958,0.00942780,-0.03052089,0.29908176,-0.42618067,2.53056218,-2.66736834,0.36336287,-0.50998558,0.16792081,-0.47225952,0.04173788,-0.05384786,1.03412538,-1.39120641
-5.90395198,2.14944599,-2.98730109,0.00856959,-0.03065837,0.29027422,-0.43486148,2.50921916,-2.69377275,0.34791022,-0.52065249,0.15762596,-0.45658222,0.04030842,-0.05436537,1.01354450,-1.39288693
-5.89794897,2.09777549,-3.00372895,0.00781334,-0.03075138,0.28164174,-0.44303614,2.48486583,-2.71946377,0.33363436,-0.53044134,0.14798209,-0.44037075,0.03888093,-0.05481902,0.99352931,-1.39440655
-5.89194597,2.04781927,-3.01809829,0.00715673,-0.03078352,0.27315150,-0.45061478,2.45705390,-2.74434712,0.32058682,-0.53914182,0.13900553,-0.42369049,0.03746041,-0.05519947,0.97407529,-1.39548330
-5.88594297,1.99947418,-3.02980966,0.00659581,-0.03074074,0.26476213,-0.45750156,2.42535555,-2.76826347,0.30879404,-0.54655652,0.13070508,-0.40661955,0.03605055,-0.05549826,0.95515748,-1.39584844
-5.87993997,1.95259563,-3.03827742,0.00612515,-0.03061165,0.25642782,-0.46359473,2.38938927,-2.79096986,0.29825978,-0.55250462,0.12308216,-0.38924530,0.03465395,-0.05570765,0.93673485,-1.39524489
-5.87393697,1.90701282,-3.04292925,0.00573820,-0.03038763,0.24810238,-0.46878736,2.34884344,-2.81212584,0.28896782,-0.55682560,0.11613112,-0.37166111,0.03327225,-0.05582042,0.91875495,-1.39342573
-5.86793397,1.86254318,-3.04320753,0.00542744,-0.03006302,0.23974284,-0.47296877,2.30349616,-2.83128575,0.28088464,-0.55938259,0.10983980,-0.35396302,0.03190644,-0.05582965,0.90115852,-1.39015322
-5.86193097,1.81900514,-3.03857310,0.00518475,-0.02963502,0.23131260,-0.47602660,2.25323044,-2.84789793,0.27396196,-0.56006542,0.10419008,-0.33624688,0.03055701,-0.05572870,0.88388355,-1.38519868
