energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,1.24301052,0.39349027,0.37605710,0.00822214,0.22963645,0.27616242,0.00000000,0.90512867,0.23513078
-5.99399700,1.22439032,0.38511658,0.37606815,0.00929312,0.22383450,0.27104796,0.00000000,0.89302961,0.22631631
-5.98799400,1.20823477,0.37692033,0.37678558,0.01043805,0.21861692,0.26588166,0.00000000,0.88105361,0.21849221
-5.98199100,1.19517230,0.36900647,0.37831657,0.01164906,0.21412585,0.26078365,0.00000000,0.86968943,0.21189455
-5.97598799,1.18582660,0.36149199,0.38076635,0.01291582,0.21049675,0.25588085,0.00000000,0.85945738,0.20675047
-5.96998499,1.18079456,0.35450014,0.38423149,0.01422565,0.20785413,0.25130267,0.00000000,0.85089050,0.20327361
-5.96398199,1.18062491,0.34815440,0.38879373,0.01556361,0.20630752,0.24717646,0.00000000,0.84451435,0.20165994
-5.95797899,1.18579833,0.34257258,0.39451445,0.01691276,0.20594773,0.24362327,0.00000000,0.84082611,0.20208402
-5.95197599,1.19670962,0.33786117,0.40143018,0.01825452,0.20684353,0.24075367,0.00000000,0.84027399,0.20469562
-5.94597299,1.21365271,0.33411048,0.40954930,0.01956908,0.20903882,0.23866422,0.00000000,0.84323756,0.20961675
-5.93996998,1.23680890,0.33139059,0.41885005,0.02083593,0.21255049,0.23743437,0.00000000,0.85000999,0.21693915
-5.93396698,1.26623877,0.32974841,0.42928001,0.02203442,0.21736701,0.23712418,0.00000000,0.86078284,0.22672217
-5.92796398,1.30187810,0.32920602,0.44075702,0.02314442,0.22344776,0.23777281,0.00000000,0.87563426,0.23899112
-5.92196098,1.34353783,0.32976022,0.45317146,0.02414694,0.23072330,0.23939793,0.00000000,0.89452093,0.25373608
-5.91595798,1.39090822,0.33138350,0.46638991,0.02502476,0.23909651,0.24199592,0.00000000,0.91727453,0.27091127
-5.90995498,1.44356690,0.33402620,0.48025978,0.02576301,0.24844458,0.24554299,0.00000000,0.94360263,0.29043500
-5.90395198,1.50099070,0.33761974,0.49461499,0.02634972,0.25862200,0.24999709,0.00000000,0.97309444,0.31219023
-5.89794897,1.56257081,0.34208094,0.50928217,0.02677619,0.26946426,0.25530049,0.00000000,1.00523108,0.33602593
-5.89194597,1.62763071,0.34731689,0.52408723,0.02703735,0.28079232,0.26138298,0.00000000,1.03940019,0.36175916
-5.88594297,1.69544628,0.35323034,0.53886199,0.02713189,0.29241769,0.26816541,0.00000000,1.07491435,0.38917793
-5.87993997,1.76526731,0.35972520,0.55345050,0.02706230,0.30414789,0.27556356,0.00000000,1.11103261,0.41804494
-5.87393697,1.83633970,0.36671187,0.56771486,0.02683476,0.31579220,0.28349198,0.00000000,1.14698439,0.44810205
-5.86793397,1.90792734,0.37411205,0.58154005,0.02645888,0.32716733,0.29186777,0.00000000,1.18199465,0.47907551
-5.86193097,1.97933291,0.38186286,0.59483789,0.02594730,0.33810296,0.30061392,0.00000000,1.21530947,0.51068176
-5.85592796,2.04991669,0.38991983,0.60754950,0.02531519,0.34844675,0.30966226,0.00000000,1.24622082,0.54263362
-5.84992496,2.11911252,0.39825874,0.61964651,0.02457971,0.35806867,0.31895565,0.00000000,1.27408959,0.57464681
-5.84392196,2.18644027,0.40687611,0.63113065,0.02375932,0.36686448,0.32844944,0.00000000,1.29836585,0.60644635
-5.83791896,2.25151414,0.41578812,0.64203194,0.02287318,0.37475804,0.33811196,0.00000000,1.31860543,0.63777271
-5.83191596,2.31404646,0.42502834,0.65240529,0.02194044,0.38170252,0.34792416,0.00000000,1.33448226,0.66838745
-5.82591296,2.37384671,0.43464389,0.66232592,0.02097965,0.38768033,0.35787828,0.00000000,1.34579582,0.69807797
-5.81990995,2.43081580,0.44469068,0.67188356,0.02000820,0.39270175,0.36797561,0.00000000,1.35247361,0.72666132
-5.81390695,2.48493596,0.45522764,0.68117584,0.01904187,0.39680241,0.37822351,0.00000000,1.35456840,0.75398667
-5.80790395,2.53625663,0.46631043,0.69030109,0.01809440,0.40003970,0.38863182,0.00000000,1.35225079,0.77993649
-5.80190095,2.58487728,0.47798502,0.69935104,0.01717728,0.40248833,0.39920881,0.00000000,1.34579726,0.80442630
-5.79589795,2.63092804,0.49028147,0.70840364,0.01629956,0.40423519,0.40995691,0.00000000,1.33557457,0.82740310
-5.78989495,2.67454926,0.50320837,0.71751657,0.01546786,0.40537400,0.42086863,0.00000000,1.32202131,0.84884247
-5.78389195,2.71587134,0.51674833,0.72672163,0.01468639,0.40599981,0.43192265,0.00000000,1.30562753,0.86874467
-5.77788894,2.75499600,0.53085494,0.73602055,0.01395711,0.40620382,0.44308061,0.00000000,1.28691352,0.88712995
-5.77188594,2.79198028,0.54545127,0.74538234,0.01327999,0.40606875,0.45428468,0.00000000,1.26640876,0.90403340
-5.76588294,2.82682423,0.56043046,0.75474248,0.01265327,0.40566503,0.46545621,0.00000000,1.24463204,0.91949964
-5.75987994,2.85946338,0.57565805,0.76400402,0.01207381,0.40504790,0.47649546,0.00000000,1.22207354,0.93357787
-5.75387694,2.88976624,0.59097639,0.77304059,0.01153740,0.40425580,0.48728267,0.00000000,1.19917978,0.94631735
-5.74787394,2.91753736,0.60621068,0.78170127,0.01103915,0.40330981,0.49768038,0.00000000,1.17634170,0.95776389
-5.74187094,2.94252572,0.62117646,0.78981698,0.01057377,0.40221431,0.50753690,0.00000000,1.15388645,0.96795729
-5.73586793,2.96443793,0.63568821,0.79720815,0.01013592,0.40095872,0.51669092,0.00000000,1.13207282,0.97693012
-5.72986493,2.98295537,0.64956834,0.80369327,0.00972043,0.39952008,0.52497687,0.00000000,1.11109024,0.98470758
-5.72386193,2.99775429,0.66265627,0.80909777,0.00932253,0.39786640,0.53223099,0.00000000,1.09106112,0.99130862
-5.71785893,3.00852730,0.67481690,0.81326275,0.00893803,0.39596035,0.53829753,0.00000000,1.07204597,0.99674795
-5.71185593,3.01500481,0.68594785,0.81605306,0.00856342,0.39376310,0.54303500,0.00000000,1.05405068,1.00103868
-5.70585293,3.01697498,0.69598513,0.81736422,0.00819592,0.39123804,0.54632196,0.00000000,1.03703549,1.00419542
-5.69984992,3.01430048,0.70490665,0.81712774,0.00783354,0.38835409,0.54806215,0.00000000,1.02092473,1.00623723
-5.69384692,3.00693113,0.71273342,0.81531455,0.00747504,0.38508834,0.54818862,0.00000000,1.00561685,1.00719019
-5.68784392,2.99491105,0.71952820,0.81193628,0.00711987,0.38142799,0.54666660,0.00000000,0.99099398,1.00708922
