energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,1.28778581,1.19116119,0.73008474,0.12357086,0.00187712,0.28029381,0.00000000
-5.99399700,1.15140995,1.06328719,0.65352014,0.11287346,0.00166820,0.24883408,0.00000000
-5.98799400,1.02482204,0.94465999,0.58242319,0.10287371,0.00147510,0.21966576,0.00000000
-5.98199100,0.90851451,0.83570032,0.51708860,0.09366683,0.00129847,0.19286314,0.00000000
-5.97598799,0.80279496,0.73665246,0.45770910,0.08533747,0.00113862,0.16845371,0.00000000
-5.96998499,0.70780381,0.64760346,0.40438430,0.07795960,0.00099559,0.14642382,0.00000000
-5.96398199,0.62353426,0.56850417,0.35713108,0.07159663,0.00086918,0.12672485,0.00000000
-5.95797899,0.54985358,0.49919114,0.31589471,0.06630166,0.00075900,0.10927944,0.00000000
-5.95197599,0.48652442,0.43940831,0.28056027,0.06211777,0.00066450,0.09398771,0.00000000
-5.94597299,0.43322541,0.38882747,0.25096368,0.05907836,0.00058500,0.08073310,0.00000000
-5.93996998,0.38957008,0.34706692,0.22690206,0.05720732,0.00051976,0.06938778,0.00000000
-5.93396698,0.35512356,0.31370769,0.20814275,0.05651910,0.00046798,0.05981739,0.00000000
-5.92796398,0.32941663,0.28830697,0.19443114,0.05701856,0.00042886,0.05188512,0.00000000
-5.92196098,0.31195682,0.27040856,0.18549673,0.05870064,0.00040157,0.04545502,0.00000000
-5.91595798,0.30223668,0.25955031,0.18105781,0.06154981,0.00038531,0.04039463,0.00000000
-5.90995498,0.29973913,0.25526876,0.18082444,0.06553936,0.00037930,0.03657679,0.00000000
-5.90395198,0.30394034,0.25710115,0.18450011,0.07063049,0.00038278,0.03388093,0.00000000
-5.89794897,0.31431044,0.26458527,0.19178224,0.07677145,0.00039503,0.03219363,0.00000000
-5.89194597,0.33031252,0.27725751,0.20236175,0.08389664,0.00041534,0.03140881,0.00000000
-5.88594297,0.35140057,0.29464981,0.21592197,0.09192584,0.00044302,0.03142741,0.00000000
-5.87993997,0.37701677,0.31628582,0.23213730,0.10076373,0.00047738,0.03215688,0.00000000
-5.87393697,0.40658879,0.34167706,0.25067190,0.11029965,0.00051775,0.03351035,0.00000000
-5.86793397,0.43952757,0.37031941,0.27117858,0.12040792,0.00056344,0.03540582,0.00000000
-5.86193097,0.47522603,0.40169044,0.29329834,0.13094854,0.00061372,0.03776519,0.00000000
-5.85592796,0.51305907,0.43524810,0.31666054,0.14176855,0.00066786,0.04051347,0.00000000
-5.84992496,0.55238514,0.47043085,0.34088408,0.15270392,0.00072507,0.04357800,0.00000000
-5.84392196,0.59254956,0.50665957,0.36557946,0.16358207,0.00078456,0.04688793,0.00000000
-5.83791896,0.63288948,0.54334134,0.39035187,0.17422491,0.00084547,0.05037378,0.00000000
-5.83191596,0.67274063,0.57987495,0.41480521,0.18445233,0.00090692,0.05396728,0.00000000
-5.82591296,0.71144550,0.61565807,0.43854698,0.19408614,0.00096800,0.05760145,0.00000000
-5.81990995,0.74836273,0.65009588,0.46119380,0.20295414,0.00102777,0.06121081,0.00000000
-5.81390695,0.78287734,0.68261073,0.48237747,0.21089440,0.00108531,0.06473180,0.00000000
-5.80790395,0.81441151,0.71265248,0.50175128,0.21775934,0.00113968,0.06810339,0.00000000
-5.80190095,0.84243526,0.73970916,0.51899632,0.22341964,0.00118996,0.07126778,0.00000000
-5.79589795,0.86647678,0.76331735,0.53382764,0.22776773,0.00123531,0.07417114,0.00000000
-5.78989495,0.88613195,0.78307194,0.54599983,0.23072067,0.00127490,0.07676448,0.00000000
-5.78389195,0.90107247,0.79863483,0.55531203,0.23222243,0.00130803,0.07900440,0.00000000
-5.77788894,0.91105263,0.80974211,0.56161201,0.23224527,0.00133406,0.08085384,0.00000000
-5.77188594,0.91591402,0.81620952,0.56479920,0.23079039,0.00135247,0.08228280,0.00000000
-5.76588294,0.91558834,0.81793591,0.56482661,0.22788756,0.00136290,0.08326883,0.00000000
-5.75987994,0.91009800,0.81490454,0.56170147,0.22359405,0.00136510,0.08379743,0.00000000
-5.75387694,0.89955456,0.80718220,0.55548466,0.21799261,0.00135897,0.08386235,0.00000000
-5.74787394,0.88415507,0.79491620,0.54628887,0.21118881,0.00134459,0.08346561,0.00000000
-5.74187094,0.86417641,0.77832933,0.53427559,0.20330774,0.00132217,0.08261743,0.00000000
-5.73586793,0.83996791,0.75771303,0.51965103,0.19449026,0.00129207,0.08133595,0.00000000
-5.72986493,0.81194243,0.73341902,0.50266105,0.18488893,0.00125480,0.07964684,0.00000000
