energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.58287110,0.08345560,0.00496616,0.57066154,0.00000000,0.83957335,0.08878808
-5.99399700,1.73449596,0.09212781,0.00539486,0.62608976,0.00000000,0.91695303,0.09842520
-5.98799400,1.89009192,0.10113757,0.00582890,0.68311568,0.00000000,0.99609266,0.10847445
-5.98199100,2.04807223,0.11040763,0.00626363,0.74115213,0.00000000,1.07619089,0.11884219
-5.97598799,2.20668181,0.11984912,0.00669404,0.79955103,0.00000000,1.15636668,0.12942031
-5.96998499,2.36402557,0.12936292,0.00711484,0.85761398,0.00000000,1.23567301,0.14008763
-5.96398199,2.51810533,0.13884157,0.00752059,0.91460608,0.00000000,1.31311466,0.15071188
-5.95797899,2.66686484,0.14817179,0.00790580,0.96977288,0.00000000,1.38766986,0.16115248
-5.95197599,2.80824187,0.15723759,0.00826508,1.02236007,0.00000000,1.45831531,0.17126387
-5.94597299,2.94022627,0.16592387,0.00859328,1.07163540,0.00000000,1.52405408,0.18089944
-5.93996998,3.06092198,0.17412037,0.00888564,1.11691216,0.00000000,1.58394557,0.18991586
-5.93396698,3.16861119,0.18172603,0.00913795,1.15757337,0.00000000,1.63713651,0.19817776
-5.92796398,3.26181806,0.18865333,0.00934668,1.19309580,0.00000000,1.68289191,0.20556245
-5.92196098,3.33936951,0.19483274,0.00950916,1.22307292,0.00000000,1.72062480,0.21196462
-5.91595798,3.40045038,0.20021676,0.00962367,1.24723548,0.00000000,1.74992328,0.21730071
-5.90995498,3.44465037,0.20478364,0.00968953,1.26546906,0.00000000,1.77057379,0.22151281
-5.90395198,3.47200015,0.20854042,0.00970725,1.27782734,0.00000000,1.78257915,0.22457189
-5.89794897,3.48299444,0.21152507,0.00967848,1.28454044,0.00000000,1.78617042,0.22648004
-5.89194597,3.47860041,0.21380766,0.00960608,1.28601754,0.00000000,1.78181154,0.22727183
-5.88594297,3.46024990,0.21549037,0.00949406,1.28284334,0.00000000,1.77019610,0.22701445
-5.87993997,3.42981485,0.21670620,0.00934753,1.27576814,0.00000000,1.75223586,0.22580662
-5.87393697,3.38956602,0.21761638,0.00917257,1.26569143,0.00000000,1.72904084,0.22377631
-5.86793397,3.34211545,0.21840649,0.00897608,1.25363934,0.00000000,1.70189146,0.22107734
-5.86193097,3.29034428,0.21928121,0.00876560,1.24073648,0.00000000,1.67220317,0.21788475
-5.85592796,3.23731768,0.22045806,0.00854912,1.22817292,0.00000000,1.64148463,0.21438933
-5.84992496,3.18618975,0.22216003,0.00833481,1.21716722,0.00000000,1.61129072,0.21079136
-5.84392196,3.14010134,0.22460755,0.00813078,1.20892691,0.00000000,1.58317190,0.20729381
-5.83791896,3.10207432,0.22800987,0.00794481,1.20460752,0.00000000,1.55862171,0.20409523
-5.83191596,3.07490616,0.23255638,0.00778412,1.20527178,0.00000000,1.53902430,0.20138265
-5.82591296,3.06106854,0.23840800,0.00765508,1.21185032,0.00000000,1.52560391,0.19932477
-5.81990995,3.06261395,0.24568912,0.00756305,1.22510547,0.00000000,1.51937841,0.19806560
-5.81390695,3.08109378,0.25448037,0.00751210,1.24559940,0.00000000,1.52111854,0.19771895
-5.80790395,3.11749139,0.26481264,0.00750491,1.27366800,0.00000000,1.53131480,0.19836389
-5.80190095,3.17217284,0.27666253,0.00754265,1.30940153,0.00000000,1.55015325,0.20004140
-5.79589795,3.24485761,0.28994965,0.00762486,1.35263293,0.00000000,1.57750149,0.20275237
-5.78989495,3.33461093,0.30453579,0.00774953,1.40293442,0.00000000,1.61290561,0.20645702
-5.78389195,3.43985836,0.32022629,0.00791304,1.45962272,0.00000000,1.65559845,0.21107577
-5.77788894,3.55842280,0.33677349,0.00811033,1.52177299,0.00000000,1.70451908,0.21649157
-5.77188594,3.68758294,0.35388228,0.00833502,1.58824109,0.00000000,1.75834322,0.22255356
-5.76588294,3.82415148,0.37121771,0.00857960,1.65769371,0.00000000,1.81552340,0.22908204
