energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.41626450,-2.46303862,0.99571746,-1.40326758,0.68595460,-0.77576887,0.56366763,-0.24689556,0.26231934,-0.06084770,0.00841737,-0.01017195,0.49050413,-1.05321543,0.89781678,-0.40500342,0.00000000,-0.00000000
-5.99399700,2.39337993,-2.41746369,0.98929244,-1.36985128,0.68157512,-0.75600252,0.55502058,-0.24942031,0.26282933,-0.06009846,0.00799995,-0.01033392,0.48750841,-1.02300855,0.88812282,-0.40775223,0.00000000,-0.00000000
-5.98799400,2.36157446,-2.36674222,0.97933147,-1.33439016,0.67450000,-0.73371806,0.54367930,-0.25210878,0.26230779,-0.05951532,0.00755341,-0.01047402,0.48297977,-0.98967424,0.87471925,-0.41072494,0.00000000,-0.00000000
-5.98199100,2.32134434,-2.31172495,0.96573668,-1.29707579,0.66479542,-0.70941888,0.52986338,-0.25494102,0.26081716,-0.05912111,0.00708496,-0.01059136,0.47683764,-0.95374000,0.85795292,-0.41387487,0.00000000,-0.00000000
-5.97598799,2.27334306,-2.25340362,0.94849109,-1.25818093,0.65258217,-0.68365159,0.51382807,-0.25791443,0.25843638,-0.05894520,0.00660198,-0.01068483,0.46904569,-0.91578699,0.83821884,-0.41719111,0.00000000,-0.00000000
-5.96998499,2.21835098,-2.19287642,0.92765421,-1.21804835,0.63802823,-0.65698921,0.49585641,-0.26104295,0.25525778,-0.05902252,0.00611180,-0.01075308,0.45960880,-0.87643177,0.81594661,-0.42069699,0.00000000,-0.00000000
-5.96398199,2.15724401,-2.13131214,0.90335691,-1.17707806,0.62134076,-0.63001423,0.47625106,-0.26435587,0.25138364,-0.05939259,0.00562147,-0.01079451,0.44856969,-0.83630764,0.79158666,-0.42444768,0.00000000,-0.00000000
-5.95797899,2.09096225,-2.06991428,0.87579567,-1.13571341,0.60275765,-0.60330221,0.45532611,-0.26789602,0.24692266,-0.06009821,0.00513764,-0.01080733,0.43600514,-0.79604665,0.76559669,-0.42852689,0.00000000,-0.00000000
-5.95197599,2.02047994,-2.00988615,0.84522618,-1.09442678,0.58253904,-0.57740651,0.43339927,-0.27171768,0.24198658,-0.06118408,0.00466636,-0.01078962,0.42202204,-0.75626269,0.73842881,-0.43304257,0.00000000,-0.00000000
-5.94597299,1.94677726,-1.95239788,0.81195630,-1.05370515,0.56095898,-0.55284444,0.41078448,-0.27588379,0.23668686,-0.06269521,0.00421304,-0.01073947,0.40675318,-0.71753629,0.71051795,-0.43812173,0.00000000,-0.00000000
-5.93996998,1.87081517,-1.89855598,0.77633850,-1.01403608,0.53829758,-0.53008525,0.38778540,-0.28046278,0.23113177,-0.06467531,0.00378235,-0.01065502,0.39035291,-0.68040151,0.68227176,-0.44390442,0.00000000,-0.00000000
-5.93396698,1.79351355,-1.84937583,0.73876159,-0.97589425,0.51483376,-0.50953998,0.36468969,-0.28552496,0.22542391,-0.06716503,0.00337818,-0.01053470,0.37299265,-0.64533501,0.65406246,-0.45053686,0.00000000,-0.00000000
-5.92796398,1.71573334,-1.80575747,0.69964213,-0.93972881,0.49083870,-0.49155345,0.34176435,-0.29113846,0.21965828,-0.07020019,0.00300370,-0.01037726,0.35485635,-0.61274753,0.62622068,-0.45816406,0.00000000,-0.00000000
-5.92196098,1.63826276,-1.76846466,0.65941539,-0.90595168,0.46657038,-0.47639828,0.31925219,-0.29736486,0.21392094,-0.07381003,0.00266134,-0.01018197,0.33613600,-0.58297765,0.59903162,-0.46692184,0.00000000,-0.00000000
-5.91595798,1.56180795,-1.73810744,0.61852620,-0.87492686,0.44226901,-0.46427083,0.29736928,-0.30425477,0.20828825,-0.07801553,0.00235286,-0.00994868,0.31702713,-0.55628767,0.57273324,-0.47692883,0.00000000,-0.00000000
-5.90995498,1.48698777,-1.71512800,0.57741977,-0.84696085,0.41815361,-0.45528912,0.27630364,-0.31184323,0.20282683,-0.08282791,0.00207944,-0.00967795,0.29772455,-0.53286155,0.54751676,-0.48827850,0.00000000,-0.00000000
-5.90395198,1.41433264,-1.69979026,0.53653280,-0.82229430,0.39441963,-0.44949239,0.25621477,-0.32014553,0.19759402,-0.08824726,0.00184174,-0.00937107,0.27841837,-0.51280454,0.52352891,-0.50103165,0.00000000,-0.00000000
-5.89794897,1.34428714,-1.69217285,0.49628518,-0.80109491,0.37123773,-0.44684240,0.23723417,-0.32915325,0.19263885,-0.09426150,0.00164005,-0.00903010,0.25929028,-0.49614439,0.50087601,-0.51520977,0.00000000,-0.00000000
-5.89194597,1.27721564,-1.69216605,0.45707225,-0.78345184,0.34875348,-0.44722618,0.21946671,-0.33883112,0.18800349,-0.10084566,0.00147429,-0.00865783,0.24051045,-0.48283386,0.47962928,-0.53078958,0.00000000,-0.00000000
-5.88594297,1.21341072,-1.69947264,0.41925823,-0.76937172,0.32708810,-0.45046018,0.20299249,-0.34911466,0.18372488,-0.10796151,0.00134420,-0.00825777,0.22223475,-0.47275453,0.45983127,-0.54769907,0.00000000,-0.00000000
-5.87993997,1.15310331,-1.71361293,0.38317061,-0.75877645,0.30633991,-0.45629580,0.18786932,-0.35990896,0.17983655,-0.11555766,0.00124932,-0.00783404,0.20460273,-0.46572150,0.44150270,-0.56581547,0.00000000,-0.00000000
-5.87393697,1.09647410,-1.73393428,0.34909591,-0.75150313,0.28658654,-0.46442610,0.17413541,-0.37108860,0.17637041,-0.12357013,0.00118914,-0.00739124,0.18773614,-0.46148923,0.42464959,-0.58496513,0.00000000,-0.00000000
-5.86793397,1.04366536,-1.75962514,0.31727674,-0.74730609,0.26788753,-0.47449372,0.16181231,-0.38249906,0.17335841,-0.13192324,0.00116310,-0.00693436,0.17173808,-0.45975824,0.40927008,-0.60492569,0.00000000,-0.00000000
-5.86193097,0.99479233,-1.78973355,0.28791013,-0.74586137,0.25028734,-0.48609985,0.15090775,-0.39395940,0.17083383,-0.14053113,0.00117065,-0.00646859,0.15669274,-0.46018271,0.39536063,-0.62543036,0.00000000,-0.00000000
-5.85592796,0.94995372,-1.82319002,0.26114722,-0.74677353,0.23381845,-0.49881410,0.14141842,-0.40526632,0.16883220,-0.14929950,0.00121124,-0.00599921,0.14266575,-0.46237892,0.38292125,-0.64617434,0.00000000,-0.00000000
-5.84992496,0.90924054,-1.85883442,0.23709410,-0.74958496,0.21850439,-0.51218525,0.13333245,-0.41619942,0.16739174,-0.15812774,0.00128437,-0.00553137,0.12970499,-0.46593455,0.37195958,-0.66682303,0.00000000,-0.00000000
-5.84392196,0.87274278,-1.89544600,0.21581362,-0.75378735,0.20436264,-0.52575243,0.12663154,-0.42652760,0.16655321,-0.16691131,0.00138955,-0.00507001,0.11784176,-0.47041858,0.36249346,-0.68702175,0.00000000,-0.00000000
-5.83791896,0.84055383,-1.93177597,0.19732809,-0.75883528,0.19140709,-0.53905672,0.12129269,-0.43601606,0.16635919,-0.17554425,0.00152630,-0.00461972,0.10709232,-0.47539178,0.35455219,-0.70640654,0.00000000,-0.00000000
-5.83191596,0.81277218,-1.96658143,0.18162261,-0.76416131,0.17965012,-0.55165268,0.11728944,-0.44443394,0.16685284,-0.18392165,0.00169410,-0.00418460,0.09745958,-0.48041755,0.34817610,-0.72461547,0.00000000,-0.00000000
-5.82591296,0.78950062,-1.99865937,0.16864880,-0.76919231,0.16910404,-0.56311948,0.11459271,-0.45156193,0.16807624,-0.19194213,0.00189241,-0.00376819,0.08893486,-0.48507277,0.34341491,-0.74129996,0.00000000,-0.00000000
-5.81990995,0.77084304,-2.02687954,0.15832880,-0.77336630,0.15978203,-0.57307146,0.11317115,-0.45719974,0.17006830,-0.19951008,0.00212057,-0.00337345,0.08149969,-0.48895846,0.34032474,-0.75613556,0.00000000,-0.00000000
-5.81390695,0.75689908,-2.05021482,0.15055937,-0.77614922,0.15169836,-0.58116741,0.11299112,-0.46117286,0.17286254,-0.20653760,0.00237786,-0.00300267,0.07512746,-0.49170983,0.33896415,-0.76883163,0.00000000,-0.00000000
-5.80790395,0.74775719,-2.06776775,0.14521584,-0.77705091,0.14486807,-0.58711855,0.11401636,-0.46333847,0.17648468,-0.21294612,0.00266341,-0.00265753,0.06978494,-0.49300541,0.33938952,-0.77913949,0.00000000,-0.00000000
-5.80190095,0.74348648,-2.07879233,0.14215594,-0.77563972,0.13930614,-0.59069473,0.11620739,-0.46359011,0.18095048,-0.21866758,0.00297621,-0.00233905,0.06543358,-0.49257482,0.34164997,-0.78685868,0.00000000,-0.00000000
-5.79589795,0.74412809,-2.08271000,0.14122329,-0.77155508,0.13502609,-0.59172861,0.11952077,-0.46186092,0.18626374,-0.22364520,0.00331513,-0.00204770,0.06203055,-0.49020503,0.34578224,-0.79184116,0.00000000,-0.00000000
-5.78989495,0.74968650,-2.07911937,0.14225068,-0.76451750,0.13203829,-0.59011780,0.12390835,-0.45812540,0.19241470,-0.22783382,0.00367890,-0.00178341,0.05952954,-0.48574464,0.35180587,-0.79399321,0.00000000,-0.00000000
-5.78389195,0.76012151,-2.06779955,0.14506287,-0.75433568,0.13034794,-0.58582478,0.12931647,-0.45239958,0.19937906,-0.23119984,0.00406613,-0.00154567,0.05788138,-0.47910620,0.35971882,-0.79327524,0.00000000,-0.00000000
-5.77788894,0.77534129,-2.04870697,0.14947918,-0.74091034,0.12995302,-0.57887471,0.13568531,-0.44473968,0.20711747,-0.23372089,0.00447537,-0.00133358,0.05703432,-0.47026630,0.36949398,-0.78969957,0.00000000,-0.00000000
-5.77188594,0.79519698,-2.02196646,0.15531567,-0.72423486,0.13084206,-0.56935125,0.14294845,-0.43523936,0.21557578,-0.23538519,0.00490509,-0.00114596,0.05693427,-0.45926357,0.38107656,-0.78332650,0.00000000,-0.00000000
-5.76588294,0.81947917,-1.98785712,0.16238709,-0.70439256,0.13299219,-0.55739076,0.15103254,-0.42402590,0.22468594,-0.23619082,0.00535377,-0.00098141,0.05752483,-0.44619468,0.39438265,-0.77425907,0.00000000,-0.00000000
-5.75987994,0.84791636,-1.94679409,0.17050858,-0.68155104,0.13636727,-0.54317502,0.15985739,-0.41125528,0.23436743,-0.23614484,0.00581987,-0.00083841,0.05874727,-0.43120853,0.40929891,-0.76263692,0.00000000,-0.00000000
-5.75387694,0.88017566,-1.89930749,0.17949706,-0.65595384,0.14091645,-0.52692300,0.16933614,-0.39710680,0.24452930,-0.23526260,0.00630192,-0.00071538,0.06054048,-0.41449883,0.42568334,-0.74862970,0.00000000,-0.00000000
-5.74787394,0.91586555,-1.84601960,0.18917252,-0.62790989,0.14657312,-0.50888207,0.17937586,-0.38177726,0.25507264,-0.23356699,0.00679849,-0.00061075,0.06284098,-0.39629574,0.44336723,-0.73243050,0.00000000,-0.00000000
-5.74187094,0.95454070,-1.78762175,0.19935917,-0.59778131,0.15325430,-0.48931898,0.18987827,-0.36547510,0.26589325,-0.23108797,0.00730824,-0.00052303,0.06558288,-0.37685656,0.46215803,-0.71424968,0.00000000,-0.00000000
