energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,0.55117590,0.00132651,0.10620152,0.00433055,0.00000000,0.34554325,0.24724182,0.00502417,0.21076521
-5.99399700,0.50312184,0.00111494,0.09676439,0.00397978,0.00000000,0.30962944,0.22528544,0.00464158,0.19348428
-5.98799400,0.45676640,0.00093263,0.08764302,0.00363717,0.00000000,0.27597512,0.20410088,0.00426235,0.17671692
-5.98199100,0.41247164,0.00077750,0.07891385,0.00330576,0.00000000,0.24472664,0.18385343,0.00389009,0.16060517
-5.97598799,0.37056259,0.00064744,0.07064333,0.00298838,0.00000000,0.21599552,0.16468738,0.00352821,0.14528365
-5.96998499,0.33132353,0.00054041,0.06288719,0.00268757,0.00000000,0.18986073,0.14672439,0.00317981,0.13087759
-5.96398199,0.29499647,0.00045452,0.05569022,0.00240557,0.00000000,0.16637221,0.13006284,0.00284760,0.11750163
-5.95797899,0.26178186,0.00038806,0.04908654,0.00214427,0.00000000,0.14555542,0.11477831,0.00253388,0.10525947
-5.95197599,0.23184124,0.00033964,0.04310026,0.00190528,0.00000000,0.12741681,0.10092485,0.00224045,0.09424427
-5.94597299,0.20530164,0.00030812,0.03774647,0.00168986,0.00000000,0.11194971,0.08853716,0.00196865,0.08453977
-5.93996998,0.18226141,0.00029275,0.03303257,0.00149902,0.00000000,0.09914063,0.07763331,0.00171937,0.07622198
-5.93396698,0.16279685,0.00029311,0.02895974,0.00133352,0.00000000,0.08897542,0.06821789,0.00149304,0.06936127
-5.92796398,0.14696945,0.00030918,0.02552453,0.00119393,0.00000000,0.08144516,0.06028544,0.00128972,0.06402471
-5.92196098,0.13483312,0.00034131,0.02272047,0.00108067,0.00000000,0.07655136,0.05382392,0.00110912,0.06027844
-5.91595798,0.12644098,0.00039021,0.02053962,0.00099406,0.00000000,0.07431040,0.04881799,0.00095071,0.05818988
-5.90995498,0.12185129,0.00045699,0.01897396,0.00093436,0.00000000,0.07475678,0.04525200,0.00081375,0.05782959
-5.90395198,0.12113227,0.00054306,0.01801662,0.00090182,0.00000000,0.07794512,0.04311263,0.00069735,0.05927260
-5.89794897,0.12436528,0.00065017,0.01766288,0.00089667,0.00000000,0.08395080,0.04239080,0.00060061,0.06259906
-5.89194597,0.13164634,0.00078035,0.01791077,0.00091919,0.00000000,0.09286902,0.04308315,0.00052261,0.06789412
-5.88594297,0.14308583,0.00093584,0.01876158,0.00096966,0.00000000,0.10481243,0.04519267,0.00046254,0.07524689
