energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,4.85701093,1.10449743,2.21410467,0.00706181,0.38721042,2.21419116,1.61869013,0.01528076,0.39918472
-5.99399700,4.79254364,1.10033254,2.17868087,0.00726992,0.38318774,2.21300163,1.60156745,0.01515961,0.39602466
-5.98799400,4.73117456,1.09568144,2.14596671,0.00745593,0.37939611,2.21361871,1.58470028,0.01505664,0.39287506
-5.98199100,4.67425005,1.09080220,2.11645786,0.00761680,0.37597892,2.21647086,1.56864212,0.01496831,0.38983524
-5.97598799,4.62294226,1.08595297,2.09057374,0.00774987,0.37306600,2.22197612,1.55387025,0.01489047,0.38699826
-5.96998499,4.57821414,1.08138223,2.06864635,0.00785295,0.37076884,2.23052452,1.54077021,0.01481846,0.38444822
-5.96398199,4.54079099,1.07731910,2.05091071,0.00792441,0.36917646,2.24245877,1.52962426,0.01474717,0.38225771
-5.95797899,4.51113905,1.07396387,2.03749731,0.00796322,0.36835190,2.25805409,1.52060420,0.01467128,0.38048541
-5.95197599,4.48945185,1.07147905,2.02842653,0.00796902,0.36832968,2.27749791,1.51376852,0.01458537,0.37917407
-5.94597299,4.47564439,1.06998130,2.02360542,0.00794208,0.36911415,2.30087046,1.50906409,0.01448414,0.37834861
-5.93996998,4.46935551,1.06953450,2.02282691,0.00788333,0.37067889,2.32812719,1.50633189,0.01436261,0.37801477
-5.93396698,4.46995833,1.07014429,2.02577176,0.00779427,0.37296715,2.35908419,1.50531674,0.01421632,0.37815815
-5.92796398,4.47657860,1.07175442,2.03201329,0.00767693,0.37589344,2.39340762,1.50568027,0.01404151,0.37874371
-5.92196098,4.48812065,1.07424526,2.04102521,0.00753377,0.37934595,2.43060818,1.50701681,0.01383527,0.37971598
-5.91595798,4.50330037,1.07743456,2.05219247,0.00736759,0.38319012,2.47004149,1.50887147,0.01359572,0.38099982
-5.90995498,4.52068455,1.08108082,2.06482521,0.00718141,0.38727289,2.51091495,1.51075960,0.01332207,0.38250188
-5.90395198,4.53873574,1.08488912,2.07817567,0.00697837,0.39142769,2.55230143,1.51218723,0.01301469,0.38411280
-5.89794897,4.55586148,1.08851964,2.09145793,0.00676165,0.39547999,2.59315983,1.51267143,0.01267517,0.38571008
-5.89194597,4.57046651,1.09159842,2.10386988,0.00653433,0.39925312,2.63236224,1.51176015,0.01230623,0.38716156
-5.88594297,4.58100675,1.09373027,2.11461717,0.00629935,0.40257423,2.66872672,1.50905076,0.01191174,0.38832957
-5.87993997,4.58604310,1.09451340,2.12293820,0.00605945,0.40528020,2.70105488,1.50420665,0.01149660,0.38907544
-5.87393697,4.58429337,1.09355507,2.12812959,0.00581713,0.40722317,2.72817264,1.49697144,0.01106660,0.38926442
-5.86793397,4.57468053,1.09048781,2.12957097,0.00557464,0.40827558,2.74897253,1.48718023,0.01062828,0.38877066
-5.86193097,4.55637528,1.08498551,2.12674831,0.00533396,0.40833451,2.76245562,1.47476744,0.01018878,0.38748221
-5.85592796,4.52883113,1.07677851,2.11927455,0.00509686,0.40732501,2.76777104,1.45977114,0.00975565,0.38530575
-5.84992496,4.49181045,1.06566713,2.10690681,0.00486488,0.40520259,2.76425126,1.44233344,0.00933662,0.38217076
-5.84392196,4.44539994,1.05153295,2.08955900,0.00463946,0.40195434,2.75144115,1.42269707,0.00893948,0.37803316
-5.83791896,4.39001465,1.03434711,2.06730928,0.00442189,0.39759905,2.72911943,1.40119809,0.00857181,0.37287792
-5.83191596,4.32638980,1.01417542,2.04040169,0.00421342,0.39218603,2.69731111,1.37825500,0.00824085,0.36672083
-5.82591296,4.25556055,0.99117975,2.00924172,0.00401531,0.38579285,2.65629043,1.35435463,0.00795329,0.35960902
-5.81990995,4.17882994,0.96561567,1.97438575,0.00382882,0.37852194,2.60657371,1.33003521,0.00771511,0.35162043
-5.81390695,4.09772624,0.93782629,1.93652457,0.00365526,0.37049645,2.54890270,1.30586726,0.00753147,0.34286198
-5.80790395,4.01395121,0.90823269,1.89646172,0.00349604,0.36185521,2.48421888,1.28243310,0.00740650,0.33346678
-5.80190095,3.92932130,0.87732105,1.85508718,0.00335260,0.35274740,2.41363023,1.26030570,0.00734328,0.32359026
-5.79589795,3.84570427,0.84562732,1.81334779,0.00322644,0.34332687,2.33837187,1.24002775,0.00734367,0.31340547
-5.78989495,3.76495397,0.81371984,1.77221544,0.00311909,0.33374645,2.25976262,1.22209192,0.00740832,0.30309779
-5.78389195,3.68884603,0.78218073,1.73265439,0.00303208,0.32415264,2.17915956,1.20692307,0.00753655,0.29285923
-5.77788894,3.61901737,0.75158694,1.69558931,0.00296688,0.31468074,2.09791273,1.19486315,0.00772640,0.28288252
-5.77188594,3.55691210,0.72249152,1.66187514,0.00292485,0.30545062,2.01732215,1.18615970,0.00797461,0.27335536
-5.76588294,3.50373622,0.69540607,1.63227023,0.00290722,0.29656354,1.93859888,1.18095824,0.00827667,0.26445495
-5.75987994,3.46042275,0.67078495,1.60741376,0.00291501,0.28809975,1.86283197,1.17929891,0.00862688,0.25634305
-5.75387694,3.42760891,0.64901184,1.58780823,0.00294901,0.28011734,1.79096233,1.18111767,0.00901847,0.24916174
-5.74787394,3.40562570,0.63038912,1.57380765,0.00300973,0.27265202,1.72376438,1.18625179,0.00944372,0.24303000
-5.74187094,3.39450009,0.61513034,1.56561172,0.00309737,0.26571802,1.66183589,1.19444936,0.00989411,0.23804126
-5.73586793,3.39396911,0.60335601,1.56326588,0.00321182,0.25930982,1.60559573,1.20538235,0.01036048,0.23426178
-5.72986493,3.40350459,0.59509266,1.56666687,0.00335264,0.25340472,1.55528918,1.21866246,0.01083327,0.23173011
-5.72386193,3.42234687,0.59027508,1.57557337,0.00351902,0.24796600,1.51099971,1.23385902,0.01130268,0.23045727
-5.71785893,3.44954530,0.58875145,1.58962073,0.00370984,0.24294649,1.47266618,1.25051780,0.01175895,0.23042791
-5.71185593,3.48400316,0.59029106,1.60833892,0.00392367,0.23829227,1.44010395,1.26818008,0.01219252,0.23160195
