energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.82646644,1.78970168,1.18388803,0.04297575,0.30952471,0.11011583,2.03942472,0.30930820,0.14350154
-5.99399700,3.71010059,1.73728582,1.15101210,0.03993192,0.30015447,0.10783186,1.97749211,0.29860432,0.13938696
-5.98799400,3.59681850,1.68544965,1.11940399,0.03694582,0.29094853,0.10539707,1.91764093,0.28876744,0.13606880
-5.98199100,3.48691369,1.63429365,1.08910955,0.03404271,0.28191034,0.10280653,1.86005910,0.27966431,0.13358915
-5.97598799,3.38061963,1.58387642,1.06016228,0.03124490,0.27304159,0.10005838,1.80488923,0.27115703,0.13197085
-5.96998499,3.27812163,1.53421876,1.03258804,0.02857173,0.26434228,0.09715428,1.75223558,0.26310931,0.13121797
-5.96398199,3.17956784,1.48530947,1.00640874,0.02603949,0.25581093,0.09409971,1.70217065,0.25539222,0.13131687
-5.95797899,3.08507855,1.43711225,0.98164486,0.02366156,0.24744482,0.09090410,1.65474127,0.24788911,0.13223751
-5.95197599,2.99475309,1.38957337,0.95831639,0.02144850,0.23924021,0.08758074,1.60997342,0.24049957,0.13393522
-5.94597299,2.90867377,1.34262948,0.93644231,0.01940828,0.23119260,0.08414649,1.56787573,0.23314232,0.13635249
-5.93996998,2.82690686,1.29621527,0.91603861,0.01754647,0.22329697,0.08062137,1.52844142,0.22575698,0.13942102
-5.93396698,2.74950069,1.25027050,0.89711503,0.01586652,0.21554804,0.07702790,1.49164875,0.21830467,0.14306362
-5.92796398,2.67648137,1.20474614,0.87967106,0.01436999,0.20794046,0.07339049,1.45746021,0.21076767,0.14719626
-5.92196098,2.60784680,1.15960939,0.86369132,0.01305679,0.20046909,0.06973456,1.42582074,0.20314809,0.15172992
-5.91595798,2.54355992,1.11484747,0.84914108,0.01192539,0.19312919,0.06608580,1.39665544,0.19546586,0.15657234
-5.90995498,2.48354208,1.07047009,0.83596232,0.01097307,0.18591666,0.06246937,1.36986726,0.18775613,0.16162976
-5.90395198,2.42766761,1.02651075,0.82407075,0.01019607,0.17882828,0.05890920,1.34533516,0.18006640,0.16680845
-5.89794897,2.37576045,0.98302688,0.81335436,0.00958977,0.17186197,0.05542737,1.32291336,0.17245348,0.17201628
-5.89194597,2.32759377,0.94009906,0.80367372,0.00914880,0.16501705,0.05204362,1.30243189,0.16498054,0.17716413
-5.88594297,2.28289297,0.89782948,0.79486422,0.00886720,0.15829454,0.04877506,1.28369901,0.15771436,0.18216738
-5.87993997,2.24134246,0.85633989,0.78674046,0.00873848,0.15169746,0.04563594,1.26650546,0.15072304,0.18694738
-5.87393697,2.20259636,0.81576934,0.77910248,0.00875573,0.14523109,0.04263769,1.25063068,0.14407401,0.19143291
-5.86793397,2.16629253,0.77627170,0.77174380,0.00891172,0.13890333,0.03978898,1.23585085,0.13783268,0.19556167
-5.86193097,2.13206965,0.73801340,0.76446079,0.00919892,0.13272493,0.03709600,1.22194840,0.13206152,0.19928173
-5.85592796,2.09958625,0.70117136,0.75706285,0.00960964,0.12670969,0.03456275,1.20872256,0.12681959,0.20255289
-5.84992496,2.06854079,0.66593117,0.74938297,0.01013603,0.12087473,0.03219143,1.19600032,0.12216251,0.20534791
-5.84392196,2.03869148,0.63248569,0.74128791,0.01077018,0.11524050,0.02998287,1.18364720,0.11814270,0.20765352
-5.83791896,2.00987461,0.60103391,0.73268743,0.01150422,0.10983086,0.02793690,1.17157713,0.11480987,0.20947106
-5.83191596,1.98202015,0.57178005,0.72354206,0.01233028,0.10467298,0.02605275,1.15976061,0.11221149,0.21081672
-5.82591296,1.95516352,0.54493284,0.71386879,0.01324064,0.09979714,0.02432934,1.14823073,0.11039337,0.21172130
-5.81990995,1.92945252,0.52070479,0.70374433,0.01422767,0.09523642,0.02276555,1.13708633,0.10940000,0.21222936
-5.81390695,1.90514879,0.49931135,0.69330571,0.01528393,0.09102627,0.02136037,1.12649202,0.10927479,0.21239779
-5.80790395,1.88262347,0.48096978,0.68274801,0.01640210,0.08720394,0.02011299,1.11667482,0.11005997,0.21229369
-5.80190095,1.86234690,0.46589771,0.67231939,0.01757498,0.08380783,0.01902277,1.10791737,0.11179625,0.21199183
-5.79589795,1.84487278,0.45431107,0.66231344,0.01879546,0.08087672,0.01808923,1.10054800,0.11452221,0.21157140
-5.78989495,1.83081736,0.44642158,0.65305935,0.02005639,0.07844895,0.01731187,1.09492792,0.11827332,0.21111255
-5.78389195,1.82083450,0.44243354,0.64491022,0.02135056,0.07656148,0.01669002,1.09143616,0.12308080,0.21069256
-5.77788894,1.81558788,0.44253991,0.63823012,0.02267054,0.07524896,0.01622261,1.09045286,0.12897024,0.21038206
-5.77188594,1.81572147,0.44691788,0.63338039,0.02400862,0.07454276,0.01590802,1.09234183,0.13596010,0.21024136
-5.76588294,1.82182968,0.45572369,0.63070591,0.02535667,0.07447000,0.01574381,1.09743306,0.14406016,0.21031708
-5.75987994,1.83442859,0.46908698,0.63052175,0.02670605,0.07505261,0.01572659,1.10600607,0.15326987,0.21063941
-5.75387694,1.85392933,0.48710468,0.63310083,0.02804758,0.07630640,0.01585183,1.11827484,0.16357690,0.21122005
-5.74787394,1.88061493,0.50983456,0.63866304,0.02937146,0.07824019,0.01611376,1.13437501,0.17495567,0.21205100
-5.74187094,1.91462130,0.53728853,0.64736611,0.03066729,0.08085502,0.01650527,1.15435385,0.18736608,0.21310433
-5.73586793,1.95592320,0.56942597,0.65929854,0.03192410,0.08414345,0.01701791,1.17816342,0.20075246,0.21433294
-5.72986493,2.00432546,0.60614722,0.67447465,0.03313047,0.08808891,0.01764189,1.20565711,0.21504274,0.21567228
-5.72386193,2.05945963,0.64728746,0.69283200,0.03427465,0.09266519,0.01836608,1.23658956,0.23014777,0.21704305
-5.71785893,2.12078609,0.69261132,0.71423087,0.03534474,0.09783606,0.01917815,1.27062007,0.24596108,0.21835460
