energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.01346112,0.00900736,0.00350699,0.00000314,0.00175309,0.00240550,0.00085066,0.00000955,0.00473521
-5.99399700,0.01442781,0.00988733,0.00366909,0.00000236,0.00188209,0.00261377,0.00096450,0.00000738,0.00521470
-5.98799400,0.01613574,0.01125685,0.00402638,0.00000181,0.00210748,0.00295379,0.00112415,0.00000580,0.00595175
-5.98199100,0.01858805,0.01312802,0.00457584,0.00000143,0.00242981,0.00342739,0.00133202,0.00000467,0.00695341
-5.97598799,0.02180429,0.01552258,0.00531917,0.00000121,0.00285171,0.00403916,0.00159130,0.00000392,0.00823181
-5.96998499,0.02581693,0.01846973,0.00626185,0.00000113,0.00337749,0.00479578,0.00190578,0.00000347,0.00980299
-5.96398199,0.03066789,0.02200387,0.00741216,0.00000118,0.00401265,0.00570542,0.00227968,0.00000328,0.01168574
-5.95797899,0.03640479,0.02616213,0.00878023,0.00000136,0.00476341,0.00677702,0.00271734,0.00000330,0.01390035
-5.95197599,0.04307724,0.03098182,0.01037705,0.00000170,0.00563622,0.00801959,0.00322307,0.00000351,0.01646724
-5.94597299,0.05073295,0.03649772,0.01221348,0.00000221,0.00663723,0.00944146,0.00380083,0.00000390,0.01940560
-5.93996998,0.05941391,0.04273938,0.01429927,0.00000295,0.00777180,0.01104952,0.00445401,0.00000447,0.02273194
-5.93396698,0.06915255,0.04972835,0.01664217,0.00000396,0.00904400,0.01284850,0.00518514,0.00000521,0.02645874
-5.92796398,0.07996817,0.05747552,0.01924698,0.00000534,0.01045611,0.01484018,0.00599562,0.00000615,0.03059302
-5.92196098,0.09186364,0.06597867,0.02211480,0.00000717,0.01200821,0.01702273,0.00688550,0.00000730,0.03513512
-5.91595798,0.10482255,0.07522027,0.02524231,0.00000957,0.01369774,0.01939009,0.00785328,0.00000870,0.04007762
-5.90995498,0.11880698,0.08516572,0.02862130,0.00001271,0.01551927,0.02193145,0.00889570,0.00001038,0.04540442
-5.90395198,0.13375611,0.09576214,0.03223829,0.00001676,0.01746423,0.02463089,0.01000765,0.00001239,0.05109021
-5.89794897,0.14958565,0.10693778,0.03607446,0.00002194,0.01952089,0.02746717,0.01118213,0.00001479,0.05710021
-5.89194597,0.16618839,0.11860219,0.04010576,0.00002853,0.02167436,0.03041370,0.01241026,0.00001766,0.06339031
