energy_ev,total_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.30846446,0.23990617,0.04627758,0.00016306,0.24425736,0.01982257,0.00004743
-5.99399700,0.31293808,0.24345281,0.04366604,0.00013145,0.25089289,0.02029504,0.00004693
-5.98799400,0.31754987,0.24707523,0.04165390,0.00010526,0.25698542,0.02085881,0.00004661
-5.98199100,0.32189548,0.25046229,0.04013612,0.00008374,0.26224801,0.02150063,0.00004638
-5.97598799,0.32562292,0.25334229,0.03902019,0.00006624,0.26642794,0.02221323,0.00004618
-5.96998499,0.32844000,0.25548892,0.03822737,0.00005212,0.26931264,0.02299567,0.00004593
-5.96398199,0.33011985,0.25672574,0.03769335,0.00004084,0.27073427,0.02385367,0.00004559
-5.95797899,0.33050418,0.25692887,0.03736838,0.00003194,0.27057287,0.02479957,0.00004510
-5.95197599,0.32950435,0.25602794,0.03721703,0.00002500,0.26875799,0.02585217,0.00004443
-5.94597299,0.32710017,0.25400533,0.03721738,0.00001967,0.26526859,0.02703624,0.00004357
-5.93996998,0.32333647,0.25089363,0.03735992,0.00001565,0.26013148,0.02838178,0.00004250
-5.93396698,0.31831760,0.24677148,0.03764610,0.00001270,0.25341824,0.02992302,0.00004122
-5.92796398,0.31220005,0.24175802,0.03808649,0.00001062,0.24524073,0.03169711,0.00003974
-5.92196098,0.30518346,0.23600601,0.03869885,0.00000924,0.23574555,0.03374265,0.00003807
-5.91595798,0.29750041,0.22969401,0.03950593,0.00000843,0.22510754,0.03609788,0.00003623
-5.90995498,0.28940523,0.22301792,0.04053313,0.00000808,0.21352273,0.03879881,0.00003426
-5.90395198,0.28116253,0.21618210,0.04180622,0.00000811,0.20120094,0.04187718,0.00003217
-5.89794897,0.27303549,0.20939053,0.04334897,0.00000846,0.18835839,0.04535839,0.00003000
-5.89194597,0.26527482,0.20283826,0.04518095,0.00000906,0.17521064,0.04925945,0.00002778
-5.88594297,0.25810837,0.19670354,0.04731551,0.00000989,0.16196600,0.05358711,0.00002555
-5.87993997,0.25173207,0.19114087,0.04975800,0.00001089,0.14881979,0.05833618,0.00002334
-5.87393697,0.24630244,0.18627523,0.05250430,0.00001204,0.13594949,0.06348816,0.00002116
-5.86793397,0.24193087,0.18219769,0.05553977,0.00001332,0.12351094,0.06901034,0.00001905
-5.86193097,0.23867999,0.17896257,0.05883870,0.00001470,0.11163573,0.07485529,0.00001704
-5.85592796,0.23656207,0.17658616,0.06236414,0.00001616,0.10042961,0.08096103,0.00001513
-5.84992496,0.23553966,0.17504707,0.06606834,0.00001766,0.08997208,0.08725173,0.00001334
-5.84392196,0.23552829,0.17428812,0.06989372,0.00001920,0.08031684,0.09363904,0.00001169
-5.83791896,0.23640104,0.17421966,0.07377429,0.00002075,0.07149326,0.10002408,0.00001018
-5.83191596,0.23799496,0.17472419,0.07763763,0.00002228,0.06350840,0.10629999,0.00000881
-5.82591296,0.24011883,0.17566199,0.08140722,0.00002378,0.05634969,0.11235502,0.00000759
-5.81990995,0.24256212,0.17687759,0.08500521,0.00002523,0.04998792,0.11807606,0.00000652
-5.81390695,0.24510464,0.17820674,0.08835538,0.00002661,0.04438047,0.12335247,0.00000560
-5.80790395,0.24752665,0.17948365,0.09138634,0.00002792,0.03947456,0.12808009,0.00000482
-5.80190095,0.24961887,0.18054814,0.09403468,0.00002916,0.03521049,0.13216531,0.00000418
-5.79589795,0.25119221,0.18125252,0.09624815,0.00003033,0.03152463,0.13552899,0.00000369
-5.78989495,0.25208668,0.18146781,0.09798860,0.00003144,0.02835213,0.13811008,0.00000335
-5.78389195,0.25217931,0.18108929,0.09923467,0.00003253,0.02562928,0.13986885,0.00000316
-5.77788894,0.25139081,0.18004089,0.09998409,0.00003362,0.02329556,0.14078950,0.00000312
-5.77188594,0.24969068,0.17827864,0.10025544,0.00003478,0.02129516,0.14088214,0.00000325
-5.76588294,0.24710076,0.17579277,0.10008949,0.00003608,0.01957822,0.14018404,0.00000357
-5.75987994,0.24369699,0.17260873,0.09954987,0.00003759,0.01810157,0.13876002,0.00000410
-5.75387694,0.23960954,0.16878682,0.09872313,0.00003942,0.01682925,0.13670204,0.00000486
-5.74787394,0.23502122,0.16442077,0.09771819,0.00004170,0.01573256,0.13412799,0.00000589
-5.74187094,0.23016428,0.15963523,0.09666516,0.00004457,0.01478996,0.13117971,0.00000724
-5.73586793,0.22531571,0.15458230,0.09571350,0.00004819,0.01398669,0.12802025,0.00000893
-5.72986493,0.22079123,0.14943724,0.09502956,0.00005273,0.01331420,0.12483052,0.00001104
-5.72386193,0.21693800,0.14439353,0.09479361,0.00005839,0.01276944,0.12180537,0.00001362
-5.71785893,0.21412633,0.13965749,0.09519625,0.00006539,0.01235408,0.11914920,0.00001673
