energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,10.02616906,1.80639754,0.77004469,0.00168176,2.61114925,0.18125459,3.18556800,2.81595230,1.66632330
-5.99399700,10.20430544,1.83659819,0.77758664,0.00173690,2.69535001,0.18907602,3.20761149,2.90806296,1.72131706
-5.98799400,10.37758473,1.86528662,0.78426653,0.00179555,2.77664260,0.19693264,3.23005364,2.99657136,1.77402281
-5.98199100,10.54264687,1.89246283,0.79010759,0.00185666,2.85316136,0.20475877,3.25290291,3.07964766,1.82327303
-5.97598799,10.69591251,1.91811844,0.79512921,0.00191914,2.92301469,0.21248341,3.27605856,3.15543060,1.86788287
-5.96998499,10.83367906,1.94222863,0.79934256,0.00198196,2.98434061,0.22003130,3.29930791,3.22208108,1.90668518
-5.96398199,10.95222873,1.96474493,0.80274709,0.00204404,3.03536480,0.22732418,3.32232796,3.27783897,1.93856761
-5.95797899,11.04794319,1.98558897,0.80532813,0.00210437,3.07445879,0.23428207,3.34469093,3.32108061,1.96251000
-5.95197599,11.11741951,2.00464752,0.80705559,0.00216194,3.10019543,0.24082465,3.36587336,3.35037436,1.97762047
-5.94597299,11.15758147,2.02176897,0.80788371,0.00221582,3.11139923,0.24687268,3.38526818,3.36453160,1.98316823
-5.93996998,11.16578112,2.03676138,0.80775181,0.00226511,3.10718894,0.25234937,3.40219925,3.36265063,1.97861180
-5.93396698,11.13988549,2.04939245,0.80658603,0.00230899,3.08701052,0.25718162,3.41593775,3.34415131,1.96362086
-5.92796398,11.07834473,2.05939132,0.80430176,0.00234673,3.05065854,0.26130127,3.42572004,3.30879865,1.93809080
-5.92196098,10.98023908,2.06645240,0.80080685,0.00237769,2.99828529,0.26464618,3.43076641,3.25671428,1.90214915
-5.91595798,10.84530308,2.07024135,0.79600529,0.00240134,2.93039698,0.26716119,3.43030054,3.18837524,1.85615362
-5.90995498,10.67392708,2.07040301,0.78980124,0.00241723,2.84783743,0.26879896,3.42356920,3.10460016,1.80068169
-5.90395198,10.46713730,2.06657135,0.78210334,0.00242506,2.75176006,0.26952078,3.40986209,3.00652386,1.73651251
-5.89794897,10.22655678,2.05838126,0.77282916,0.00242462,2.64358981,0.26929718,3.38853150,2.89556156,1.66460198
-5.89194597,9.95435039,2.04548178,0.76190959,0.00241585,2.52497684,0.26810853,3.35901148,2.77336474,1.58605224
-5.88594297,9.65315780,2.02755048,0.74929307,0.00239880,2.39774450,0.26594554,3.32083648,2.64177086,1.50207717
-5.87993997,9.32601852,2.00430857,0.73494973,0.00237364,2.26383397,0.26280970,3.27365868,2.50274949,1.41396556
-5.87393697,8.97629317,1.97553598,0.71887495,0.00234068,2.12524820,0.25871362,3.21726409,2.35834730,1.32304367
-5.86793397,8.60758462,1.94108602,0.70109264,0.00230036,1.98399762,0.25368129,3.15158642,2.21063445,1.23063885
