energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,5.66404458,0.17526460,0.00000000,0.07935623,0.18988141,2.57697257,2.39681881,0.06229134,3.25471913
-5.99399700,5.66515700,0.17752772,0.00000000,0.07941788,0.17647446,2.58376914,2.41692891,0.06155233,3.27445409
-5.98799400,5.67315129,0.17958642,0.00000000,0.07920679,0.16429467,2.59474469,2.44111389,0.06080786,3.29719661
-5.98199100,5.68508454,0.18138448,0.00000000,0.07871718,0.15325776,2.60864119,2.46758880,0.06004180,3.32119139
-5.97598799,5.69785996,0.18286589,0.00000000,0.07794701,0.14326469,2.62411335,2.49449414,0.05923743,3.34460268
-5.96998499,5.70834745,0.18397621,0.00000000,0.07689829,0.13420701,2.63978040,2.51996726,0.05837821,3.36558406
-5.96398199,5.71350322,0.18466403,0.00000000,0.07557723,0.12597190,2.65427877,2.54221291,0.05744854,3.38234797
-5.95797899,5.71048401,0.18488228,0.00000000,0.07399440,0.11844675,2.66631368,2.55957019,0.05643433,3.39323258
-5.95197599,5.69675190,0.18458953,0.00000000,0.07216471,0.11152315,2.67470772,2.57057333,0.05532366,3.39676338
-5.94597299,5.67016606,0.18375119,0.00000000,0.07010733,0.10510028,2.67844468,2.57400391,0.05410724,3.39170740
-5.93996998,5.62905804,0.18234054,0.00000000,0.06784564,0.09908753,2.67670685,2.56893263,0.05277875,3.37711781
-5.93396698,5.57228828,0.18033968,0.00000000,0.06540694,0.09340641,2.66890443,2.55474894,0.05133514,3.35236747
-5.92796398,5.49928187,0.17774019,0.00000000,0.06282231,0.08799181,2.65469594,2.53117771,0.04977676,3.31717013
-5.92196098,5.41004283,0.17454360,0.00000000,0.06012628,0.08279252,2.63399888,2.49828230,0.04810743,3.27158868
-5.91595798,5.30514671,0.17076172,0.00000000,0.05735656,0.07777124,2.60699027,2.45645440,0.04633432,3.21603031
-5.90995498,5.18571254,0.16641656,0.00000000,0.05455379,0.07290399,2.57409722,2.40639120,0.04446783,3.15122904
-5.90395198,5.05335578,0.16154018,0.00000000,0.05176124,0.06817919,2.53597811,2.34906144,0.04252132,3.07821668
-5.89794897,4.91012490,0.15617412,0.00000000,0.04902453,0.06359633,2.49349526,2.28566199,0.04051080,2.99828361
-5.89194597,4.75842467,0.15036874,0.00000000,0.04639143,0.05916450,2.44768044,2.21756718,0.03845458,2.91293140
-5.88594297,4.60092989,0.14418229,0.00000000,0.04391163,0.05490070,2.39969494,2.14627346,0.03637283,2.82381948
-5.87993997,4.44049325,0.13767973,0.00000000,0.04163653,0.05082818,2.35078593,2.07334181,0.03428718,2.73270815
-5.87393697,4.28005158,0.13093151,0.00000000,0.03961902,0.04697477,2.30224105,2.00034065,0.03222025,2.64140058
-5.86793397,4.12253408,0.12401213,0.00000000,0.03791325,0.04337125,2.25534330,1.92879159,0.03019525,2.55168602
-5.86193097,3.97077598,0.11699871,0.00000000,0.03657435,0.04004992,2.21132791,1.86012022,0.02823552,2.46528652
-5.85592796,3.82744081,0.10996942,0.00000000,0.03565803,0.03704329,2.17134294,1.79561374,0.02636415,2.38380898
-5.84992496,3.69495325,0.10300203,0.00000000,0.03522014,0.03438288,2.13641490,1.73638671,0.02460357,2.30870402
-5.84392196,3.57544446,0.09617240,0.00000000,0.03531604,0.03209827,2.10742042,1.68335586,0.02297523,2.24123269
-5.83791896,3.47071043,0.08955313,0.00000000,0.03599978,0.03021626,2.08506464,1.63722415,0.02149923,2.18244164
-5.83191596,3.38218368,0.08321228,0.00000000,0.03732315,0.02876009,2.06986646,1.59847391,0.02019402,2.13314668
-5.82591296,3.31091741,0.07721224,0.00000000,0.03933448,0.02774894,2.06215062,1.56736850,0.01907612,2.09392456
-5.81990995,3.25758130,0.07160875,0.00000000,0.04207722,0.02719730,2.06204618,1.54396141,0.01815983,2.06511208
-5.81390695,3.22246705,0.06645012,0.00000000,0.04558842,0.02711456,2.06949059,1.52811147,0.01745700,2.04681170
-5.80790395,3.20550214,0.06177657,0.00000000,0.04989692,0.02750461,2.08423865,1.51950278,0.01697674,2.03890243
-5.80190095,3.20626964,0.05761976,0.00000000,0.05502154,0.02836538,2.10587526,1.51766777,0.01672525,2.04105476
-5.79589795,3.22403263,0.05400256,0.00000000,0.06096918,0.02968858,2.13383114,1.52201196,0.01670555,2.05274852
-5.78989495,3.25776133,0.05093888,0.00000000,0.06773294,0.03145929,2.16740063,1.53183903,0.01691730,2.07329260
-5.78389195,3.30616204,0.04843372,0.00000000,0.07529042,0.03365580,2.20576092,1.54637514,0.01735666,2.10184580
-5.77788894,3.36770699,0.04648336,0.00000000,0.08360223,0.03624937,2.24799216,1.56479164,0.01801616,2.13743808
-5.77188594,3.44066484,0.04507569,0.00000000,0.09261085,0.03920421,2.29309824,1.58622568,0.01888460,2.17899212
-5.76588294,3.52313195,0.04419065,0.00000000,0.10223998,0.04247756,2.34002821,1.60979838,0.01994709,2.22534508
-5.75987994,3.61306495,0.04380082,0.00000000,0.11239439,0.04601996,2.38769837,1.63463086,0.02118507,2.27527076
-5.75387694,3.70831523,0.04387218,0.00000000,0.12296049,0.04977574,2.43501537,1.65985810,0.02257653,2.32750256
-5.74787394,3.80666627,0.04436488,0.00000000,0.13380754,0.05368371,2.48090050,1.68464140,0.02409623,2.38075763
-5.74187094,3.90587450,0.04523429,0.00000000,0.14478962,0.05767811,2.52431551,1.70817977,0.02571607,2.43376269
-5.73586793,4.00371429,0.04643201,0.00000000,0.15574837,0.06168982,2.56428993,1.72972089,0.02740559,2.48528165
-5.72986493,4.09802711,0.04790714,0.00000000,0.16651637,0.06564775,2.59994998,1.74857210,0.02913258,2.53414525
-5.72386193,4.18677472,0.04960751,0.00000000,0.17692114,0.06948048,2.63054841,1.76411177,0.03086369,2.57928247
-5.71785893,4.26809527,0.05148115,0.00000000,0.18678969,0.07311797,2.65549492,1.77580109,0.03256528,2.61975302
-5.71185593,4.34036104,0.05347763,0.00000000,0.19595333,0.07649345,2.67438592,1.78319631,0.03420420,2.65478019
-5.70585293,4.40223557,0.05554962,0.00000000,0.20425273,0.07954526,2.68703245,1.78596108,0.03574870,2.68378270
-5.69984992,4.45272782,0.05765423,0.00000000,0.21154285,0.08221864,2.69348475,1.78387819,0.03716924,2.70640411
-5.69384692,4.49124034,0.05975446,0.00000000,0.21769766,0.08446745,2.69405178,1.77686020,0.03843937,2.72253805
-5.68784392,4.51760847,0.06182039,0.00000000,0.22261440,0.08625553,2.68931409,1.76495795,0.03953651,2.73234750
-5.68184092,4.53212759,0.06383028,0.00000000,0.22621712,0.08755794,2.68012829,1.74836611,0.04044259,2.73627633
-5.67583792,4.53556567,0.06577138,0.00000000,0.22845942,0.08836171,2.66762187,1.72742489,0.04114460,2.73505167
-5.66983492,4.52915889,0.06764051,0.00000000,0.22932619,0.08866626,2.65317722,1.70261718,0.04163496,2.72967560
-5.66383192,4.51458873,0.06944427,0.00000000,0.22883422,0.08848333,2.63840430,1.67456047,0.04191171,2.72140567
-5.65782891,4.49394002,0.07119892,0.00000000,0.22703175,0.08783656,2.62510190,1.64399346,0.04197849,2.71172362
-5.65182591,4.46964000,0.07292990,0.00000000,0.22399683,0.08676053,2.61520804,1.61175701,0.04184434,2.70229291
-5.64582291,4.44437995,0.07467098,0.00000000,0.21983463,0.08529948,2.61074065,1.57877015,0.04152326,2.69490576
