energy_ev,total_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.06490692,0.00997805,0.09592841,0.50965697,2.35904017,0.72127425,0.00000000,0.30932148,0.03694712
-5.99399700,3.09328240,0.01016513,0.08747626,0.49152731,2.40141031,0.72065552,0.00000000,0.30092753,0.03884365
-5.98799400,3.15522347,0.01047542,0.08056059,0.47925374,2.46731414,0.72827339,0.00000000,0.29708184,0.04144345
-5.98199100,3.25112750,0.01091442,0.07515145,0.47292182,2.55706689,0.74412088,0.00000000,0.29782365,0.04477295
-5.97598799,3.38092259,0.01148600,0.07120568,0.47253972,2.67061378,0.76808759,0.00000000,0.30314543,0.04885370
-5.96998499,3.54405361,0.01219213,0.06866899,0.47803872,2.80751708,0.79996072,0.00000000,0.31299328,0.05370134
-5.96398199,3.73947745,0.01303259,0.06747782,0.48927494,2.96695180,0.83942789,0.00000000,0.32726716,0.05932445
-5.95797899,3.96566726,0.01400483,0.06756089,0.50603193,3.14771034,0.88608145,0.00000000,0.34582128,0.06572340
-5.95197599,4.22062609,0.01510376,0.06884042,0.52802440,3.34821583,0.93942438,0.00000000,0.36846441,0.07288924
-5.94597299,4.50190931,0.01632173,0.07123313,0.55490261,3.56654380,0.99887729,0.00000000,0.39496043,0.08080264
-5.93996998,4.80665538,0.01764850,0.07465086,0.58625768,3.80045160,1.06378662,0.00000000,0.42502904,0.08943289
-5.93396698,5.13162426,0.01907129,0.07900101,0.62162751,4.04741436,1.13343359,0.00000000,0.45834678,0.09873714
-5.92796398,5.47324232,0.02057501,0.08418674,0.66050337,4.30466660,1.20704366,0.00000000,0.49454851,0.10865977
-5.92196098,5.82765290,0.02214245,0.09010718,0.70233702,4.56924803,1.28379637,0.00000000,0.53322945,0.11913201
-5.91595798,6.19077102,0.02375462,0.09665743,0.74654830,4.83805228,1.36283522,0.00000000,0.57394786,0.13007190
-5.90995498,6.55834135,0.02539112,0.10372877,0.79253310,5.10787709,1.44327748,0.00000000,0.61622843,0.14138456
-5.90395198,6.92599807,0.02703062,0.11120881,0.83967160,5.37547483,1.52422372,0.00000000,0.65956653,0.15296276
-5.89794897,7.28932557,0.02865130,0.11898193,0.88733665,5.63760197,1.60476710,0.00000000,0.70343328,0.16468797
-5.89194597,7.64391918,0.03023138,0.12692987,0.93490233,5.89106678,1.68400226,0.00000000,0.74728151,0.17643173
-5.88594297,7.98544501,0.03174959,0.13493249,0.98175232,6.13277426,1.76103405,0.00000000,0.79055270,0.18805747
-5.87993997,8.30969846,0.03318567,0.14286894,1.02728819,6.35976803,1.83498605,0.00000000,0.83268458,0.19942266
-5.87393697,8.61266093,0.03452082,0.15061890,1.07093751,6.56926865,1.90500921,0.00000000,0.87311974,0.21038137
-5.86793397,8.89055453,0.03573808,0.15806425,1.11216146,6.75870854,1.97029068,0.00000000,0.91131479,0.22078712
-5.86193097,9.13989465,0.03682265,0.16509073,1.15046224,6.92576346,2.03006310,0.00000000,0.94675012,0.23049596
-5.85592796,9.35754025,0.03776216,0.17159000,1.18538988,7.06838087,2.08361454,0.00000000,0.97894013,0.23936983
