energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,1.05542566,0.01368655,0.02936452,0.28865222,0.09981639,0.00342244,0.71034195,0.36427796,0.18978727
-5.99399700,1.00282350,0.01341178,0.02773511,0.27204528,0.09375807,0.00328773,0.67399553,0.34095088,0.18395521
-5.98799400,0.95089820,0.01320138,0.02603611,0.25592373,0.08766620,0.00316798,0.63825452,0.31833257,0.17846902
-5.98199100,0.90038359,0.01306745,0.02428985,0.24048835,0.08160463,0.00306403,0.60360573,0.29663850,0.17346212
-5.97598799,0.85198706,0.01302023,0.02251897,0.22592426,0.07563642,0.00297674,0.57051670,0.27606881,0.16906144
-5.96998499,0.80636899,0.01306780,0.02074581,0.21239703,0.06982229,0.00290694,0.53942271,0.25680492,0.16538221
-5.96398199,0.76412411,0.01321577,0.01899178,0.20004939,0.06421908,0.00285526,0.51071516,0.23900654,0.16252312
-5.95797899,0.72576571,0.01346705,0.01727683,0.18899874,0.05887849,0.00282206,0.48473169,0.22280937,0.16056210
-5.95197599,0.69171340,0.01382172,0.01561903,0.17933553,0.05384609,0.00280737,0.46174873,0.20832377,0.15955302
-5.94597299,0.66228496,0.01427690,0.01403419,0.17112260,0.04916053,0.00281078,0.44197665,0.19563422,0.15952322
-5.93996998,0.63769263,0.01482686,0.01253569,0.16439555,0.04485324,0.00283144,0.42555780,0.18479987,0.16047234
-5.93396698,0.61804397,0.01546307,0.01113434,0.15916407,0.04094836,0.00286805,0.41256753,0.17585607,0.16237223
-5.92796398,0.60334720,0.01617445,0.00983838,0.15541420,0.03746303,0.00291881,0.40301808,0.16881680,0.16516812
-5.92196098,0.59352062,0.01694766,0.00865362,0.15311143,0.03440797,0.00298151,0.39686508,0.16367788,0.16878098
-5.91595798,0.58840565,0.01776754,0.00758355,0.15220437,0.03178837,0.00305354,0.39401637,0.16042095,0.17311092
-5.90995498,0.58778283,0.01861752,0.00662968,0.15262907,0.02960493,0.00313199,0.39434263,0.15901772,0.17804153
-5.90395198,0.59138985,0.01948021,0.00579181,0.15431347,0.02785512,0.00321373,0.39768933,0.15943457,0.18344499
-5.89794897,0.59894081,0.02033793,0.00506839,0.15718198,0.02653447,0.00329550,0.40388924,0.16163708,0.18918760
-5.89194597,0.61014566,0.02117330,0.00445686,0.16115987,0.02563796,0.00337401,0.41277507,0.16559421,0.19513560
-5.88594297,0.62472890,0.02196986,0.00395407,0.16617726,0.02516132,0.00344608,0.42419142,0.17128203,0.20116101
-5.87993997,0.64244667,0.02271253,0.00355656,0.17217250,0.02510232,0.00350874,0.43800553,0.17868665,0.20714704
-5.87393697,0.66310133,0.02338819,0.00326095,0.17909479,0.02546190,0.00355932,0.45411630,0.18780629,0.21299304
-5.86793397,0.68655292,0.02398601,0.00306420,0.18690588,0.02624511,0.00359552,0.47246107,0.19865216,0.21861865
-5.86193097,0.71272695,0.02449780,0.00296388,0.19558073,0.02746185,0.00361556,0.49301991,0.21124839,0.22396689
-5.85592796,0.74161818,0.02491814,0.00295835,0.20510719,0.02912747,0.00361815,0.51581719,0.22563061,0.22900621
-5.84992496,0.77329037,0.02524454,0.00304692,0.21548468,0.03126293,0.00360259,0.54092039,0.24184363,0.23373130
-5.84392196,0.80787189,0.02547729,0.00322998,0.22672184,0.03389494,0.00356875,0.56843617,0.25993794,0.23816265
-5.83791896,0.84554767,0.02561933,0.00350901,0.23883353,0.03705561,0.00351709,0.59850411,0.27996553,0.24234500
-5.83191596,0.88654786,0.02567596,0.00388662,0.25183710,0.04078200,0.00344860,0.63128812,0.30197500,0.24634466
-5.82591296,0.93113375,0.02565444,0.00436645,0.26574834,0.04511530,0.00336479,0.66696638,0.32600635,0.25024590
-5.81990995,0.97958174,0.02556356,0.00495315,0.28057719,0.05009985,0.00326759,0.70571988,0.35208558,0.25414670
-5.81390695,1.03216603,0.02541313,0.00565218,0.29632358,0.05578184,0.00315931,0.74772044,0.38021952,0.25815395
