energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,2.12094483,0.39987927,0.00000000,0.59016716,1.48371640,0.39769443,0.00000000
-5.99399700,2.15814157,0.40605726,0.00000000,0.60687059,1.50479730,0.40984402,0.00000000
-5.98799400,2.19892266,0.41311912,0.00000000,0.62539790,1.52745312,0.42342092,0.00000000
-5.98199100,2.24310105,0.42105996,0.00000000,0.64554092,1.55168970,0.43830261,0.00000000
-5.97598799,2.29039695,0.42985823,0.00000000,0.66706107,1.57746647,0.45432976,0.00000000
-5.96998499,2.34042709,0.43947269,0.00000000,0.68969057,1.60468418,0.47130741,0.00000000
-5.96398199,2.39269853,0.44984007,0.00000000,0.71313474,1.63317558,0.48900739,0.00000000
-5.95797899,2.44660765,0.46087361,0.00000000,0.73707552,1.66269949,0.50717202,0.00000000
-5.95197599,2.50144490,0.47246278,0.00000000,0.76117594,1.69293908,0.52551908,0.00000000
-5.94597299,2.55640550,0.48447409,0.00000000,0.78508590,1.72350445,0.54374792,0.00000000
-5.93996998,2.61060604,0.49675329,0.00000000,0.80844874,1.75393984,0.56154649,0.00000000
-5.93396698,2.66310644,0.50912866,0.00000000,0.83090867,1.78373514,0.57859918,0.00000000
-5.92796398,2.71293669,0.52141558,0.00000000,0.85211884,1.81234143,0.59459521,0.00000000
-5.92196098,2.75912721,0.53342210,0.00000000,0.87174967,1.83918989,0.60923710,0.00000000
-5.91595798,2.80074187,0.54495538,0.00000000,0.88949727,1.86371332,0.62224928,0.00000000
-5.90995498,2.83691214,0.55582863,0.00000000,0.90509167,1.88536937,0.63338608,0.00000000
-5.90395198,2.86687093,0.56586860,0.00000000,0.91830451,1.90366437,0.64243922,0.00000000
-5.89794897,2.88998485,0.57492281,0.00000000,0.92895593,1.91817672,0.64924428,0.00000000
-5.89194597,2.90578311,0.58286669,0.00000000,0.93692055,1.92857876,0.65368591,0.00000000
-5.88594297,2.91398205,0.58960999,0.00000000,0.94213199,1.93465595,0.65570176,0.00000000
-5.87993997,2.91450386,0.59510212,0.00000000,0.94458614,1.93632247,0.65528478,0.00000000
-5.87393697,2.90748865,0.59933639,0.00000000,0.94434264,1.93363240,0.65248395,0.00000000
-5.86793397,2.89329900,0.60235259,0.00000000,0.94152478,1.92678571,0.64740325,0.00000000
-5.86193097,2.87251666,0.60423783,0.00000000,0.93631749,1.91612865,0.64019910,0.00000000
-5.85592796,2.84593111,0.60512554,0.00000000,0.92896363,1.90214834,0.63107611,0.00000000
-5.84992496,2.81452017,0.60519254,0.00000000,0.91975843,1.88546139,0.62028149,0.00000000
-5.84392196,2.77942325,0.60465408,0.00000000,0.90904233,1.86679704,0.60809814,0.00000000
-5.83791896,2.74190787,0.60375719,0.00000000,0.89719233,1.84697503,0.59483665,0.00000000
-5.83191596,2.70333064,0.60277235,0.00000000,0.88461196,1.82687928,0.58082662,0.00000000
-5.82591296,2.66509401,0.60198390,0.00000000,0.87172035,1.80742803,0.56640730,0.00000000
-5.81990995,2.62860045,0.60167937,0.00000000,0.85894059,1.78954177,0.55191814,0.00000000
-5.81390695,2.59520556,0.60213846,0.00000000,0.84668768,1.77411020,0.53768925,0.00000000
-5.80790395,2.56617219,0.60362177,0.00000000,0.83535672,1.76195949,0.52403238,0.00000000
-5.80190095,2.54262718,0.60636011,0.00000000,0.82531145,1.75382139,0.51123240,0.00000000
-5.79589795,2.52552260,0.61054455,0.00000000,0.81687377,1.75030536,0.49953982,0.00000000
-5.78989495,2.51560295,0.61631805,0.00000000,0.81031454,1.75187506,0.48916435,0.00000000
-5.78389195,2.51337991,0.62376865,0.00000000,0.80584599,1.75883024,0.48026986,0.00000000
-5.77788894,2.51911551,0.63292490,0.00000000,0.80361614,1.77129485,0.47297086,0.00000000
-5.77188594,2.53281455,0.64375364,0.00000000,0.80370524,1.78921202,0.46733051,0.00000000
-5.76588294,2.55422658,0.65616017,0.00000000,0.80612458,1.81234606,0.46336033,0.00000000
-5.75987994,2.58285738,0.66999107,0.00000000,0.81081754,1.84029159,0.46102145,0.00000000
-5.75387694,2.61798941,0.68503927,0.00000000,0.81766284,1.87248925,0.46022745,0.00000000
-5.74787394,2.65871032,0.70105145,0.00000000,0.82647982,1.90824751,0.46084860,0.00000000
-5.74187094,2.70394835,0.71773725,0.00000000,0.83703554,1.94676947,0.46271728,0.00000000
-5.73586793,2.75251301,0.73477999,0.00000000,0.84905325,1.98718358,0.46563444,0.00000000
-5.72986493,2.80313933,0.75184839,0.00000000,0.86222201,2.02857693,0.46937674,0.00000000
-5.72386193,2.85453387,0.76860886,0.00000000,0.87620685,2.07002961,0.47370424,0.00000000
-5.71785893,2.90542042,0.78473765,0.00000000,0.89065926,2.11064877,0.47836815,0.00000000
-5.71185593,2.95458383,0.79993267,0.00000000,0.90522740,2.14960091,0.48311861,0.00000000
-5.70585293,3.00090994,0.81392411,0.00000000,0.91956584,2.18614108,0.48771206,0.00000000
-5.69984992,3.04342049,0.82648372,0.00000000,0.93334439,2.21963787,0.49191799,0.00000000
-5.69384692,3.08130156,0.83743234,0.00000000,0.94625583,2.24959338,0.49552497,0.00000000
-5.68784392,3.11392484,0.84664532,0.00000000,0.95802236,2.27565733,0.49834576,0.00000000
-5.68184092,3.14086114,0.85405580,0.00000000,0.96840061,2.29763503,0.50022133,0.00000000
-5.67583792,3.16188601,0.85965564,0.00000000,0.97718532,2.31548920,0.50102385,0.00000000
-5.66983492,3.17697774,0.86349416,0.00000000,0.98421157,2.32933562,0.50065849,0.00000000
-5.66383192,3.18630807,0.86567481,0.00000000,0.98935572,2.33943324,0.49906425,0.00000000
-5.65782891,3.19022649,0.86634982,0.00000000,0.99253524,2.34616918,0.49621367,0.00000000
-5.65182591,3.18923907,0.86571328,0.00000000,0.99370746,2.35003963,0.49211167,0.00000000
