energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,2.00176942,-0.63000887,0.00754153,-0.00523586,0.32953535,-0.05375889,0.62173365,-0.18786073,0.67016011,-0.05217787,0.03671991,-0.00780984,0.51187281,-0.23208028,0.50783917,-0.24282794,0.13815258,-0.07035535
-5.99399700,2.06933877,-0.67917687,0.00730504,-0.00563089,0.35378547,-0.05805158,0.64772056,-0.20318085,0.71552654,-0.05620565,0.03950522,-0.00843062,0.51519156,-0.25010764,0.50182629,-0.26164521,0.13830918,-0.07580183
-5.98799400,2.13901848,-0.72738727,0.00705107,-0.00601418,0.37908900,-0.06228620,0.67448571,-0.21839520,0.76248570,-0.06016373,0.04252144,-0.00904116,0.51838896,-0.26776784,0.49454978,-0.28001340,0.13846125,-0.08112992
-5.98199100,2.21069456,-0.77392750,0.00678616,-0.00637893,0.40518728,-0.06640734,0.70195307,-0.23332621,0.81052366,-0.06399319,0.04576831,-0.00963388,0.52171136,-0.28479499,0.48630525,-0.29764688,0.13868374,-0.08625682
-5.97598799,2.28408356,-0.81810191,0.00651676,-0.00671840,0.43177511,-0.07036137,0.72998816,-0.24780289,0.85905011,-0.06763735,0.04923862,-0.01020172,0.52538089,-0.30092963,0.47738705,-0.31426458,0.13904274,-0.09110124
-5.96998499,2.35872028,-0.85925530,0.00624897,-0.00702609,0.45850485,-0.07409846,0.75839563,-0.26166714,0.90740679,-0.07104381,0.05291758,-0.01073847,0.52958504,-0.31592747,0.46807825,-0.32959910,0.13959253,-0.09558593
-5.96398199,2.43395481,-0.89679670,0.00598843,-0.00729595,0.48499252,-0.07757451,0.78691995,-0.27478008,0.95487967,-0.07416657,0.05678240,-0.01123918,0.53446802,-0.32956832,0.45864185,-0.34340602,0.14037326,-0.09964033
-5.95797899,2.50895958,-0.93022245,0.00574018,-0.00752253,0.51082602,-0.08075310,0.81524951,-0.28702782,1.00071471,-0.07696809,0.06080214,-0.01170054,0.54012423,-0.34166470,0.44931352,-0.35547282,0.14140929,-0.10320306
-5.95197599,2.58274666,-0.95913726,0.00550852,-0.00770122,0.53557517,-0.08360720,0.84302402,-0.29832651,1.04413669,-0.07942117,0.06493792,-0.01212128,0.54659432,-0.35206983,0.44029606,-0.36562722,0.14270828,-0.10622425
-5.94597299,2.65419483,-0.98327247,0.00529698,-0.00782838,0.55880324,-0.08612063,0.86984507,-0.30862632,1.08437067,-0.08151064,0.06914348,-0.01250243,0.55386397,-0.36068450,0.43175600,-0.37374428,0.14426110,-0.10866756
