energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up
-6.00000000,10.32805105,1.88713329,7.32055911,0.02679247,0.65009949,0.46627690,0.00000000,0.07294316,1.39249765
-5.99399700,10.22224080,1.88115602,7.22010868,0.02705401,0.64263245,0.46662618,0.00000000,0.07156558,1.40177009
-5.98799400,10.12263012,1.87937414,7.12546706,0.02722116,0.63601189,0.46649191,0.00000000,0.07018857,1.40943333
-5.98199100,10.02834921,1.88154260,7.03620118,0.02729006,0.63033361,0.46577412,0.00000000,0.06881957,1.41513800
-5.97598799,9.93867823,1.88742027,6.95193867,0.02725943,0.62568947,0.46439919,0.00000000,0.06746770,1.41861359
-5.96998499,9.85308834,1.89677606,6.87239668,0.02713058,0.62216418,0.46232258,0.00000000,0.06614381,1.41967754
-5.96398199,9.77126145,1.90939112,6.79739675,0.02690728,0.61983124,0.45953016,0.00000000,0.06486039,1.41823994
-5.95797899,9.69308838,1.92505713,6.72686530,0.02659563,0.61874832,0.45603815,0.00000000,0.06363134,1.41430389
-5.95197599,9.61864672,1.94357128,6.66082085,0.02620368,0.61895230,0.45189169,0.00000000,0.06247163,1.40796151
-5.94597299,9.54816127,1.96472833,6.59934972,0.02574120,0.62045426,0.44716220,0.00000000,0.06139672,1.39938602
-5.93996998,9.48195086,1.98831075,6.54257291,0.02521919,0.62323485,0.44194376,0.00000000,0.06042201,1.38882050
-5.93396698,9.42036645,2.01407795,6.49060759,0.02464955,0.62724022,0.43634866,0.00000000,0.05956218,1.37656390
-5.92796398,9.36372607,2.04175564,6.44352675,0.02404464,0.63237912,0.43050239,0.00000000,0.05883046,1.36295543
-5.92196098,9.31225194,2.07102656,6.40132102,0.02341686,0.63852124,0.42453855,0.00000000,0.05823800,1.34835792
-5.91595798,9.26601539,2.10152351,6.36386606,0.02277832,0.64549723,0.41859365,0.00000000,0.05779326,1.33314149
-5.90995498,9.22489418,2.13282579,6.33089871,0.02214052,0.65310049,0.41280242,0.00000000,0.05750149,1.31766814
-5.90395198,9.18854599,2.16445955,6.30200454,0.02151410,0.66109073,0.40729354,0.00000000,0.05736440,1.30227816
-5.89794897,9.15640083,2.19590269,6.27661815,0.02090861,0.66919949,0.40218623,0.00000000,0.05737994,1.28727915
-5.89194597,9.12767340,2.22659432,6.25403710,0.02033242,0.67713724,0.39758772,0.00000000,0.05754228,1.27293795
-5.88594297,9.10139536,2.25594873,6.23344893,0.01979262,0.68460199,0.39359156,0.00000000,0.05784201,1.25947593
-5.87993997,9.07646575,2.28337332,6.21397013,0.01929505,0.69128890,0.39027701,0.00000000,0.05826647,1.24706763
